,0,1,euclidean
0,Rebecca,career,488.6101398392959
1,Rebecca,family,480.38697400162266
2,Rebecca,male,473.7169214127421
3,Rebecca,female,462.70723217524187
4,Michelle,career,486.5180786303317
5,Michelle,family,481.18471367251624
6,Michelle,male,473.31689000171866
7,Michelle,female,465.64205293316866
8,Emily,career,468.6974759065293
9,Emily,family,460.0073946309242
10,Emily,male,463.141350233212
11,Emily,female,456.56958015920117
12,Julia,career,485.4744107244207
13,Julia,family,472.53562196693554
14,Julia,male,471.71940341464574
15,Julia,female,461.65815559331276
16,Anna,career,485.60859188536574
17,Anna,family,476.09394292557295
18,Anna,male,464.7588061562233
19,Anna,female,459.0276814453099
20,Ben,career,508.3991997494794
21,Ben,family,506.65467827212007
22,Ben,male,503.35573835570733
23,Ben,female,518.3233644358413
24,Paul,career,488.9112884702783
25,Paul,family,485.00553935131404
26,Paul,male,489.6208630996101
27,Paul,female,488.95304422141794
28,Daniel,career,487.8414949810473
29,Daniel,family,481.46786202459174
30,Daniel,male,476.63797057841606
31,Daniel,female,469.97089667478997
32,John,career,482.9575250447899
33,John,family,476.54779436145145
34,John,male,480.05348332236326
35,John,female,476.2411801978384
36,Jeffrey,career,485.4293075621211
37,Jeffrey,family,480.175573253206
38,Jeffrey,male,476.3997051606126
39,Jeffrey,female,471.00928329106046
40,career,career,0.0
41,career,family,360.4591989164891
42,career,male,444.1804166587107
43,career,female,413.6078275559951
44,corporation,career,341.51329097821593
45,corporation,family,343.60230507678017
46,corporation,male,413.2314388190302
47,corporation,female,386.22341699922845
48,salary,career,392.56660689294955
49,salary,family,399.9668489843177
50,salary,male,446.50035293018993
51,salary,female,446.114265815679
52,office,career,389.75138681503245
53,office,family,379.738202742152
54,office,male,431.5593003877033
55,office,female,412.5133551843086
56,professional,career,344.07929657405606
57,professional,family,390.82108756156396
58,professional,male,444.56114876408895
59,professional,female,394.0653639913411
60,management,career,320.18494618285837
61,management,family,352.04806215107226
62,management,male,426.1646273537768
63,management,female,409.0211775171259
64,business,career,348.4678160911481
65,business,family,364.8268009119032
66,business,male,461.35105517253913
67,business,female,432.818723682152
68,wedding,career,346.06278377357097
69,wedding,family,363.5432344715384
70,wedding,male,454.9536002196185
71,wedding,female,425.7068965130031
72,marriage,career,329.601162544528
73,marriage,family,354.4357509931163
74,marriage,male,422.39169091134016
75,marriage,female,397.77860520126524
76,parents,career,403.1891993882083
77,parents,family,368.3567564992008
78,parents,male,427.62308876524827
79,parents,female,422.01018093759836
80,relatives,career,368.4081856649923
81,relatives,family,326.5208964411527
82,relatives,male,390.43648145804394
83,relatives,female,381.1840266285196
84,family,career,360.4591989164891
85,family,family,0.0
86,family,male,425.44367323324116
87,family,female,397.5869588349713
88,home,career,394.1553800403405
89,home,family,389.27871364730703
90,home,male,433.37297615697963
91,home,female,411.21612973730845
92,children,career,364.8227077588095
93,children,family,338.63353727060854
94,children,male,410.28258086747746
95,children,female,385.9052364174775
