,0,1,correlation
0,rebecca,career,0.5739064168720185
1,rebecca,family,0.6021895590004476
2,rebecca,male,0.6515784461160383
3,rebecca,female,0.6354516872561219
4,michelle,career,0.5912579198843391
5,michelle,family,0.6334820340685572
6,michelle,male,0.6437641462478387
7,michelle,female,0.6416196972322814
8,emily,career,0.5991829209765185
9,emily,family,0.5895530810037721
10,emily,male,0.6380088178673274
11,emily,female,0.629950297214485
12,julia,career,0.6182697500539209
13,julia,family,0.6286045675171681
14,julia,male,0.664722642909404
15,julia,female,0.6690643727277376
16,anna,career,0.5300555443879251
17,anna,family,0.5380751106571922
18,anna,male,0.5928642379490751
19,anna,female,0.5768677852949058
20,ben,career,0.5873967421865889
21,ben,family,0.5964872566160662
22,ben,male,0.6068020225868025
23,ben,female,0.6438353916459472
24,paul,career,0.6231207326700322
25,paul,family,0.6335207254224351
26,paul,male,0.6562734327969901
27,paul,female,0.6582026031692251
28,daniel,career,0.6110019363729964
29,daniel,family,0.6287267261492862
30,daniel,male,0.6512498868524028
31,daniel,female,0.6600426049892814
32,john,career,0.5420953390587984
33,john,family,0.5460817904153634
34,john,male,0.5868654855905335
35,john,female,0.5905528299036302
36,jeffrey,career,0.6465508292969683
37,jeffrey,family,0.6744706861015708
38,jeffrey,male,0.6981838952663901
39,jeffrey,female,0.703169493957728
40,career,career,0.0
41,career,family,0.33273577979067837
42,career,male,0.49079238736211905
43,career,female,0.46189107973864885
44,corporation,career,0.4635856748664452
45,corporation,family,0.43485302024313377
46,corporation,male,0.5952972963126111
47,corporation,female,0.5915106506000496
48,salary,career,0.3312961832809347
49,salary,family,0.36227777236731484
50,salary,male,0.47739918950832894
51,salary,female,0.4940669492649794
52,office,career,0.355209145400612
53,office,family,0.3529885963712197
54,office,male,0.5259803041376336
55,office,female,0.5178531226792236
56,professional,career,0.3360789083107426
57,professional,family,0.37279691561183403
58,professional,male,0.4457975899110209
59,professional,female,0.38860887824972823
60,management,career,0.2979719399677807
61,management,family,0.33065274128885236
62,management,male,0.5151729375527858
63,management,female,0.5180951969116195
64,business,career,0.26898302961529874
65,business,family,0.3186965173428452
66,business,male,0.5354964452164785
67,business,female,0.49674938555264125
68,wedding,career,0.5282508820832669
69,wedding,family,0.4982111999212119
70,wedding,male,0.6528678999853543
71,wedding,female,0.6084140142568419
72,marriage,career,0.41582328012409964
73,marriage,family,0.43542198879413085
74,marriage,male,0.5915480581030997
75,marriage,female,0.5744066540280683
76,parents,career,0.3857022783895342
77,parents,family,0.2770522022564613
78,parents,male,0.4648441502957473
79,parents,female,0.4681461981566657
80,relatives,career,0.5726062716224835
81,relatives,family,0.44917975582558056
82,relatives,male,0.5894599324683238
83,relatives,female,0.6166772231467582
84,family,career,0.33273577979067837
85,family,family,0.0
86,family,male,0.4175307971448057
87,family,female,0.3911830977294334
88,home,career,0.5418587714111698
89,home,family,0.543868707308296
90,home,male,0.6733757821614599
91,home,female,0.653199187372983
92,children,career,0.4091582783207798
93,children,family,0.293322333872321
94,children,male,0.44169214002966184
95,children,female,0.44494711190405245
