,0,1,correlation
0,Rebecca,career,0.8645470410344382
1,Rebecca,family,0.8054390055671329
2,Rebecca,male,0.8833291789345499
3,Rebecca,female,0.8719806091233189
4,Michelle,career,0.816208189438286
5,Michelle,family,0.7609208912420478
6,Michelle,male,0.8373615519194803
7,Michelle,female,0.8383683550139649
8,Emily,career,0.8295913362749608
9,Emily,family,0.7598721213409756
10,Emily,male,0.846857131411217
11,Emily,female,0.8348894120001604
12,Julia,career,0.8438179867296364
13,Julia,family,0.7733036012026118
14,Julia,male,0.8541672525571468
15,Julia,female,0.8538613381640268
16,Anna,career,0.8242533399456077
17,Anna,family,0.7660538861263103
18,Anna,male,0.8382118367631891
19,Anna,female,0.8315186051408985
20,Ben,career,0.8666985185095684
21,Ben,family,0.8358883581891523
22,Ben,male,0.8744078634588159
23,Ben,female,0.9094568602637868
24,Paul,career,0.8013522818983099
25,Paul,family,0.7418299541642915
26,Paul,male,0.8424753266168095
27,Paul,female,0.8500643288228654
28,Daniel,career,0.8333957890118655
29,Daniel,family,0.7727229016223089
30,Daniel,male,0.8508135380021034
31,Daniel,female,0.8541024535027477
32,John,career,0.8384751252562173
33,John,family,0.7805475688498329
34,John,male,0.8595729632296162
35,John,female,0.8570655403985491
36,Jeffrey,career,0.8834504429388683
37,Jeffrey,family,0.8301146535863544
38,Jeffrey,male,0.8976028705401203
39,Jeffrey,female,0.8896601153487077
40,career,career,0.0
41,career,family,0.33273577979067837
42,career,male,0.49079238736211905
43,career,female,0.46189107973864885
44,corporation,career,0.4635856748664452
45,corporation,family,0.43485302024313377
46,corporation,male,0.5952972963126111
47,corporation,female,0.5915106506000496
48,salary,career,0.3312961832809347
49,salary,family,0.36227777236731484
50,salary,male,0.47739918950832894
51,salary,female,0.4940669492649794
52,office,career,0.355209145400612
53,office,family,0.3529885963712197
54,office,male,0.5259803041376336
55,office,female,0.5178531226792236
56,professional,career,0.3360789083107426
57,professional,family,0.37279691561183403
58,professional,male,0.4457975899110209
59,professional,female,0.38860887824972823
60,management,career,0.2979719399677807
61,management,family,0.33065274128885236
62,management,male,0.5151729375527858
63,management,female,0.5180951969116195
64,business,career,0.26898302961529874
65,business,family,0.3186965173428452
66,business,male,0.5354964452164785
67,business,female,0.49674938555264125
68,wedding,career,0.5282508820832669
69,wedding,family,0.4982111999212119
70,wedding,male,0.6528678999853543
71,wedding,female,0.6084140142568419
72,marriage,career,0.41582328012409964
73,marriage,family,0.43542198879413085
74,marriage,male,0.5915480581030997
75,marriage,female,0.5744066540280683
76,parents,career,0.3857022783895342
77,parents,family,0.2770522022564613
78,parents,male,0.4648441502957473
79,parents,female,0.4681461981566657
80,relatives,career,0.5726062716224835
81,relatives,family,0.44917975582558056
82,relatives,male,0.5894599324683238
83,relatives,female,0.6166772231467582
84,family,career,0.33273577979067837
85,family,family,0.0
86,family,male,0.4175307971448057
87,family,female,0.3911830977294334
88,home,career,0.5418587714111698
89,home,family,0.543868707308296
90,home,male,0.6733757821614599
91,home,female,0.653199187372983
92,children,career,0.4091582783207798
93,children,family,0.293322333872321
94,children,male,0.44169214002966184
95,children,female,0.44494711190405245
