,0,1,correlation
0,rebecca,career,0.5544684485328149
1,rebecca,family,0.4998338328438079
2,rebecca,male,0.6177696355498212
3,rebecca,female,0.5847789362654452
4,michelle,career,0.5550657722765888
5,michelle,family,0.5002401111354627
6,michelle,male,0.5957124754530398
7,michelle,female,0.5778782060423746
8,emily,career,0.5604145762366126
9,emily,family,0.4591568931624668
10,emily,male,0.5896491821885306
11,emily,female,0.572714028198942
12,julia,career,0.5784668145737707
13,julia,family,0.5175660858677927
14,julia,male,0.6292995577774991
15,julia,female,0.6301554589095006
16,anna,career,0.5686076500832191
17,anna,family,0.49754996077266
18,anna,male,0.6116915146891506
19,anna,female,0.5809116667215668
20,ben,career,0.6038202138674578
21,ben,family,0.5684655565714568
22,ben,male,0.6185219351597586
23,ben,female,0.6458613783540172
24,paul,career,0.6000024193011293
25,paul,family,0.5235271191497609
26,paul,male,0.6190519691829683
27,paul,female,0.609294145695706
28,daniel,career,0.5793490037449769
29,daniel,family,0.5108515942532743
30,daniel,male,0.6151156202196246
31,daniel,female,0.604095651873598
32,john,career,0.5984939175095587
33,john,family,0.5339127405617995
34,john,male,0.6185408134553791
35,john,female,0.6064414940934724
36,jeffrey,career,0.6161435824943555
37,jeffrey,family,0.5453258596341728
38,jeffrey,male,0.6472250258068625
39,jeffrey,female,0.6317479779134583
40,career,career,0.0
41,career,family,0.4052764387454586
42,career,male,0.5913393592924494
43,career,female,0.5282011468551433
44,corporation,career,0.44971212204457167
45,corporation,family,0.36773346433965526
46,corporation,male,0.6101745152459402
47,corporation,female,0.5820409465531466
48,salary,career,0.440681724449816
49,salary,family,0.4353180930602838
50,salary,male,0.5814098306119355
51,salary,female,0.5793052941045307
52,office,career,0.43768726334697894
53,office,family,0.4225559369810533
54,office,male,0.613984331501666
55,office,female,0.5824678953910607
56,professional,career,0.40586762689166533
57,professional,family,0.40915411733079743
58,professional,male,0.5089842210516945
59,professional,female,0.4246069032102082
60,management,career,0.3451634040528271
61,management,family,0.4018147455361498
62,management,male,0.6096863132633012
63,management,female,0.5726017587633996
64,business,career,0.3236225436293877
65,business,family,0.3655670195311702
66,business,male,0.6164294876483802
67,business,female,0.5434482208577379
68,wedding,career,0.46294703069090837
69,wedding,family,0.40712975031078413
70,wedding,male,0.6138405550916781
71,wedding,female,0.583320689569518
72,marriage,career,0.3707292782607785
73,marriage,family,0.3417679297731384
74,marriage,male,0.5790718277484959
75,marriage,female,0.5567764630130934
76,parents,career,0.42698688732413004
77,parents,family,0.29345406374499194
78,parents,male,0.5386964860923444
79,parents,female,0.5186548093815874
80,relatives,career,0.6026914230015774
81,relatives,family,0.4653045161395406
82,relatives,male,0.6137947746608419
83,relatives,female,0.6467075640932511
84,family,career,0.4052764387454586
85,family,family,0.0
86,family,male,0.46599979769518474
87,family,female,0.4141858110848029
88,home,career,0.5844463515981388
89,home,family,0.5641034249582314
90,home,male,0.695833603521032
91,home,female,0.6493363143711534
92,children,career,0.45328533708849983
93,children,family,0.29044325561970763
94,children,male,0.4877509230532273
95,children,female,0.4582478510361915
