,0,1,correlation
0,Rebecca,career,0.9124537583383872
1,Rebecca,family,0.7412458149723677
2,Rebecca,male,0.8818914030719444
3,Rebecca,female,0.8276761626064288
4,Michelle,career,0.9061893835066323
5,Michelle,family,0.7374810960998898
6,Michelle,male,0.8738602945362876
7,Michelle,female,0.8349100385454091
8,Emily,career,0.9026823188206266
9,Emily,family,0.7238211946889095
10,Emily,male,0.8613843320172301
11,Emily,female,0.8162605407216849
12,Julia,career,0.8891445978088335
13,Julia,family,0.7075524085047402
14,Julia,male,0.8560249556869863
15,Julia,female,0.8141875226237563
16,Anna,career,0.912045430776435
17,Anna,family,0.7432801717540781
18,Anna,male,0.8696571362351582
19,Anna,female,0.8242936778015398
20,Ben,career,0.9242709999666011
21,Ben,family,0.8090308335408578
22,Ben,male,0.8808845740741517
23,Ben,female,0.8949333611671716
24,Paul,career,0.888499696182748
25,Paul,family,0.7220079006355786
26,Paul,male,0.8783184460171394
27,Paul,female,0.8434195206961419
28,Daniel,career,0.9290711900011879
29,Daniel,family,0.7707666757242873
30,Daniel,male,0.9048837209547338
31,Daniel,female,0.8605556346238266
32,John,career,0.9376913209465988
33,John,family,0.778472151270169
34,John,male,0.9048284795996245
35,John,female,0.8546830610017193
36,Jeffrey,career,0.9276754067805878
37,Jeffrey,family,0.7713638970776169
38,Jeffrey,male,0.8978282308113423
39,Jeffrey,female,0.841607774106516
40,career,career,0.0
41,career,family,0.4052764387454586
42,career,male,0.5913393592924494
43,career,female,0.5282011468551433
44,corporation,career,0.44971212204457167
45,corporation,family,0.36773346433965526
46,corporation,male,0.6101745152459402
47,corporation,female,0.5820409465531466
48,salary,career,0.440681724449816
49,salary,family,0.4353180930602838
50,salary,male,0.5814098306119355
51,salary,female,0.5793052941045307
52,office,career,0.43768726334697894
53,office,family,0.4225559369810533
54,office,male,0.613984331501666
55,office,female,0.5824678953910607
56,professional,career,0.40586762689166533
57,professional,family,0.40915411733079743
58,professional,male,0.5089842210516945
59,professional,female,0.4246069032102082
60,management,career,0.3451634040528271
61,management,family,0.4018147455361498
62,management,male,0.6096863132633012
63,management,female,0.5726017587633996
64,business,career,0.3236225436293877
65,business,family,0.3655670195311702
66,business,male,0.6164294876483802
67,business,female,0.5434482208577379
68,wedding,career,0.46294703069090837
69,wedding,family,0.40712975031078413
70,wedding,male,0.6138405550916781
71,wedding,female,0.583320689569518
72,marriage,career,0.3707292782607785
73,marriage,family,0.3417679297731384
74,marriage,male,0.5790718277484959
75,marriage,female,0.5567764630130934
76,parents,career,0.42698688732413004
77,parents,family,0.29345406374499194
78,parents,male,0.5386964860923444
79,parents,female,0.5186548093815874
80,relatives,career,0.6026914230015774
81,relatives,family,0.4653045161395406
82,relatives,male,0.6137947746608419
83,relatives,female,0.6467075640932511
84,family,career,0.4052764387454586
85,family,family,0.0
86,family,male,0.46599979769518474
87,family,female,0.4141858110848029
88,home,career,0.5844463515981388
89,home,family,0.5641034249582314
90,home,male,0.695833603521032
91,home,female,0.6493363143711534
92,children,career,0.45328533708849983
93,children,family,0.29044325561970763
94,children,male,0.4877509230532273
95,children,female,0.4582478510361915
