,0,1,correlation
0,rebecca,career,0.8250965731769935
1,rebecca,family,0.8226538840229362
2,rebecca,male,0.8441003149430595
3,rebecca,female,0.7861631998404177
4,michelle,career,0.7740554373751406
5,michelle,family,0.7953736909023442
6,michelle,male,0.8741229582925016
7,michelle,female,0.8456423287034163
8,emily,career,0.7450954673996365
9,emily,family,0.7706101652338297
10,emily,male,0.9391036149400659
11,emily,female,0.9109081822315519
12,julia,career,0.8451394317231109
13,julia,family,0.8125842621017781
14,julia,male,0.8153340358323827
15,julia,female,0.7821129566261614
16,anna,career,0.8312668224223294
17,anna,family,0.8365752434843549
18,anna,male,0.8294257618062826
19,anna,female,0.7842159931774445
20,ben,career,0.8350466633435796
21,ben,family,0.8745401337962939
22,ben,male,0.9644260396114814
23,ben,female,0.9710871631268437
24,paul,career,0.8255911274620908
25,paul,family,0.8619876759997656
26,paul,male,1.0147829621271107
27,paul,female,0.9959530571539608
28,daniel,career,0.8226258489459232
29,daniel,family,0.8360040630872676
30,daniel,male,0.977893203479919
31,daniel,female,0.9584186249959121
32,john,career,0.81714625287279
33,john,family,0.8486062938924985
34,john,male,0.966792537372918
35,john,female,0.9479791628443419
36,jeffrey,career,0.804016566743077
37,jeffrey,family,0.8315935940962935
38,jeffrey,male,0.9473821194245184
39,jeffrey,female,0.9160163800849115
40,career,career,0.0
41,career,family,0.5469258783816646
42,career,male,0.7903781235405364
43,career,female,0.7070904125554801
44,corporation,career,0.5577184767039711
45,corporation,family,0.548153592819376
46,corporation,male,0.7194496328927832
47,corporation,female,0.6293372821086486
48,salary,career,0.6603335572225998
49,salary,family,0.6688599592539567
50,salary,male,0.7789837834119131
51,salary,female,0.8079627570940912
52,office,career,0.6433412034648627
53,office,family,0.6022509772341236
54,office,male,0.7499186553918968
55,office,female,0.6955101908158965
56,professional,career,0.49530100116309383
57,professional,family,0.6278381226980398
58,professional,male,0.7646676553390092
59,professional,female,0.601872028251
60,management,career,0.4733646103245426
61,management,family,0.5549650725769218
62,management,male,0.7294925645652217
63,management,female,0.7042091008542537
64,business,career,0.48819070094527983
65,business,family,0.539663969395471
66,business,male,0.8147476282532712
67,business,female,0.7374519504522037
68,wedding,career,0.5000394113379529
69,wedding,family,0.540408123560088
70,wedding,male,0.8223767170909438
71,wedding,female,0.7266183254425528
72,marriage,career,0.4611247419353365
73,marriage,family,0.5348102497506375
74,marriage,male,0.7149978908222927
75,marriage,female,0.6431745745667259
76,parents,career,0.6970141194194323
77,parents,family,0.5668437718599681
78,parents,male,0.7530398035878508
79,parents,female,0.7470573353681818
80,relatives,career,0.680618315403486
81,relatives,family,0.5442726082462366
82,relatives,male,0.7059292077885143
83,relatives,female,0.6728623915319869
84,family,career,0.5469258783816646
85,family,family,0.0
86,family,male,0.7277497188512215
87,family,female,0.65466798903936
88,home,career,0.636409096691722
89,home,family,0.5975141783329924
90,home,male,0.7275212312559418
91,home,female,0.6772132882964068
92,children,career,0.5989996817270054
93,children,family,0.5124827975455669
94,children,male,0.6929272095098434
95,children,female,0.6271996193355179
