,0,1,correlation
0,Rebecca,career,0.9385639164219501
1,Rebecca,family,0.8985937145485929
2,Rebecca,male,0.8644920886127347
3,Rebecca,female,0.7967369531278266
4,Michelle,career,0.917304808439877
5,Michelle,family,0.9000539942485268
6,Michelle,male,0.8576402698807959
7,Michelle,female,0.8060368289833547
8,Emily,career,0.8977092922936267
9,Emily,family,0.8578750581114608
10,Emily,male,0.8640739857057359
11,Emily,female,0.8141507519184231
12,Julia,career,0.9390788622715495
13,Julia,family,0.8805442304060566
14,Julia,male,0.8631411113467362
15,Julia,female,0.8123624959111349
16,Anna,career,0.9337620486607559
17,Anna,family,0.8913819935469875
18,Anna,male,0.8308570246241076
19,Anna,female,0.7871026745402916
20,Ben,career,0.947394885029962
21,Ben,family,0.9432820776665768
22,Ben,male,0.9593968157386641
23,Ben,female,0.9777915628386055
24,Paul,career,0.9281732464914465
25,Paul,family,0.9117723697173032
26,Paul,male,0.9484545113607499
27,Paul,female,0.9012238482948829
28,Daniel,career,0.9311002670875765
29,Daniel,family,0.906417484454233
30,Daniel,male,0.8848393414346718
31,Daniel,female,0.8295312517814163
32,John,career,0.9277569778441878
33,John,family,0.9054395560304668
34,John,male,0.9143043876003234
35,John,female,0.8677294376086115
36,Jeffrey,career,0.9359212102517689
37,Jeffrey,family,0.9142809641668354
38,Jeffrey,male,0.8799947379333987
39,Jeffrey,female,0.8327209294294602
40,career,career,0.0
41,career,family,0.5469258783816646
42,career,male,0.7903781235405364
43,career,female,0.7070904125554801
44,corporation,career,0.5577184767039711
45,corporation,family,0.548153592819376
46,corporation,male,0.7194496328927832
47,corporation,female,0.6293372821086486
48,salary,career,0.6603335572225998
49,salary,family,0.6688599592539567
50,salary,male,0.7789837834119131
51,salary,female,0.8079627570940912
52,office,career,0.6433412034648627
53,office,family,0.6022509772341236
54,office,male,0.7499186553918968
55,office,female,0.6955101908158965
56,professional,career,0.49530100116309383
57,professional,family,0.6278381226980398
58,professional,male,0.7646676553390092
59,professional,female,0.601872028251
60,management,career,0.4733646103245426
61,management,family,0.5549650725769218
62,management,male,0.7294925645652217
63,management,female,0.7042091008542537
64,business,career,0.48819070094527983
65,business,family,0.539663969395471
66,business,male,0.8147476282532712
67,business,female,0.7374519504522037
68,wedding,career,0.5000394113379529
69,wedding,family,0.540408123560088
70,wedding,male,0.8223767170909438
71,wedding,female,0.7266183254425528
72,marriage,career,0.4611247419353365
73,marriage,family,0.5348102497506375
74,marriage,male,0.7149978908222927
75,marriage,female,0.6431745745667259
76,parents,career,0.6970141194194323
77,parents,family,0.5668437718599681
78,parents,male,0.7530398035878508
79,parents,female,0.7470573353681818
80,relatives,career,0.680618315403486
81,relatives,family,0.5442726082462366
82,relatives,male,0.7059292077885143
83,relatives,female,0.6728623915319869
84,family,career,0.5469258783816646
85,family,family,0.0
86,family,male,0.7277497188512215
87,family,female,0.65466798903936
88,home,career,0.636409096691722
89,home,family,0.5975141783329924
90,home,male,0.7275212312559418
91,home,female,0.6772132882964068
92,children,career,0.5989996817270054
93,children,family,0.5124827975455669
94,children,male,0.6929272095098434
95,children,female,0.6271996193355179
