,0,1,correlation
0,rebecca,career,0.8261726070857067
1,rebecca,family,0.8241408128657581
2,rebecca,male,0.8457858474547221
3,rebecca,female,0.7959442014698066
4,michelle,career,0.7876347181730305
5,michelle,family,0.8128816023767769
6,michelle,male,0.8806519180716555
7,michelle,female,0.8356344488498373
8,emily,career,0.7586055837923393
9,emily,family,0.7757715542843625
10,emily,male,0.9328995098469004
11,emily,female,0.8932224901985871
12,julia,career,0.7999069025808233
13,julia,family,0.770513832898968
14,julia,male,0.8001124688167653
15,julia,female,0.764203146895615
16,anna,career,0.8213254132702464
17,anna,family,0.831767704277736
18,anna,male,0.8329639289576346
19,anna,female,0.7941330539427756
20,ben,career,0.8366902745818655
21,ben,family,0.8697332442591206
22,ben,male,0.9454830688956148
23,ben,female,0.939785723307871
24,paul,career,0.8327394637742117
25,paul,family,0.8702286633506097
26,paul,male,1.0004215307246795
27,paul,female,0.9665925103183792
28,daniel,career,0.8242960921890633
29,daniel,family,0.8354435460092695
30,daniel,male,0.9543463883727117
31,daniel,female,0.923732805859622
32,john,career,0.8272574227658293
33,john,family,0.8578981681693653
34,john,male,0.9592669851086748
35,john,female,0.9272866197554915
36,jeffrey,career,0.8139803745315687
37,jeffrey,family,0.8394968503323039
38,jeffrey,male,0.9366770360973563
39,jeffrey,female,0.8997430410155062
40,career,career,0.0
41,career,family,0.580737190701045
42,career,male,0.8004389730035907
43,career,female,0.7211082954702651
44,corporation,career,0.5930920752656429
45,corporation,family,0.5500349636065278
46,corporation,male,0.7242860788620078
47,corporation,female,0.6615433023912529
48,salary,career,0.6832213912920597
49,salary,family,0.6823861018382325
50,salary,male,0.8074887982362577
51,salary,female,0.8288025949416753
52,office,career,0.6614847727300948
53,office,family,0.5989986658340273
54,office,male,0.7721487929354751
55,office,female,0.7173550066703895
56,professional,career,0.5480213998242296
57,professional,family,0.649044222909755
58,professional,male,0.7620856155696257
59,professional,female,0.6197435350357963
60,management,career,0.5508042256268681
61,management,family,0.5765321499655289
62,management,male,0.7462502563658844
63,management,female,0.7513963614101449
64,business,career,0.5237618190425745
65,business,family,0.5533364954450741
66,business,male,0.8168994632857975
67,business,female,0.7511121409830915
68,wedding,career,0.5424079440638558
69,wedding,family,0.5506801078376458
70,wedding,male,0.814148753802088
71,wedding,female,0.7357915744728507
72,marriage,career,0.508058243229182
73,marriage,family,0.5602965133483062
74,marriage,male,0.7284884678173316
75,marriage,female,0.6783065765204086
76,parents,career,0.7012916366921098
77,parents,family,0.5496939374369165
78,parents,male,0.7356684509564992
79,parents,female,0.7381519247049566
80,relatives,career,0.7137210372964048
81,relatives,family,0.569919816028647
82,relatives,male,0.7182005558497682
83,relatives,female,0.7163967608956923
84,family,career,0.580737190701045
85,family,family,0.0
86,family,male,0.7313979298035144
87,family,female,0.6698696645794614
88,home,career,0.6562801087159122
89,home,family,0.5967427956804493
90,home,male,0.7410629452273698
91,home,female,0.6958594987632636
92,children,career,0.6496813031985881
93,children,family,0.5399321492651277
94,children,male,0.7087954273279825
95,children,female,0.6642515408889833
