,0,1,correlation
0,Rebecca,career,0.9418562383918521
1,Rebecca,family,0.8996175216279619
2,Rebecca,male,0.8753919882140844
3,Rebecca,female,0.841276078693035
4,Michelle,career,0.9205496750700224
5,Michelle,family,0.9013535030602429
6,Michelle,male,0.8655303043782366
7,Michelle,female,0.8433090837187931
8,Emily,career,0.9010900256338913
9,Emily,family,0.8530241050659458
10,Emily,male,0.8734325471810458
11,Emily,female,0.8475340461753018
12,Julia,career,0.9392707910184249
13,Julia,family,0.8770438430002033
14,Julia,male,0.8753774579677621
15,Julia,female,0.8526181894285078
16,Anna,career,0.9288705678709017
17,Anna,family,0.8864092075606548
18,Anna,male,0.8421644848244588
19,Anna,female,0.8266618554922078
20,Ben,career,0.9429814078573253
21,Ben,family,0.9378968434462268
22,Ben,male,0.9529686840096646
23,Ben,female,0.9725210612755215
24,Paul,career,0.9287024141330702
25,Paul,family,0.9088813999569494
26,Paul,male,0.9465373970443651
27,Paul,female,0.9174320114809189
28,Daniel,career,0.9281170791493372
29,Daniel,family,0.904252390021034
30,Daniel,male,0.8827347716697767
31,Daniel,female,0.8560005089032501
32,John,career,0.9254439520859533
33,John,family,0.9030145641736649
34,John,male,0.914926236233191
35,John,female,0.8917587360672552
36,Jeffrey,career,0.9412336032591969
37,Jeffrey,family,0.9143192194073857
38,Jeffrey,male,0.8957508429520589
39,Jeffrey,female,0.8771066514663248
40,career,career,0.0
41,career,family,0.580737190701045
42,career,male,0.8004389730035907
43,career,female,0.7211082954702651
44,corporation,career,0.5930920752656429
45,corporation,family,0.5500349636065278
46,corporation,male,0.7242860788620078
47,corporation,female,0.6615433023912529
48,salary,career,0.6832213912920597
49,salary,family,0.6823861018382325
50,salary,male,0.8074887982362577
51,salary,female,0.8288025949416753
52,office,career,0.6614847727300948
53,office,family,0.5989986658340273
54,office,male,0.7721487929354751
55,office,female,0.7173550066703895
56,professional,career,0.5480213998242296
57,professional,family,0.649044222909755
58,professional,male,0.7620856155696257
59,professional,female,0.6197435350357963
60,management,career,0.5508042256268681
61,management,family,0.5765321499655289
62,management,male,0.7462502563658844
63,management,female,0.7513963614101449
64,business,career,0.5237618190425745
65,business,family,0.5533364954450741
66,business,male,0.8168994632857975
67,business,female,0.7511121409830915
68,wedding,career,0.5424079440638558
69,wedding,family,0.5506801078376458
70,wedding,male,0.814148753802088
71,wedding,female,0.7357915744728507
72,marriage,career,0.508058243229182
73,marriage,family,0.5602965133483062
74,marriage,male,0.7284884678173316
75,marriage,female,0.6783065765204086
76,parents,career,0.7012916366921098
77,parents,family,0.5496939374369165
78,parents,male,0.7356684509564992
79,parents,female,0.7381519247049566
80,relatives,career,0.7137210372964048
81,relatives,family,0.569919816028647
82,relatives,male,0.7182005558497682
83,relatives,female,0.7163967608956923
84,family,career,0.580737190701045
85,family,family,0.0
86,family,male,0.7313979298035144
87,family,female,0.6698696645794614
88,home,career,0.6562801087159122
89,home,family,0.5967427956804493
90,home,male,0.7410629452273698
91,home,female,0.6958594987632636
92,children,career,0.6496813031985881
93,children,family,0.5399321492651277
94,children,male,0.7087954273279825
95,children,female,0.6642515408889833
