,0,1,correlation
0,rebecca,career,0.5781327274783412
1,rebecca,family,0.516293085898383
2,rebecca,male,0.5127544559155655
3,rebecca,female,0.6298497536088596
4,michelle,career,0.5052435139151461
5,michelle,family,0.4619341713838986
6,michelle,male,0.41800718224633593
7,michelle,female,0.5489752461503483
8,emily,career,0.5039466181646042
9,emily,family,0.4516907484438295
10,emily,male,0.4453354041464771
11,emily,female,0.5698553983065184
12,julia,career,0.4740443321920069
13,julia,family,0.42311117878284665
14,julia,male,0.3917311772578932
15,julia,female,0.5057510832942262
16,anna,career,0.5360900367394145
17,anna,family,0.4780876084389082
18,anna,male,0.43493610169900754
19,anna,female,0.564257567709774
20,ben,career,0.5582018328667776
21,ben,family,0.5154935067738134
22,ben,male,0.45478481699443685
23,ben,female,0.6374791517048066
24,paul,career,0.5270306667143967
25,paul,family,0.47402884599110784
26,paul,male,0.442873321186553
27,paul,female,0.5891738486347686
28,daniel,career,0.5110579277716958
29,daniel,family,0.4556610315871451
30,daniel,male,0.4376190284012509
31,daniel,female,0.5761407061663117
32,john,career,0.5137024768340759
33,john,family,0.46243853755331055
34,john,male,0.4460123709071886
35,john,female,0.5754504542643468
36,jeffrey,career,0.5228687783645005
37,jeffrey,family,0.46528189273589116
38,jeffrey,male,0.436759282861634
39,jeffrey,female,0.5674045343042656
40,career,career,0.0
41,career,family,0.2589715091378727
42,career,male,0.38577363888262306
43,career,female,0.35282051507717893
44,corporation,career,0.3939610691218308
45,corporation,family,0.3663098039487359
46,corporation,male,0.49593203423657317
47,corporation,female,0.5553613915109368
48,salary,career,0.335010849379088
49,salary,family,0.3754496388932571
50,salary,male,0.453525271284432
51,salary,female,0.42309232264469554
52,office,career,0.2914429324780774
53,office,family,0.28902586986630374
54,office,male,0.36548690730581435
55,office,female,0.3856287993524371
56,professional,career,0.3256262184974761
57,professional,family,0.3495434522035311
58,professional,male,0.3494307644552884
59,professional,female,0.22813825302608937
60,management,career,0.24347962068889217
61,management,family,0.28034645472602127
62,management,male,0.4035575729871803
63,management,female,0.41594104801813114
64,business,career,0.2025328447975503
65,business,family,0.28113624004817916
66,business,male,0.42924214583706455
67,business,female,0.3806784715781897
68,wedding,career,0.32842173516329654
69,wedding,family,0.3067169981851787
70,wedding,male,0.3810618311132662
71,wedding,female,0.30891614288089453
72,marriage,career,0.2715024449509995
73,marriage,family,0.24225215596131322
74,marriage,male,0.35231296199460715
75,marriage,female,0.373524289599626
76,parents,career,0.36554993804825464
77,parents,family,0.3106410112326281
78,parents,male,0.4530799688285624
79,parents,female,0.5372793913238669
80,relatives,career,0.4466133294967859
81,relatives,family,0.37512022277039714
82,relatives,male,0.49236517936992974
83,relatives,female,0.5922073686676104
84,family,career,0.2589715091378727
85,family,family,0.0
86,family,male,0.33285213739957653
87,family,female,0.3102444459375039
88,home,career,0.3689754386757981
89,home,family,0.3862116562727165
90,home,male,0.4919370299710607
91,home,female,0.49476989301592655
92,children,career,0.40972831587964265
93,children,family,0.3503497413465897
94,children,male,0.45663753077455627
95,children,female,0.5612805014581475
