,0,1,correlation
0,Rebecca,career,0.9982526279033165
1,Rebecca,family,0.9234313580617551
2,Rebecca,male,1.0308770758182992
3,Rebecca,female,0.9562476908724379
4,Michelle,career,0.92610844199126
5,Michelle,family,0.868051949391461
6,Michelle,male,0.9060156047564687
7,Michelle,female,0.9104310598845081
8,Emily,career,0.886664177771731
9,Emily,family,0.8204188960072192
10,Emily,male,0.8716734127412226
11,Emily,female,0.8709181004679948
12,Julia,career,0.9001765966627053
13,Julia,family,0.8390683048120771
14,Julia,male,0.8724848881555598
15,Julia,female,0.8906558746689055
16,Anna,career,0.9052715484380399
17,Anna,family,0.8600663972157453
18,Anna,male,0.8922825505862542
19,Anna,female,0.8956835739815366
20,Ben,career,0.8280237581455842
21,Ben,family,0.833292441019404
22,Ben,male,0.7521761846558939
23,Ben,female,0.9008940417338475
24,Paul,career,0.9523588233710665
25,Paul,family,0.8954325372589166
26,Paul,male,0.9506082897874482
27,Paul,female,0.9318422085943041
28,Daniel,career,0.8567375184228394
29,Daniel,family,0.8163201381260948
30,Daniel,male,0.8016521687846727
31,Daniel,female,0.8820369413506829
32,John,career,0.999842280189767
33,John,family,0.9297055194697841
34,John,male,1.019573967950419
35,John,female,0.9389806551450679
36,Jeffrey,career,0.9527894993671545
37,Jeffrey,family,0.8906570333880951
38,Jeffrey,male,0.9737386822765554
39,Jeffrey,female,0.926740602382521
40,career,career,0.0
41,career,family,0.38891570413591925
42,career,male,0.5508518475217263
43,career,female,0.5188621983604929
44,corporation,career,0.47589910004026736
45,corporation,family,0.48282682853577963
46,corporation,male,0.5045148919392695
47,corporation,female,0.601293354299071
48,salary,career,0.4235882975779881
49,salary,family,0.4887776424936201
50,salary,male,0.5063067986215167
51,salary,female,0.5732992059278468
52,office,career,0.4375501736170768
53,office,family,0.4275246983343871
54,office,male,0.4494441282906102
55,office,female,0.5238441545312962
56,professional,career,0.4347598314144018
57,professional,family,0.4742186923431707
58,professional,male,0.5148950703512518
59,professional,female,0.44731216728711043
60,management,career,0.326610603287528
61,management,family,0.4213531763060189
62,management,male,0.5056352461538964
63,management,female,0.5654305761588952
64,business,career,0.3076443728630873
65,business,family,0.38962689513188176
66,business,male,0.5666280527418859
67,business,female,0.5140120190982485
68,wedding,career,0.4872343008688853
69,wedding,family,0.4482171483642198
70,wedding,male,0.5260640167922446
71,wedding,female,0.5424699841962601
72,marriage,career,0.37351805433539875
73,marriage,family,0.36594660177481964
74,marriage,male,0.44925398541073747
75,marriage,female,0.525722651146538
76,parents,career,0.44826052328431
77,parents,family,0.38896785564037084
78,parents,male,0.4334517210116009
79,parents,female,0.5493330327024131
80,relatives,career,0.5248836158614696
81,relatives,family,0.4287151050183883
82,relatives,male,0.45590764062681677
83,relatives,female,0.5838177049218161
84,family,career,0.38891570413591925
85,family,family,0.0
86,family,male,0.49674885468716856
87,family,female,0.44878536868057595
88,home,career,0.5422034129420095
89,home,family,0.5686719864852476
90,home,male,0.6102792830127213
91,home,female,0.6405403015603726
92,children,career,0.4548096942531282
93,children,family,0.37550457936697057
94,children,male,0.4123223646198242
95,children,female,0.49924726189018276
