,0,1,correlation
0,rebecca,career,0.7643003342543955
1,rebecca,family,0.7470130766423796
2,rebecca,male,0.7310677121364574
3,rebecca,female,0.743472112136565
4,michelle,career,0.7225220791459848
5,michelle,family,0.7155724526775218
6,michelle,male,0.6711751481840104
7,michelle,female,0.699448319349907
8,emily,career,0.692569002439954
9,emily,family,0.6901624847207013
10,emily,male,0.6876353538776234
11,emily,female,0.710181451250095
12,julia,career,0.7357760941916791
13,julia,family,0.7354066540114174
14,julia,male,0.7170094105842928
15,julia,female,0.7504194750565835
16,anna,career,0.788169515558135
17,anna,family,0.7842630768836159
18,anna,male,0.7513214295416396
19,anna,female,0.7930285274933226
20,ben,career,0.7480827346615063
21,ben,family,0.7675717245886846
22,ben,male,0.720079688124874
23,ben,female,0.7790782935597957
24,paul,career,0.7199561587704397
25,paul,family,0.7147983904822357
26,paul,male,0.6711639577781463
27,paul,female,0.6900886578905104
28,daniel,career,0.7213092020159366
29,daniel,family,0.7230311908268032
30,daniel,male,0.6971723022698562
31,daniel,female,0.720034339031786
32,john,career,0.6943657284648552
33,john,family,0.6904537810522333
34,john,male,0.6775392207956225
35,john,female,0.6821778315111551
36,jeffrey,career,0.730199985241636
37,jeffrey,family,0.7525751162662793
38,jeffrey,male,0.7063665419677858
39,jeffrey,female,0.7625914651765632
40,career,career,0.0
41,career,family,0.3901231013235146
42,career,male,0.5554000969381068
43,career,female,0.48993542951157143
44,corporation,career,0.5239787105120683
45,corporation,family,0.5027786660784879
46,corporation,male,0.6587401396276467
47,corporation,female,0.6391015950328501
48,salary,career,0.49263388783255957
49,salary,family,0.5141448742893362
50,salary,male,0.5859527220834594
51,salary,female,0.5859126597941385
52,office,career,0.4693882408071661
53,office,family,0.4135772675255286
54,office,male,0.5326310150018141
55,office,female,0.5094017625574526
56,professional,career,0.47454238047408304
57,professional,family,0.44072280839837896
58,professional,male,0.48329920819675565
59,professional,female,0.39672001138031765
60,management,career,0.367771788711315
61,management,family,0.3724158870702723
62,management,male,0.5378382144790301
63,management,female,0.477629955252161
64,business,career,0.34025046319375873
65,business,family,0.37647526456135394
66,business,male,0.5654175083198971
67,business,female,0.484923414934864
68,wedding,career,0.4845293668177857
69,wedding,family,0.41979258259420926
70,wedding,male,0.5480503119035078
71,wedding,female,0.5022413094594111
72,marriage,career,0.3994297844178738
73,marriage,family,0.3334858694958668
74,marriage,male,0.49489629071969976
75,marriage,female,0.4702371223800579
76,parents,career,0.6539749503656135
77,parents,family,0.6328196058873119
78,parents,male,0.8206999691994287
79,parents,female,0.8378200255593244
80,relatives,career,0.7830984409582149
81,relatives,family,0.7543301365404412
82,relatives,male,0.918249660236982
83,relatives,female,0.953732619874959
84,family,career,0.3901231013235146
85,family,family,0.0
86,family,male,0.4631366203600267
87,family,female,0.39954927465606926
88,home,career,0.6203643265604648
89,home,family,0.5851137134177875
90,home,male,0.6446006503383821
91,home,female,0.6090149329499143
92,children,career,0.5505892291291226
93,children,family,0.4837424688937212
94,children,male,0.6640682628419807
95,children,female,0.6507056052575191
