,0,1,correlation
0,Rebecca,career,0.8863460906298665
1,Rebecca,family,0.77348590631276
2,Rebecca,male,0.8094894800782754
3,Rebecca,female,0.7494736409937004
4,Michelle,career,0.9029880199168376
5,Michelle,family,0.7876452547649756
6,Michelle,male,0.7989235578642888
7,Michelle,female,0.7524532295077105
8,Emily,career,0.8601546240885146
9,Emily,family,0.7322351316623213
10,Emily,male,0.7691568751781381
11,Emily,female,0.7057493467271452
12,Julia,career,0.8855971436376366
13,Julia,family,0.7822565984421345
14,Julia,male,0.7974048871115815
15,Julia,female,0.7573740266711406
16,Anna,career,0.9076684811906126
17,Anna,family,0.7993959432667198
18,Anna,male,0.8012904848826727
19,Anna,female,0.7681031203699226
20,Ben,career,0.8891726943847434
21,Ben,family,0.8416193597044879
22,Ben,male,0.8126098963886783
23,Ben,female,0.8410924798241045
24,Paul,career,0.8803326423654854
25,Paul,family,0.7785839349635694
26,Paul,male,0.7760241948392098
27,Paul,female,0.7527807206969017
28,Daniel,career,0.905571938241811
29,Daniel,family,0.8119134906773604
30,Daniel,male,0.8182802730123768
31,Daniel,female,0.7883626700363573
32,John,career,0.8869438449319045
33,John,family,0.7680423275657537
34,John,male,0.7891665147854523
35,John,female,0.7313726217328733
36,Jeffrey,career,0.8985468082719764
37,Jeffrey,family,0.790566970234308
38,Jeffrey,male,0.835391041821872
39,Jeffrey,female,0.7811171618454191
40,career,career,0.0
41,career,family,0.3901231013235146
42,career,male,0.5554000969381068
43,career,female,0.48993542951157143
44,corporation,career,0.5239787105120683
45,corporation,family,0.5027786660784879
46,corporation,male,0.6587401396276467
47,corporation,female,0.6391015950328501
48,salary,career,0.49263388783255957
49,salary,family,0.5141448742893362
50,salary,male,0.5859527220834594
51,salary,female,0.5859126597941385
52,office,career,0.4693882408071661
53,office,family,0.4135772675255286
54,office,male,0.5326310150018141
55,office,female,0.5094017625574526
56,professional,career,0.47454238047408304
57,professional,family,0.44072280839837896
58,professional,male,0.48329920819675565
59,professional,female,0.39672001138031765
60,management,career,0.367771788711315
61,management,family,0.3724158870702723
62,management,male,0.5378382144790301
63,management,female,0.477629955252161
64,business,career,0.34025046319375873
65,business,family,0.37647526456135394
66,business,male,0.5654175083198971
67,business,female,0.484923414934864
68,wedding,career,0.4845293668177857
69,wedding,family,0.41979258259420926
70,wedding,male,0.5480503119035078
71,wedding,female,0.5022413094594111
72,marriage,career,0.3994297844178738
73,marriage,family,0.3334858694958668
74,marriage,male,0.49489629071969976
75,marriage,female,0.4702371223800579
76,parents,career,0.6539749503656135
77,parents,family,0.6328196058873119
78,parents,male,0.8206999691994287
79,parents,female,0.8378200255593244
80,relatives,career,0.7830984409582149
81,relatives,family,0.7543301365404412
82,relatives,male,0.918249660236982
83,relatives,female,0.953732619874959
84,family,career,0.3901231013235146
85,family,family,0.0
86,family,male,0.4631366203600267
87,family,female,0.39954927465606926
88,home,career,0.6203643265604648
89,home,family,0.5851137134177875
90,home,male,0.6446006503383821
91,home,female,0.6090149329499143
92,children,career,0.5505892291291226
93,children,family,0.4837424688937212
94,children,male,0.6640682628419807
95,children,female,0.6507056052575191
