,0,1,correlation
0,rebecca,career,0.5919820820154675
1,rebecca,family,0.6104635530678604
2,rebecca,male,0.48331890668703226
3,rebecca,female,0.6419542920032307
4,michelle,career,0.5767070920764773
5,michelle,family,0.6376989898671881
6,michelle,male,0.4446850305562092
7,michelle,female,0.6109585748924062
8,emily,career,0.5477481031928505
9,emily,family,0.5956881591375017
10,emily,male,0.42881352297923747
11,emily,female,0.59587969454567
12,julia,career,0.5538027074429239
13,julia,family,0.5939298405191236
14,julia,male,0.4282031690328041
15,julia,female,0.5941281649359713
16,anna,career,0.5778729329195446
17,anna,family,0.6149126506488591
18,anna,male,0.442966133043722
19,anna,female,0.6134165845135804
20,ben,career,0.5984268424738493
21,ben,family,0.669402514183794
22,ben,male,0.4710191554748807
23,ben,female,0.6676514659312534
24,paul,career,0.5783909803987803
25,paul,family,0.6443750020325345
26,paul,male,0.4518618741056626
27,paul,female,0.6247579907180549
28,daniel,career,0.5548913518144554
29,daniel,family,0.6256005244625968
30,daniel,male,0.43113526274970926
31,daniel,female,0.6063196806848954
32,john,career,0.58994615641023
33,john,family,0.6504906712368979
34,john,male,0.47684560832959166
35,john,female,0.612924371445646
36,jeffrey,career,0.5791993832134656
37,jeffrey,family,0.6290215917585802
38,jeffrey,male,0.4584648396169364
39,jeffrey,female,0.6377685447403643
40,career,career,0.0
41,career,family,0.3581055331369798
42,career,male,0.46216210107045375
43,career,female,0.4535732982823045
44,corporation,career,0.4045314688927275
45,corporation,family,0.38739119408278755
46,corporation,male,0.4364050551617519
47,corporation,female,0.5473134631765765
48,salary,career,0.41581458138458804
49,salary,family,0.44917922443551894
50,salary,male,0.4850027236328288
51,salary,female,0.6083958720020739
52,office,career,0.4519384177947686
53,office,family,0.41638439841375385
54,office,male,0.46463397675084306
55,office,female,0.559947490677734
56,professional,career,0.3855717219482464
57,professional,family,0.43209415566779696
58,professional,male,0.47530037769416034
59,professional,female,0.41861421211534977
60,management,career,0.2964756113035878
61,management,family,0.3438668893886554
62,management,male,0.45266791163503073
63,management,female,0.5179406229223553
64,business,career,0.26937906640878884
65,business,family,0.35097231596814926
66,business,male,0.498651166055995
67,business,female,0.4929434135437716
68,wedding,career,0.5860897479848819
69,wedding,family,0.5232803745703032
70,wedding,male,0.6198678928525994
71,wedding,female,0.5843344113249479
72,marriage,career,0.31152173049275933
73,marriage,family,0.3119009438092486
74,marriage,male,0.4090473782777223
75,marriage,female,0.48664367027422406
76,parents,career,0.44741634344900905
77,parents,family,0.3630809329158122
78,parents,male,0.4462100301002777
79,parents,female,0.5667790690984694
80,relatives,career,0.530195145291194
81,relatives,family,0.39443181272437
82,relatives,male,0.489211240007393
83,relatives,female,0.6261569639516762
84,family,career,0.3581055331369798
85,family,family,0.0
86,family,male,0.45284571875963187
87,family,female,0.43713114877581605
88,home,career,0.5089881243120578
89,home,family,0.535845080492948
90,home,male,0.5518233945221596
91,home,female,0.6080919948998287
92,children,career,0.4686113472531125
93,children,family,0.34011949130521424
94,children,male,0.452575819981605
95,children,female,0.5325961726634982
