,0,1,correlation
0,Rebecca,career,0.9184119021986611
1,Rebecca,family,0.8510627188804403
2,Rebecca,male,0.9288007297321189
3,Rebecca,female,0.91600058265401
4,Michelle,career,0.8837683629312219
5,Michelle,family,0.8250214328689582
6,Michelle,male,0.8591410310710715
7,Michelle,female,0.8750108978856048
8,Emily,career,0.8556024900745656
9,Emily,family,0.7953702634433394
10,Emily,male,0.8577634499658493
11,Emily,female,0.8521436826594155
12,Julia,career,0.8780047276099165
13,Julia,family,0.8112248128210957
14,Julia,male,0.8629251965585871
15,Julia,female,0.862099098039065
16,Anna,career,0.8023053538105823
17,Anna,family,0.7773293057741177
18,Anna,male,0.7621283239508481
19,Anna,female,0.809574289256283
20,Ben,career,0.7342983492466497
21,Ben,family,0.7587829053578224
22,Ben,male,0.6635632323466718
23,Ben,female,0.815353435047449
24,Paul,career,0.8820933688816286
25,Paul,family,0.8385589380158439
26,Paul,male,0.8820874145183982
27,Paul,female,0.8969472838068229
28,Daniel,career,0.7899566083405752
29,Daniel,family,0.7768461450491635
30,Daniel,male,0.7308712991302906
31,Daniel,female,0.8328754222680703
32,John,career,0.9649951458448415
33,John,family,0.8890999216440806
34,John,male,0.987606717433537
35,John,female,0.9256021893190979
36,Jeffrey,career,0.9509443396860638
37,Jeffrey,family,0.8980196867614036
38,Jeffrey,male,0.9779629291682991
39,Jeffrey,female,0.9341303780160021
40,career,career,0.0
41,career,family,0.3581055331369798
42,career,male,0.46216210107045375
43,career,female,0.4535732982823045
44,corporation,career,0.4045314688927275
45,corporation,family,0.38739119408278755
46,corporation,male,0.4364050551617519
47,corporation,female,0.5473134631765765
48,salary,career,0.41581458138458804
49,salary,family,0.44917922443551894
50,salary,male,0.4850027236328288
51,salary,female,0.6083958720020739
52,office,career,0.4519384177947686
53,office,family,0.41638439841375385
54,office,male,0.46463397675084306
55,office,female,0.559947490677734
56,professional,career,0.3855717219482464
57,professional,family,0.43209415566779696
58,professional,male,0.47530037769416034
59,professional,female,0.41861421211534977
60,management,career,0.2964756113035878
61,management,family,0.3438668893886554
62,management,male,0.45266791163503073
63,management,female,0.5179406229223553
64,business,career,0.26937906640878884
65,business,family,0.35097231596814926
66,business,male,0.498651166055995
67,business,female,0.4929434135437716
68,wedding,career,0.5860897479848819
69,wedding,family,0.5232803745703032
70,wedding,male,0.6198678928525994
71,wedding,female,0.5843344113249479
72,marriage,career,0.31152173049275933
73,marriage,family,0.3119009438092486
74,marriage,male,0.4090473782777223
75,marriage,female,0.48664367027422406
76,parents,career,0.44741634344900905
77,parents,family,0.3630809329158122
78,parents,male,0.4462100301002777
79,parents,female,0.5667790690984694
80,relatives,career,0.530195145291194
81,relatives,family,0.39443181272437
82,relatives,male,0.489211240007393
83,relatives,female,0.6261569639516762
84,family,career,0.3581055331369798
85,family,family,0.0
86,family,male,0.45284571875963187
87,family,female,0.43713114877581605
88,home,career,0.5089881243120578
89,home,family,0.535845080492948
90,home,male,0.5518233945221596
91,home,female,0.6080919948998287
92,children,career,0.4686113472531125
93,children,family,0.34011949130521424
94,children,male,0.452575819981605
95,children,female,0.5325961726634982
