,0,1,correlation
0,rebecca,career,0.5081654525786152
1,rebecca,family,0.41159758820718273
2,rebecca,male,0.5504902733899624
3,rebecca,female,0.45817236506458225
4,michelle,career,0.5153137639144049
5,michelle,family,0.43563236925557836
6,michelle,male,0.5587565181531406
7,michelle,female,0.47680980414733387
8,emily,career,0.5200552011525956
9,emily,family,0.4253354198837773
10,emily,male,0.5717702371066089
11,emily,female,0.48349933344048224
12,julia,career,0.5975544380284635
13,julia,family,0.5491964002490641
14,julia,male,0.6472409269897328
15,julia,female,0.5901346207896028
16,anna,career,0.5616406339114617
17,anna,family,0.48903894264610526
18,anna,male,0.5933858888249006
19,anna,female,0.506381452734502
20,ben,career,0.5960467660340665
21,ben,family,0.5350832721430907
22,ben,male,0.6056177194619543
23,ben,female,0.5598539720206803
24,paul,career,0.5587856329839499
25,paul,family,0.46182498418505735
26,paul,male,0.5882628054288811
27,paul,female,0.5096081420214464
28,daniel,career,0.5453656264015694
29,daniel,family,0.4642214897530107
30,daniel,male,0.594206461322911
31,daniel,female,0.5198886239486042
32,john,career,0.5687297742885568
33,john,family,0.4861512623530142
34,john,male,0.5953969300459634
35,john,female,0.5168790010003366
36,jeffrey,career,0.5350665319568775
37,jeffrey,family,0.45525196735650486
38,jeffrey,male,0.6031087228245506
39,jeffrey,female,0.5155566655649253
40,career,career,0.0
41,career,family,0.3720872273203164
42,career,male,0.5737871765229421
43,career,female,0.45574503456153914
44,corporation,career,0.4679387042959914
45,corporation,family,0.3640182320917065
46,corporation,male,0.5683062458001445
47,corporation,female,0.45179239428794404
48,salary,career,0.43556132147370386
49,salary,family,0.46030171859951163
50,salary,male,0.5813218200471705
51,salary,female,0.5270295715927447
52,office,career,0.4277319817569948
53,office,family,0.3912294445381195
54,office,male,0.5744695698904847
55,office,female,0.4946065006271172
56,professional,career,0.395037990831844
57,professional,family,0.3802937974174483
58,professional,male,0.49371839359516256
59,professional,female,0.3304129491550577
60,management,career,0.38089643933151573
61,management,family,0.3733824654446939
62,management,male,0.5768070297697303
63,management,female,0.47290454774912527
64,business,career,0.3024595726956192
65,business,family,0.33842850012747117
66,business,male,0.5698593631053004
67,business,female,0.4500338457361789
68,wedding,career,0.4104151311003086
69,wedding,family,0.3543727705584324
70,wedding,male,0.5832283221108057
71,wedding,female,0.4836418721861011
72,marriage,career,0.3671059269824334
73,marriage,family,0.35619803219893886
74,marriage,male,0.5787256621817132
75,marriage,female,0.4983218812376885
76,parents,career,0.4252071964637062
77,parents,family,0.29027521231258213
78,parents,male,0.5252906052437469
79,parents,female,0.4404148390665117
80,relatives,career,0.539304484567334
81,relatives,family,0.3350116680285935
82,relatives,male,0.5198658828198484
83,relatives,female,0.4415291597761404
84,family,career,0.3720872273203164
85,family,family,0.0
86,family,male,0.4506043381673219
87,family,female,0.34098789913577
88,home,career,0.5480683865312161
89,home,family,0.5575070935148361
90,home,male,0.6720722904466286
91,home,female,0.6027395793063878
92,children,career,0.461729373496508
93,children,family,0.2741564822014845
94,children,male,0.4656293782960943
95,children,female,0.3673825305637831
