,0,1,correlation
0,Rebecca,career,0.7750593180466315
1,Rebecca,family,0.6448722904766779
2,Rebecca,male,0.7676445301881117
3,Rebecca,female,0.686778404936669
4,Michelle,career,0.7890770960360418
5,Michelle,family,0.6741176860857728
6,Michelle,male,0.7802766336719675
7,Michelle,female,0.7052274761256169
8,Emily,career,0.7634561108243003
9,Emily,family,0.6446170429456115
10,Emily,male,0.7559267579261737
11,Emily,female,0.6789385554795568
12,Julia,career,0.7482757444094117
13,Julia,family,0.6185233239201513
14,Julia,male,0.7425756291899871
15,Julia,female,0.6515902177431914
16,Anna,career,0.7973306076587764
17,Anna,family,0.6916626255684593
18,Anna,male,0.7829275412126344
19,Anna,female,0.7068408780501183
20,Ben,career,0.8461189370506439
21,Ben,family,0.7677875169623887
22,Ben,male,0.8230430404213688
23,Ben,female,0.8053773607031203
24,Paul,career,0.8062048351744002
25,Paul,family,0.7032585030170557
26,Paul,male,0.7991329737441613
27,Paul,female,0.7418360706302195
28,Daniel,career,0.7628659239024084
29,Daniel,family,0.6476085449899007
30,Daniel,male,0.7559979924892001
31,Daniel,female,0.6872220690524464
32,John,career,0.8111582846370161
33,John,family,0.7021196206599917
34,John,male,0.7938011662317812
35,John,female,0.735354371314072
36,Jeffrey,career,0.7677843585709135
37,Jeffrey,family,0.6729890791717724
38,Jeffrey,male,0.7941349574684764
39,Jeffrey,female,0.7094300536922504
40,career,career,0.0
41,career,family,0.3720872273203164
42,career,male,0.5737871765229421
43,career,female,0.45574503456153914
44,corporation,career,0.4679387042959914
45,corporation,family,0.3640182320917065
46,corporation,male,0.5683062458001445
47,corporation,female,0.45179239428794404
48,salary,career,0.43556132147370386
49,salary,family,0.46030171859951163
50,salary,male,0.5813218200471705
51,salary,female,0.5270295715927447
52,office,career,0.4277319817569948
53,office,family,0.3912294445381195
54,office,male,0.5744695698904847
55,office,female,0.4946065006271172
56,professional,career,0.395037990831844
57,professional,family,0.3802937974174483
58,professional,male,0.49371839359516256
59,professional,female,0.3304129491550577
60,management,career,0.38089643933151573
61,management,family,0.3733824654446939
62,management,male,0.5768070297697303
63,management,female,0.47290454774912527
64,business,career,0.3024595726956192
65,business,family,0.33842850012747117
66,business,male,0.5698593631053004
67,business,female,0.4500338457361789
68,wedding,career,0.4104151311003086
69,wedding,family,0.3543727705584324
70,wedding,male,0.5832283221108057
71,wedding,female,0.4836418721861011
72,marriage,career,0.3671059269824334
73,marriage,family,0.35619803219893886
74,marriage,male,0.5787256621817132
75,marriage,female,0.4983218812376885
76,parents,career,0.4252071964637062
77,parents,family,0.29027521231258213
78,parents,male,0.5252906052437469
79,parents,female,0.4404148390665117
80,relatives,career,0.539304484567334
81,relatives,family,0.3350116680285935
82,relatives,male,0.5198658828198484
83,relatives,female,0.4415291597761404
84,family,career,0.3720872273203164
85,family,family,0.0
86,family,male,0.4506043381673219
87,family,female,0.34098789913577
88,home,career,0.5480683865312161
89,home,family,0.5575070935148361
90,home,male,0.6720722904466286
91,home,female,0.6027395793063878
92,children,career,0.461729373496508
93,children,family,0.2741564822014845
94,children,male,0.4656293782960943
95,children,female,0.3673825305637831
