,0,1,correlation
0,rebecca,career,0.8122151986578947
1,rebecca,family,0.8286226653954112
2,rebecca,male,0.8038757769781928
3,rebecca,female,0.7806459355116124
4,michelle,career,0.7693948520503425
5,michelle,family,0.8000795568397856
6,michelle,male,0.8424693009662501
7,michelle,female,0.8222783577732683
8,emily,career,0.7498785126293623
9,emily,family,0.7813924432763603
10,emily,male,0.9117752455440912
11,emily,female,0.891658261892498
12,julia,career,0.8000888282610078
13,julia,family,0.765892826051838
14,julia,male,0.7569735333268235
15,julia,female,0.7614153122803862
16,anna,career,0.82702793617623
17,anna,family,0.8383643300828256
18,anna,male,0.780069823176413
19,anna,female,0.7790498174166308
20,ben,career,0.8443898750329195
21,ben,family,0.8843917551889103
22,ben,male,0.9165023530957608
23,ben,female,0.951126511530373
24,paul,career,0.8313074186117004
25,paul,family,0.8695665241421711
26,paul,male,0.964713329296123
27,paul,female,0.9683352145561502
28,daniel,career,0.826356155866443
29,daniel,family,0.848522068905266
30,daniel,male,0.9304424143521848
31,daniel,female,0.9305620328956289
32,john,career,0.8189010911556021
33,john,family,0.8460016035559271
34,john,male,0.9225027371974377
35,john,female,0.9160298470302832
36,jeffrey,career,0.8017761811220949
37,jeffrey,family,0.8353245113114427
38,jeffrey,male,0.9089696536278121
39,jeffrey,female,0.8931912010364478
40,career,career,0.0
41,career,family,0.5481465764785728
42,career,male,0.786178123496689
43,career,female,0.686475969482518
44,corporation,career,0.5201747245253097
45,corporation,family,0.5317281255013848
46,corporation,male,0.7406873044878169
47,corporation,female,0.6488377797285172
48,salary,career,0.6358511196562067
49,salary,family,0.6521899964076697
50,salary,male,0.8076627095083998
51,salary,female,0.8035949626539189
52,office,career,0.6327981995592589
53,office,family,0.5941853029888493
54,office,male,0.7551974997056929
55,office,female,0.6951622090633585
56,professional,career,0.4840819287621496
57,professional,family,0.6226785034884394
58,professional,male,0.7548415318145844
59,professional,female,0.6025256915685353
60,management,career,0.43601692859693864
61,management,family,0.5261944372359362
62,management,male,0.7511505334747048
63,management,female,0.6943371702669805
64,business,career,0.4937857077907297
65,business,family,0.5433158204981147
66,business,male,0.839377830573612
67,business,female,0.7381835941069925
68,wedding,career,0.4802510525111173
69,wedding,family,0.5370141084318379
70,wedding,male,0.8008271018897221
71,wedding,female,0.7071795823706759
72,marriage,career,0.44866148814425055
73,marriage,family,0.5355458999982371
74,marriage,male,0.7199113310721842
75,marriage,female,0.6398442217044069
76,parents,career,0.6784525517464061
77,parents,family,0.5582186405037459
78,parents,male,0.7541814601697728
79,parents,female,0.7302362022257055
80,relatives,career,0.6579473298957681
81,relatives,family,0.5218471017144016
82,relatives,male,0.7171262356783156
83,relatives,female,0.6800054226790352
84,family,career,0.5481465764785728
85,family,family,0.0
86,family,male,0.7301989937520108
87,family,female,0.6373832593127389
88,home,career,0.6315373916156632
89,home,family,0.6121975511183297
90,home,male,0.7358881774928989
91,home,female,0.6728113378849951
92,children,career,0.5790715899226464
93,children,family,0.5134758422969449
94,children,male,0.708985411412727
95,children,female,0.6300742713599258
