,0,1,correlation
0,Rebecca,career,0.9139836359204414
1,Rebecca,family,0.8842140392243223
2,Rebecca,male,0.848416835638439
3,Rebecca,female,0.8074205371481598
4,Michelle,career,0.8992869677169424
5,Michelle,family,0.8875911777357035
6,Michelle,male,0.8519804546211405
7,Michelle,female,0.819846887320455
8,Emily,career,0.8777288095418366
9,Emily,family,0.845792175869559
10,Emily,male,0.8557376820984484
11,Emily,female,0.8218804396610496
12,Julia,career,0.9110472346785874
13,Julia,family,0.8618767623704051
14,Julia,male,0.8532108703802612
15,Julia,female,0.8154680736260701
16,Anna,career,0.9063050981886194
17,Anna,family,0.8767384960482684
18,Anna,male,0.8282100552368548
19,Anna,female,0.8046205295736153
20,Ben,career,0.9444680613186907
21,Ben,family,0.9399002396990894
22,Ben,male,0.9196754444983809
23,Ben,female,0.963080684547761
24,Paul,career,0.9167557952745208
25,Paul,family,0.9037999883516658
26,Paul,male,0.9184606469542731
27,Paul,female,0.9019597652741924
28,Daniel,career,0.9147415947492638
29,Daniel,family,0.8932307023295093
30,Daniel,male,0.8678127352127394
31,Daniel,female,0.8383806999707
32,John,career,0.9063990729137168
33,John,family,0.8878494371900069
34,John,male,0.8968436873738602
35,John,female,0.869834610937551
36,Jeffrey,career,0.9177134065670496
37,Jeffrey,family,0.8979734285458503
38,Jeffrey,male,0.8812304640894765
39,Jeffrey,female,0.8542222256468969
40,career,career,0.0
41,career,family,0.5481465764785728
42,career,male,0.786178123496689
43,career,female,0.686475969482518
44,corporation,career,0.5201747245253097
45,corporation,family,0.5317281255013848
46,corporation,male,0.7406873044878169
47,corporation,female,0.6488377797285172
48,salary,career,0.6358511196562067
49,salary,family,0.6521899964076697
50,salary,male,0.8076627095083998
51,salary,female,0.8035949626539189
52,office,career,0.6327981995592589
53,office,family,0.5941853029888493
54,office,male,0.7551974997056929
55,office,female,0.6951622090633585
56,professional,career,0.4840819287621496
57,professional,family,0.6226785034884394
58,professional,male,0.7548415318145844
59,professional,female,0.6025256915685353
60,management,career,0.43601692859693864
61,management,family,0.5261944372359362
62,management,male,0.7511505334747048
63,management,female,0.6943371702669805
64,business,career,0.4937857077907297
65,business,family,0.5433158204981147
66,business,male,0.839377830573612
67,business,female,0.7381835941069925
68,wedding,career,0.4802510525111173
69,wedding,family,0.5370141084318379
70,wedding,male,0.8008271018897221
71,wedding,female,0.7071795823706759
72,marriage,career,0.44866148814425055
73,marriage,family,0.5355458999982371
74,marriage,male,0.7199113310721842
75,marriage,female,0.6398442217044069
76,parents,career,0.6784525517464061
77,parents,family,0.5582186405037459
78,parents,male,0.7541814601697728
79,parents,female,0.7302362022257055
80,relatives,career,0.6579473298957681
81,relatives,family,0.5218471017144016
82,relatives,male,0.7171262356783156
83,relatives,female,0.6800054226790352
84,family,career,0.5481465764785728
85,family,family,0.0
86,family,male,0.7301989937520108
87,family,female,0.6373832593127389
88,home,career,0.6315373916156632
89,home,family,0.6121975511183297
90,home,male,0.7358881774928989
91,home,female,0.6728113378849951
92,children,career,0.5790715899226464
93,children,family,0.5134758422969449
94,children,male,0.708985411412727
95,children,female,0.6300742713599258
