,0,1,cosine
0,rebecca,career,0.57388615919191
1,rebecca,family,0.6021696041862139
2,rebecca,male,0.6515508165331263
3,rebecca,female,0.6354256313863498
4,michelle,career,0.5913157861825216
5,michelle,family,0.6335285497608844
6,michelle,male,0.6438489105776646
7,michelle,female,0.6416996935215571
8,emily,career,0.5991976264895276
9,emily,family,0.5895640108419931
10,emily,male,0.6380356790798485
11,emily,female,0.6299752702830914
12,julia,career,0.6183616427229681
13,julia,family,0.6286824011555625
14,julia,male,0.6648516142877523
15,julia,female,0.6691863011630149
16,anna,career,0.5300402322512314
17,anna,family,0.5380599711632608
18,anna,male,0.5928461854309697
19,anna,female,0.5768506254103936
20,ben,career,0.5873782633809725
21,ben,family,0.596469575442896
22,ben,male,0.6067822331429373
23,ben,female,0.6438122644910049
24,paul,career,0.6230979093906592
25,paul,family,0.6334994630867272
26,paul,male,0.6562453147123501
27,paul,female,0.6581745829891616
28,daniel,career,0.6110304115492537
29,daniel,family,0.6287487494196522
30,daniel,male,0.651295554360111
31,daniel,female,0.6600843560030563
32,john,career,0.542179992717234
33,john,family,0.5461532664388273
34,john,male,0.5869869869592095
35,john,female,0.5906674138468322
36,jeffrey,career,0.6466206740974794
37,jeffrey,family,0.6745283799238113
38,jeffrey,male,0.6982832037053456
39,jeffrey,female,0.7032630168088361
40,career,career,0.0
41,career,family,0.3327133177675351
42,career,male,0.49074011434297526
43,career,female,0.46184361860288714
44,corporation,career,0.46361528030053756
45,corporation,family,0.4348766693677416
46,corporation,male,0.5953407183509462
47,corporation,female,0.5915509811209154
48,salary,career,0.33132036687011934
49,salary,family,0.36229431310720395
50,salary,male,0.47743700078128404
51,salary,female,0.4941000195192299
52,office,career,0.3553419194874673
53,office,family,0.353103179878113
54,office,male,0.5261509301578571
55,office,female,0.5180161427891765
56,professional,career,0.33610502672925024
57,professional,family,0.3728149664480296
58,professional,male,0.4458409383641828
59,professional,female,0.38865249762238663
60,management,career,0.2979797610076871
61,management,family,0.3306552442336015
62,management,male,0.5151812208768469
63,management,female,0.5181012729120062
64,business,career,0.2690333417308909
65,business,family,0.3187347295225713
66,business,male,0.5355615909750511
67,business,female,0.49681291705556807
68,wedding,career,0.528342132758695
69,wedding,family,0.4982903054515643
70,wedding,male,0.6529899153486987
71,wedding,female,0.6085339178686142
72,marriage,career,0.4157803875973288
73,marriage,family,0.4353866330324887
74,marriage,male,0.5914552880518038
75,marriage,female,0.5743206826306942
76,parents,career,0.38566731352248784
77,parents,family,0.2770326844474681
78,parents,male,0.4647855520212407
79,parents,female,0.468089270688952
80,relatives,career,0.5725358755826718
81,relatives,family,0.44914282320314136
82,relatives,male,0.589346681692817
83,relatives,female,0.6165647002061581
84,family,career,0.3327133177675351
85,family,family,0.0
86,family,male,0.4174972588541036
87,family,female,0.39115254914737396
88,home,career,0.5419433184918673
89,home,family,0.5439401857674995
90,home,male,0.6734884845269508
91,home,female,0.6533078071262777
92,children,career,0.4091169028302645
93,children,family,0.29330175361523414
94,children,male,0.44162529960665586
95,children,female,0.4448827300615378
