,0,1,cosine
0,Rebecca,career,0.8644913550641502
1,Rebecca,family,0.8053943583062786
2,Rebecca,male,0.8832505142847915
3,Rebecca,female,0.8719063728510774
4,Michelle,career,0.8161569643749409
5,Michelle,family,0.760879703521098
6,Michelle,male,0.837289634062856
7,Michelle,female,0.838299227127443
8,Emily,career,0.8295345929020568
9,Emily,family,0.75982741879676
10,Emily,male,0.846777296198987
11,Emily,female,0.8348140975227233
12,Julia,career,0.8437832808194997
13,Julia,family,0.7732762065381312
14,Julia,male,0.8541203485741968
15,Julia,female,0.8538161616202846
16,Anna,career,0.8241401606281533
17,Anna,family,0.7659681230157597
18,Anna,male,0.838044727359419
19,Anna,female,0.83136078271602
20,Ben,career,0.8666623076799272
21,Ben,family,0.8358581294209713
22,Ben,male,0.8743586474273888
23,Ben,female,0.9094065576469675
24,Paul,career,0.8013221586407957
25,Paul,family,0.7418057793719574
26,Paul,male,0.8424330186867542
27,Paul,female,0.8500228416085183
28,Daniel,career,0.8333384521399013
29,Daniel,family,0.7726771883151179
30,Daniel,male,0.8507327802315261
31,Daniel,female,0.8540247129284197
32,John,career,0.8384418256365218
33,John,family,0.7805207944950439
34,John,male,0.8595272133356224
35,John,female,0.8570216608370662
36,Jeffrey,career,0.8834518381391241
37,Jeffrey,family,0.8301168637258427
38,Jeffrey,male,0.8976063944448945
39,Jeffrey,female,0.8896637030958309
40,career,career,0.0
41,career,family,0.3327133177675351
42,career,male,0.49074011434297526
43,career,female,0.46184361860288714
44,corporation,career,0.46361528030053756
45,corporation,family,0.4348766693677416
46,corporation,male,0.5953407183509462
47,corporation,female,0.5915509811209154
48,salary,career,0.33132036687011934
49,salary,family,0.36229431310720395
50,salary,male,0.47743700078128404
51,salary,female,0.4941000195192299
52,office,career,0.3553419194874673
53,office,family,0.353103179878113
54,office,male,0.5261509301578571
55,office,female,0.5180161427891765
56,professional,career,0.33610502672925024
57,professional,family,0.3728149664480296
58,professional,male,0.4458409383641828
59,professional,female,0.38865249762238663
60,management,career,0.2979797610076871
61,management,family,0.3306552442336015
62,management,male,0.5151812208768469
63,management,female,0.5181012729120062
64,business,career,0.2690333417308909
65,business,family,0.3187347295225713
66,business,male,0.5355615909750511
67,business,female,0.49681291705556807
68,wedding,career,0.528342132758695
69,wedding,family,0.4982903054515643
70,wedding,male,0.6529899153486987
71,wedding,female,0.6085339178686142
72,marriage,career,0.4157803875973288
73,marriage,family,0.4353866330324887
74,marriage,male,0.5914552880518038
75,marriage,female,0.5743206826306942
76,parents,career,0.38566731352248784
77,parents,family,0.2770326844474681
78,parents,male,0.4647855520212407
79,parents,female,0.468089270688952
80,relatives,career,0.5725358755826718
81,relatives,family,0.44914282320314136
82,relatives,male,0.589346681692817
83,relatives,female,0.6165647002061581
84,family,career,0.3327133177675351
85,family,family,0.0
86,family,male,0.4174972588541036
87,family,female,0.39115254914737396
88,home,career,0.5419433184918673
89,home,family,0.5439401857674995
90,home,male,0.6734884845269508
91,home,female,0.6533078071262777
92,children,career,0.4091169028302645
93,children,family,0.29330175361523414
94,children,male,0.44162529960665586
95,children,female,0.4448827300615378
