,0,1,cosine
0,rebecca,career,0.5544493899560257
1,rebecca,family,0.49981997364581876
2,rebecca,male,0.6177473818674539
3,rebecca,female,0.5847694685888354
4,michelle,career,0.5551432123877773
5,michelle,family,0.5002729278122192
6,michelle,male,0.5958174810360259
7,michelle,female,0.5780207918625786
8,emily,career,0.5604053714286217
9,emily,family,0.45914808591356804
10,emily,male,0.5896445982994027
11,emily,female,0.5727239608216218
12,julia,career,0.5785691730787308
13,julia,family,0.5176140867747682
14,julia,male,0.6294331285949558
15,julia,female,0.630327457412567
16,anna,career,0.5685717631221479
17,anna,family,0.49753085012884846
18,anna,male,0.6116487363581606
19,anna,female,0.5808766844967209
20,ben,career,0.6038031334598928
21,ben,family,0.5684521633340696
22,ben,male,0.618507901624928
23,ben,female,0.6458505290828273
24,paul,career,0.5999536483961827
25,paul,family,0.523504007208474
26,paul,male,0.6189945818921134
27,paul,female,0.6092365811524398
28,daniel,career,0.5793668956778434
29,daniel,family,0.5108540391960605
30,daniel,male,0.6151452858246916
31,daniel,female,0.6041455762212582
32,john,career,0.5986098618402724
33,john,family,0.5339694963394173
34,john,male,0.6186947184466159
35,john,female,0.6066405111747272
36,jeffrey,career,0.616199073399121
37,jeffrey,family,0.545348189278813
38,jeffrey,male,0.647302141658912
39,jeffrey,female,0.6318550275542718
40,career,career,0.0
41,career,family,0.40525712285192583
42,career,male,0.5912273258453584
43,career,female,0.5280881535582475
44,corporation,career,0.44976551167313794
45,corporation,family,0.36775139243506483
46,corporation,male,0.6102375858432166
47,corporation,female,0.5821345617092533
48,salary,career,0.44070554495595726
49,salary,family,0.43531984293706727
50,salary,male,0.5814375668570109
51,salary,female,0.5793522710029244
52,office,career,0.4379642378967249
53,office,family,0.42271434558053267
54,office,male,0.6142974363151606
55,office,female,0.5828594311126913
56,professional,career,0.4058699175349614
57,professional,family,0.40914610408130125
58,professional,male,0.5089884281332554
59,professional,female,0.4246425493374746
60,management,career,0.3451985119926869
61,management,family,0.401819003718927
62,management,male,0.6097157688373942
63,management,female,0.5726563314088466
64,business,career,0.32368895638534534
65,business,family,0.36558678070714923
66,business,male,0.6164960226199194
67,business,female,0.543553967462993
68,wedding,career,0.4630899830298898
69,wedding,family,0.40720036191163034
70,wedding,male,0.6140113100831539
71,wedding,female,0.5835436201349792
72,marriage,career,0.37069067105510844
73,marriage,family,0.34175171202617605
74,marriage,male,0.5789976044720855
75,marriage,female,0.556701154062081
76,parents,career,0.4269038580631346
77,parents,family,0.2934651855767295
78,parents,male,0.5385527307105646
79,parents,female,0.5184878908632625
80,relatives,career,0.6025671634588007
81,relatives,family,0.4652889381224572
82,relatives,male,0.6136267064012088
83,relatives,female,0.6464930038414257
84,family,career,0.40525712285192583
85,family,family,0.0
86,family,male,0.46597934420048504
87,family,female,0.4141860776398677
88,home,career,0.5846456458278482
89,home,family,0.5642103293123848
90,home,male,0.6960709072241833
91,home,female,0.6496402465471489
92,children,career,0.45320310351195736
93,children,family,0.29044498909823646
94,children,male,0.4876348931180031
95,children,female,0.4581199620929923
