,0,1,cosine
0,Rebecca,career,0.9123803071277343
1,Rebecca,family,0.7412155119564339
2,Rebecca,male,0.8818037948612001
3,Rebecca,female,0.8275843480853604
4,Michelle,career,0.9061139000923851
5,Michelle,family,0.7374499591337944
6,Michelle,male,0.8737704860651668
7,Michelle,female,0.834812693523824
8,Emily,career,0.9025892502144846
9,Emily,family,0.7237843992733364
10,Emily,male,0.8612736095941227
11,Emily,female,0.8161396777862642
12,Julia,career,0.8890864318212317
13,Julia,family,0.7075283580573986
14,Julia,male,0.8559577252572473
15,Julia,female,0.814118458407912
16,Anna,career,0.9118822919443267
17,Anna,family,0.7432228342688436
18,Anna,male,0.8694581271215149
19,Anna,female,0.8240671224566101
20,Ben,career,0.9242332741800476
21,Ben,family,0.8090137241852239
22,Ben,male,0.8808439009419249
23,Ben,female,0.8948851016990809
24,Paul,career,0.8884320318389631
25,Paul,family,0.7219796741234691
26,Paul,male,0.8782357979984625
27,Paul,female,0.8433298587263456
28,Daniel,career,0.928985472681617
29,Daniel,family,0.7707310954424864
30,Daniel,male,0.9047791886966409
31,Daniel,female,0.8604408769351642
32,John,career,0.9376173066170529
33,John,family,0.7784410703577533
34,John,male,0.9047399475404719
35,John,female,0.854588656469826
36,Jeffrey,career,0.9276667332135333
37,Jeffrey,family,0.7713612746360432
38,Jeffrey,male,0.8978227891080572
39,Jeffrey,female,0.8416145992665955
40,career,career,0.0
41,career,family,0.40525712285192583
42,career,male,0.5912273258453584
43,career,female,0.5280881535582475
44,corporation,career,0.44976551167313794
45,corporation,family,0.36775139243506483
46,corporation,male,0.6102375858432166
47,corporation,female,0.5821345617092533
48,salary,career,0.44070554495595726
49,salary,family,0.43531984293706727
50,salary,male,0.5814375668570109
51,salary,female,0.5793522710029244
52,office,career,0.4379642378967249
53,office,family,0.42271434558053267
54,office,male,0.6142974363151606
55,office,female,0.5828594311126913
56,professional,career,0.4058699175349614
57,professional,family,0.40914610408130125
58,professional,male,0.5089884281332554
59,professional,female,0.4246425493374746
60,management,career,0.3451985119926869
61,management,family,0.401819003718927
62,management,male,0.6097157688373942
63,management,female,0.5726563314088466
64,business,career,0.32368895638534534
65,business,family,0.36558678070714923
66,business,male,0.6164960226199194
67,business,female,0.543553967462993
68,wedding,career,0.4630899830298898
69,wedding,family,0.40720036191163034
70,wedding,male,0.6140113100831539
71,wedding,female,0.5835436201349792
72,marriage,career,0.37069067105510844
73,marriage,family,0.34175171202617605
74,marriage,male,0.5789976044720855
75,marriage,female,0.556701154062081
76,parents,career,0.4269038580631346
77,parents,family,0.2934651855767295
78,parents,male,0.5385527307105646
79,parents,female,0.5184878908632625
80,relatives,career,0.6025671634588007
81,relatives,family,0.4652889381224572
82,relatives,male,0.6136267064012088
83,relatives,female,0.6464930038414257
84,family,career,0.40525712285192583
85,family,family,0.0
86,family,male,0.46597934420048504
87,family,female,0.4141860776398677
88,home,career,0.5846456458278482
89,home,family,0.5642103293123848
90,home,male,0.6960709072241833
91,home,female,0.6496402465471489
92,children,career,0.45320310351195736
93,children,family,0.29044498909823646
94,children,male,0.4876348931180031
95,children,female,0.4581199620929923
