,0,1,cosine
0,rebecca,career,0.8250603475302885
1,rebecca,family,0.8225620892177855
2,rebecca,male,0.8444177726103631
3,rebecca,female,0.7863248957132576
4,michelle,career,0.774089926094711
5,michelle,family,0.795494022280359
6,michelle,male,0.8740537198523195
7,michelle,female,0.8455926915394348
8,emily,career,0.7450509375195071
9,emily,family,0.770483767582958
10,emily,male,0.9394542938547353
11,emily,female,0.9110958200657718
12,julia,career,0.8451176358084131
13,julia,family,0.8125431365242941
14,julia,male,0.8155758484138891
15,julia,female,0.7822237632840381
16,anna,career,0.8312375389844103
17,anna,family,0.8365042690323501
18,anna,male,0.8297066935620641
19,anna,female,0.7843527093539132
20,ben,career,0.835085422455801
21,ben,family,0.8746617081945306
22,ben,male,0.964276693857033
23,ben,female,0.9710006166300966
24,paul,career,0.8255533906791561
25,paul,family,0.8618826898087325
26,paul,male,1.0150089976031795
27,paul,female,0.9960804579908963
28,daniel,career,0.8225847930525974
29,daniel,family,0.835892690509271
30,daniel,male,0.9781632848587976
31,daniel,female,0.9585652532938349
32,john,career,0.817103698517115
33,john,family,0.8484860040589159
34,john,male,0.9670809821802256
35,john,female,0.9481342412879171
36,jeffrey,career,0.8040632758869476
37,jeffrey,family,0.8317417709178562
38,jeffrey,male,0.9472125527847958
39,jeffrey,female,0.9159236618217657
40,career,career,0.0
41,career,family,0.5468931502683145
42,career,male,0.7907227794648642
43,career,female,0.707264352008398
44,corporation,career,0.5576811849791883
45,corporation,family,0.5479673830781109
46,corporation,male,0.7202508350387439
47,corporation,female,0.629779231347797
48,salary,career,0.660287169381061
49,salary,family,0.6685247344695948
50,salary,male,0.7800942304685882
51,salary,female,0.8085520080297172
52,office,career,0.6434011235002288
53,office,family,0.6024624849408635
54,office,male,0.7498395551499821
55,office,female,0.6954450653837079
56,professional,career,0.4953772984813378
57,professional,family,0.6280654340400178
58,professional,male,0.7645489924461972
59,professional,female,0.6018097324268359
60,management,career,0.473366433538405
61,management,family,0.5550179403489546
62,management,male,0.7296985852505954
63,management,female,0.7042864018930378
64,business,career,0.48829226234020273
65,business,family,0.5399624259716208
66,business,male,0.8145269635966603
67,business,female,0.7373275970759996
68,wedding,career,0.5000071544815193
69,wedding,family,0.5402859807246133
70,wedding,male,0.822920062278572
71,wedding,female,0.7269164684705476
72,marriage,career,0.4610966754275535
73,marriage,family,0.5346829895494082
74,marriage,male,0.715629610698908
75,marriage,female,0.6435046593074977
76,parents,career,0.6971309301743077
77,parents,family,0.5672082871661084
78,parents,male,0.752764676333041
79,parents,female,0.7468851120939977
80,relatives,career,0.6805924855292271
81,relatives,family,0.5442528508787261
82,relatives,male,0.7062966978042944
83,relatives,female,0.6730274019285873
84,family,career,0.5468931502683145
85,family,family,0.0
86,family,male,0.7286013214063564
87,family,female,0.655137542077264
88,home,career,0.636362257263984
89,home,family,0.5973721545724036
90,home,male,0.7281386926499523
91,home,female,0.677531141662308
92,children,career,0.5990212090713858
93,children,family,0.5126091767484252
94,children,male,0.6930394631142509
95,children,female,0.6272280451734596
