,0,1,cosine
0,Rebecca,career,0.9385896447557543
1,Rebecca,family,0.8986832769293739
2,Rebecca,male,0.8644467348727273
3,Rebecca,female,0.7967054296829472
4,Michelle,career,0.9173055321898007
5,Michelle,family,0.9000693199892007
6,Michelle,male,0.857726540476703
7,Michelle,female,0.8060717946240767
8,Emily,career,0.8976803659265085
9,Emily,family,0.8578082717455793
10,Emily,male,0.8643190497353961
11,Emily,female,0.8142733619833458
12,Julia,career,0.9390838771872162
13,Julia,family,0.8805770694363152
14,Julia,male,0.8631998812440225
15,Julia,female,0.8123832854452455
16,Anna,career,0.9337777747931869
17,Anna,family,0.8914436471382303
18,Anna,male,0.8308808276885423
19,Anna,female,0.7870991534922035
20,Ben,career,0.9474696462353861
21,Ben,family,0.9435023064903331
22,Ben,male,0.9590597874591196
23,Ben,female,0.9776010358954598
24,Paul,career,0.9281897795428562
25,Paul,family,0.9118321617857
26,Paul,male,0.9484078996490235
27,Paul,female,0.901199415164757
28,Daniel,career,0.931125495178315
29,Daniel,family,0.906503513758141
30,Daniel,male,0.8847857714221309
31,Daniel,female,0.8294959258132447
32,John,career,0.927774994937894
33,John,family,0.905504783025628
34,John,male,0.914269922199702
35,John,female,0.8677067112811667
36,Jeffrey,career,0.9359991426206512
37,Jeffrey,family,0.9145144821092609
38,Jeffrey,male,0.8796973065420493
39,Jeffrey,female,0.8325576632265801
40,career,career,0.0
41,career,family,0.5468931502683145
42,career,male,0.7907227794648642
43,career,female,0.707264352008398
44,corporation,career,0.5576811849791883
45,corporation,family,0.5479673830781109
46,corporation,male,0.7202508350387439
47,corporation,female,0.629779231347797
48,salary,career,0.660287169381061
49,salary,family,0.6685247344695948
50,salary,male,0.7800942304685882
51,salary,female,0.8085520080297172
52,office,career,0.6434011235002288
53,office,family,0.6024624849408635
54,office,male,0.7498395551499821
55,office,female,0.6954450653837079
56,professional,career,0.4953772984813378
57,professional,family,0.6280654340400178
58,professional,male,0.7645489924461972
59,professional,female,0.6018097324268359
60,management,career,0.473366433538405
61,management,family,0.5550179403489546
62,management,male,0.7296985852505954
63,management,female,0.7042864018930378
64,business,career,0.48829226234020273
65,business,family,0.5399624259716208
66,business,male,0.8145269635966603
67,business,female,0.7373275970759996
68,wedding,career,0.5000071544815193
69,wedding,family,0.5402859807246133
70,wedding,male,0.822920062278572
71,wedding,female,0.7269164684705476
72,marriage,career,0.4610966754275535
73,marriage,family,0.5346829895494082
74,marriage,male,0.715629610698908
75,marriage,female,0.6435046593074977
76,parents,career,0.6971309301743077
77,parents,family,0.5672082871661084
78,parents,male,0.752764676333041
79,parents,female,0.7468851120939977
80,relatives,career,0.6805924855292271
81,relatives,family,0.5442528508787261
82,relatives,male,0.7062966978042944
83,relatives,female,0.6730274019285873
84,family,career,0.5468931502683145
85,family,family,0.0
86,family,male,0.7286013214063564
87,family,female,0.655137542077264
88,home,career,0.636362257263984
89,home,family,0.5973721545724036
90,home,male,0.7281386926499523
91,home,female,0.677531141662308
92,children,career,0.5990212090713858
93,children,family,0.5126091767484252
94,children,male,0.6930394631142509
95,children,female,0.6272280451734596
