,0,1,cosine
0,rebecca,career,0.8261399035135566
1,rebecca,family,0.8240586660081994
2,rebecca,male,0.8461580509415396
3,rebecca,female,0.7961393816463148
4,michelle,career,0.7876601685967762
5,michelle,family,0.8129833159221433
6,michelle,male,0.8806302403256281
7,michelle,female,0.8356103235307961
8,emily,career,0.7585511411459191
9,emily,family,0.775600964181275
10,emily,male,0.9334181669773497
11,emily,female,0.8935180536685133
12,julia,career,0.7999268328502629
13,julia,family,0.7706093933765987
14,julia,male,0.800186759110799
15,julia,female,0.7642145754495913
16,anna,career,0.8212933406355263
17,anna,family,0.8316853357716338
18,anna,male,0.8333437086164965
19,anna,female,0.7943268517594528
20,ben,career,0.8367596712765223
21,ben,family,0.8699493560060274
22,ben,male,0.9451682950765954
23,ben,female,0.9395987491697448
24,paul,career,0.8327028909198674
25,paul,family,0.8701232155912313
26,paul,male,1.0006892814341168
27,paul,female,0.9667542323954164
28,daniel,career,0.8242564279077371
29,daniel,family,0.8353338604354069
30,daniel,male,0.9546792857537375
31,daniel,female,0.9239218631829805
32,john,career,0.8272142316557178
33,john,family,0.8577708059202525
34,john,male,0.9596215630325886
35,john,female,0.9274895564144475
36,jeffrey,career,0.8140362955653586
37,jeffrey,family,0.8396806206599656
38,jeffrey,male,0.9364432278100799
39,jeffrey,female,0.8996089743345131
40,career,career,0.0
41,career,family,0.5806982403210226
42,career,male,0.8008791627526747
43,career,female,0.7213422955920941
44,corporation,career,0.593058305923867
45,corporation,family,0.5499668975471215
46,corporation,male,0.7248816659902069
47,corporation,female,0.6618489357325731
48,salary,career,0.6831606935987128
49,salary,family,0.6820403145559593
50,salary,male,0.8087159775138647
51,salary,female,0.8294731590337889
52,office,career,0.6615487966777972
53,office,family,0.5992417718113617
54,office,male,0.7720512568337434
55,office,female,0.7172719396714301
56,professional,career,0.5481566874287584
57,professional,family,0.6494169250686815
58,professional,male,0.7617724102273351
59,professional,female,0.6195762620813863
60,management,career,0.5508082575379281
61,management,family,0.5766031800265992
62,management,male,0.746497525123557
63,management,female,0.7514838029173058
64,business,career,0.5239415675602884
65,business,family,0.5538210173654607
66,business,male,0.8164193782176398
67,business,female,0.7508389353614962
68,wedding,career,0.5423714794873649
69,wedding,family,0.5505650698584226
70,wedding,male,0.8147911919646422
71,wedding,female,0.7361500524993447
72,marriage,career,0.5080248814395476
73,marriage,family,0.5601785410900861
74,marriage,male,0.7292082697789408
75,marriage,female,0.678684699431851
76,parents,career,0.701492870288394
77,parents,family,0.5502951383832313
78,parents,male,0.735122057131965
79,parents,female,0.7378102930472519
80,relatives,career,0.7136960890493014
81,relatives,family,0.5699078307337361
82,relatives,male,0.718653148770055
83,relatives,female,0.7165985414699414
84,family,career,0.5806982403210226
85,family,family,0.0
86,family,male,0.7325140081225565
87,family,female,0.6705023807715329
88,home,career,0.6562293564086423
89,home,family,0.5965886396366366
90,home,male,0.741844882388658
91,home,female,0.6962766879612428
92,children,career,0.6497367129904961
93,children,family,0.5401651562653258
94,children,male,0.7087914131288925
95,children,female,0.6642052246052179
