,0,1,cosine
0,Rebecca,career,0.9418903451157239
1,Rebecca,family,0.8997393341814834
2,Rebecca,male,0.8753002623801579
3,Rebecca,female,0.8412088422000898
4,Michelle,career,0.9205563729964111
5,Michelle,family,0.9013896348984107
6,Michelle,male,0.8656115220115987
7,Michelle,female,0.8433337942661752
8,Emily,career,0.9010618691151813
9,Emily,family,0.8529596616652022
10,Emily,male,0.8737306130974231
11,Emily,female,0.8476852432972448
12,Julia,career,0.9392935903180029
13,Julia,family,0.877135903732338
14,Julia,male,0.8753520348323643
15,Julia,female,0.8525849058618115
16,Anna,career,0.9289002366999916
17,Anna,family,0.8865192286889486
18,Anna,male,0.8421285392110985
19,Anna,female,0.8266142555457872
20,Ben,career,0.9430635500046591
21,Ben,family,0.938152403950548
22,Ben,male,0.9525402919841706
23,Ben,female,0.9722633224169664
24,Paul,career,0.9287217373884161
25,Paul,family,0.9089551208410164
26,Paul,male,0.946474978707059
27,Paul,female,0.9173936686505082
28,Daniel,career,0.928143115889592
29,Daniel,family,0.9043474337671429
30,Daniel,male,0.88268611885067
31,Daniel,female,0.8559567131084835
32,John,career,0.9254701772545241
33,John,family,0.9031102162770838
34,John,male,0.9148501076284639
35,John,female,0.8917048291490002
36,Jeffrey,career,0.9412998119085404
37,Jeffrey,family,0.9145338373536458
38,Jeffrey,male,0.8954610905798948
39,Jeffrey,female,0.8769288518956891
40,career,career,0.0
41,career,family,0.5806982403210226
42,career,male,0.8008791627526747
43,career,female,0.7213422955920941
44,corporation,career,0.593058305923867
45,corporation,family,0.5499668975471215
46,corporation,male,0.7248816659902069
47,corporation,female,0.6618489357325731
48,salary,career,0.6831606935987128
49,salary,family,0.6820403145559593
50,salary,male,0.8087159775138647
51,salary,female,0.8294731590337889
52,office,career,0.6615487966777972
53,office,family,0.5992417718113617
54,office,male,0.7720512568337434
55,office,female,0.7172719396714301
56,professional,career,0.5481566874287584
57,professional,family,0.6494169250686815
58,professional,male,0.7617724102273351
59,professional,female,0.6195762620813863
60,management,career,0.5508082575379281
61,management,family,0.5766031800265992
62,management,male,0.746497525123557
63,management,female,0.7514838029173058
64,business,career,0.5239415675602884
65,business,family,0.5538210173654607
66,business,male,0.8164193782176398
67,business,female,0.7508389353614962
68,wedding,career,0.5423714794873649
69,wedding,family,0.5505650698584226
70,wedding,male,0.8147911919646422
71,wedding,female,0.7361500524993447
72,marriage,career,0.5080248814395476
73,marriage,family,0.5601785410900861
74,marriage,male,0.7292082697789408
75,marriage,female,0.678684699431851
76,parents,career,0.701492870288394
77,parents,family,0.5502951383832313
78,parents,male,0.735122057131965
79,parents,female,0.7378102930472519
80,relatives,career,0.7136960890493014
81,relatives,family,0.5699078307337361
82,relatives,male,0.718653148770055
83,relatives,female,0.7165985414699414
84,family,career,0.5806982403210226
85,family,family,0.0
86,family,male,0.7325140081225565
87,family,female,0.6705023807715329
88,home,career,0.6562293564086423
89,home,family,0.5965886396366366
90,home,male,0.741844882388658
91,home,female,0.6962766879612428
92,children,career,0.6497367129904961
93,children,family,0.5401651562653258
94,children,male,0.7087914131288925
95,children,female,0.6642052246052179
