,0,1,cosine
0,Rebecca,career,0.6665136784347541
1,Rebecca,family,0.6087966582638511
2,Rebecca,male,0.6467905439744788
3,Rebecca,female,0.5785859754349554
4,Michelle,career,0.666183892779501
5,Michelle,family,0.6146037086964358
6,Michelle,male,0.6461987797060522
7,Michelle,female,0.5785657636128546
8,Emily,career,0.6176560294200956
9,Emily,family,0.5667013777879497
10,Emily,male,0.6277164112317827
11,Emily,female,0.5548612146305654
12,Julia,career,0.6677094608790476
13,Julia,family,0.6159933329908449
14,Julia,male,0.6274979223008488
15,Julia,female,0.5765422126716817
16,Anna,career,0.6490447163362545
17,Anna,family,0.6060608110633988
18,Anna,male,0.6127263106697218
19,Anna,female,0.5623367686484744
20,Ben,career,0.742876411880077
21,Ben,family,0.7239643712402632
22,Ben,male,0.7091272851166326
23,Ben,female,0.719375107342817
24,Paul,career,0.6399301567423956
25,Paul,family,0.61045373314826
26,Paul,male,0.6293548405920052
27,Paul,female,0.5908221811028425
28,Daniel,career,0.6753976048389223
29,Daniel,family,0.6251779856155051
30,Daniel,male,0.6528950883478496
31,Daniel,female,0.5982818432350994
32,John,career,0.6126704880790681
33,John,family,0.5718668224349455
34,John,male,0.6134794079462552
35,John,female,0.5473346965896813
36,Jeffrey,career,0.6620803212816224
37,Jeffrey,family,0.6085452208859907
38,Jeffrey,male,0.6778507876602955
39,Jeffrey,female,0.6047951523888793
40,career,career,0.0
41,career,family,0.3575645273666943
42,career,male,0.5043227467110791
43,career,female,0.4064678331866953
44,corporation,career,0.39913389576704095
45,corporation,family,0.37136706789566065
46,corporation,male,0.4540418964727374
47,corporation,female,0.3729445313851404
48,salary,career,0.4158258919755323
49,salary,family,0.46202634380076235
50,salary,male,0.5537029076493571
51,salary,female,0.4779179889436461
52,office,career,0.4090339009054449
53,office,family,0.4214804372363219
54,office,male,0.48252410242161625
55,office,female,0.42422147108240016
56,professional,career,0.3401637491372961
57,professional,family,0.3750032108255863
58,professional,male,0.39527001721267896
59,professional,female,0.28496517451520964
60,management,career,0.3266982585918081
61,management,family,0.3708798846753477
62,management,male,0.5006342147840953
63,management,female,0.4108655926254965
64,business,career,0.2995159192057979
65,business,family,0.3824459840202248
66,business,male,0.5106876002704936
67,business,female,0.4164610337673408
68,wedding,career,0.4742762528406437
69,wedding,family,0.45565267917723906
70,wedding,male,0.570858693318949
71,wedding,female,0.510382502182263
72,marriage,career,0.3476836569220082
73,marriage,family,0.35399338738751707
74,marriage,male,0.4512058497785947
75,marriage,female,0.39535599040135205
76,parents,career,0.37094337003794986
77,parents,family,0.34160906506716604
78,parents,male,0.4732013616136944
79,parents,female,0.3921184583065144
80,relatives,career,0.40721476435747206
81,relatives,family,0.2946593109938773
82,relatives,male,0.44033155640635924
83,relatives,female,0.3562605508016766
84,family,career,0.3575645273666943
85,family,family,0.0
86,family,male,0.4804347912903927
87,family,female,0.3852154314667211
88,home,career,0.482683861978663
89,home,family,0.4846003055646688
90,home,male,0.5988436407528588
91,home,female,0.5267213789125876
92,children,career,0.3716048074054349
93,children,family,0.3082946119205413
94,children,male,0.42040483581090626
95,children,female,0.3302528539694928
