,0,1,cosine
0,rebecca,career,0.6382296811749201
1,rebecca,family,0.6273266669193084
2,rebecca,male,0.4885174021041645
3,rebecca,female,0.6520871275336895
4,michelle,career,0.6488772116301502
5,michelle,family,0.6510017236708177
6,michelle,male,0.4813973921792163
7,michelle,female,0.6600847419897482
8,emily,career,0.6339036204171629
9,emily,family,0.6283493974454888
10,emily,male,0.4907772773789062
11,emily,female,0.6484998160236162
12,julia,career,0.6176708087015816
13,julia,family,0.6233210592081715
14,julia,male,0.47462718170312523
15,julia,female,0.6546412518016516
16,anna,career,0.6543903523042969
17,anna,family,0.6458100303138057
18,anna,male,0.4819244180029054
19,anna,female,0.6572026329657386
20,ben,career,0.6778961259216408
21,ben,family,0.7069932801992784
22,ben,male,0.5536594989867387
23,ben,female,0.7454190342256328
24,paul,career,0.6289736979193634
25,paul,family,0.6427142375481967
26,paul,male,0.4960934075236503
27,paul,female,0.6722455706800465
28,daniel,career,0.6583125967770387
29,daniel,family,0.658870526326174
30,daniel,male,0.5111059158422424
31,daniel,female,0.6792623290771811
32,john,career,0.6597190829727657
33,john,family,0.6501346221495956
34,john,male,0.5297286828518505
35,john,female,0.6634051131309822
36,jeffrey,career,0.6627855296528486
37,jeffrey,family,0.6521272780415512
38,jeffrey,male,0.5358752157432629
39,jeffrey,female,0.6800864765916667
40,career,career,0.0
41,career,family,0.38895011530680945
42,career,male,0.5508398973139211
43,career,female,0.5188621030528
44,corporation,career,0.47590981925404696
45,corporation,family,0.48298776652252995
46,corporation,male,0.5044585435574114
47,corporation,female,0.6013277515639901
48,salary,career,0.42362744549868747
49,salary,family,0.4887602490266646
50,salary,male,0.5063907172884928
51,salary,female,0.5733143314500153
52,office,career,0.4375744417835926
53,office,family,0.42751514721971795
54,office,male,0.4495061214822219
55,office,female,0.5238526975570537
56,professional,career,0.4347579818256706
57,professional,family,0.4742378700074955
58,professional,male,0.5148985507840267
59,professional,female,0.4473115740844342
60,management,career,0.3266059124428373
61,management,family,0.4214156967679077
62,management,male,0.5056053380279786
63,management,female,0.5654346025949102
64,business,career,0.30764353620037377
65,business,family,0.3897096792929975
66,business,male,0.5665848452301364
67,business,female,0.5140225405691421
68,wedding,career,0.4872632243522249
69,wedding,family,0.4482043591233844
70,wedding,male,0.5261321909898334
71,wedding,female,0.5424811332571593
72,marriage,career,0.37351205750433036
73,marriage,family,0.3660134102295869
74,marriage,male,0.4492265991140749
75,marriage,female,0.525728153338068
76,parents,career,0.4482585952558862
77,parents,family,0.3889884291308211
78,parents,male,0.4334584818533618
79,parents,female,0.5493322304551276
80,relatives,career,0.5249326444243108
81,relatives,family,0.4286972987122273
82,relatives,male,0.4560168265724197
83,relatives,female,0.583839696224314
84,family,career,0.38895011530680945
85,family,family,0.0
86,family,male,0.49682429507812587
87,family,female,0.4487997849051105
88,home,career,0.5422296928544837
89,home,family,0.5686566319757946
90,home,male,0.6103404333076438
91,home,female,0.6405494036317176
92,children,career,0.4548269496793702
93,children,family,0.37550032309905035
94,children,male,0.41237320038976366
95,children,female,0.4992527119364829
