,0,1,cosine
0,rebecca,career,0.7644698210194119
1,rebecca,family,0.7471002493182262
2,rebecca,male,0.7310625271996061
3,rebecca,female,0.7435444655258083
4,michelle,career,0.7224431979243963
5,michelle,family,0.7155415026284455
6,michelle,male,0.6712175644020486
7,michelle,female,0.6994283204268072
8,emily,career,0.6926002402128535
9,emily,family,0.6901728719772364
10,emily,male,0.6876333351705197
11,emily,female,0.7101888122483357
12,julia,career,0.7357440645984836
13,julia,family,0.7353901087629919
14,julia,male,0.7170238100655866
15,julia,female,0.7504065289367645
16,anna,career,0.7884229488167308
17,anna,family,0.7843987948845587
18,anna,male,0.7513261032159821
19,anna,female,0.7931408133624456
20,ben,career,0.7480393124529312
21,ben,family,0.7675503447019476
22,ben,male,0.7200984034566058
23,ben,female,0.7790618988328193
24,paul,career,0.7200027257184634
25,paul,family,0.7148166948218768
26,paul,male,0.6711596878511268
27,paul,female,0.6901028400421158
28,daniel,career,0.7214453463021482
29,daniel,family,0.7230976349431739
30,daniel,male,0.6971662790082852
31,daniel,female,0.7200887802511857
32,john,career,0.6944040231628912
33,john,family,0.6904676300018184
34,john,male,0.6775361461840221
35,john,female,0.6821881836294814
36,jeffrey,career,0.730283321041195
37,jeffrey,family,0.7526117420596761
38,jeffrey,male,0.7063591932303752
39,jeffrey,female,0.7626201744994587
40,career,career,0.0
41,career,family,0.3901135860357219
42,career,male,0.5554479792889346
43,career,female,0.4899281815932237
44,corporation,career,0.5239720028082235
45,corporation,family,0.5027710888140484
46,corporation,male,0.6587503934052581
47,corporation,female,0.639093687658526
48,salary,career,0.4926094968325583
49,salary,family,0.514131001448614
50,salary,male,0.5859735876009367
51,salary,female,0.5859010999412184
52,office,career,0.4693933058030372
53,office,family,0.41357414193770503
54,office,male,0.5326388479144772
55,office,female,0.5093976499444743
56,professional,career,0.47452770726466664
57,professional,family,0.4407129986285586
58,professional,male,0.4833165808256634
59,professional,female,0.3967134808110294
60,management,career,0.3678704888822637
61,management,family,0.3724574501466843
62,management,male,0.5378341198100347
63,management,female,0.47766076027712945
64,business,career,0.34033169521604445
65,business,family,0.3765057194660436
66,business,male,0.5654132252728744
67,business,female,0.48494532155528813
68,wedding,career,0.4844743979394691
69,wedding,family,0.41978203182357576
70,wedding,male,0.5481029213277486
71,wedding,female,0.5022343211479329
72,marriage,career,0.3994140151621576
73,marriage,family,0.3334773567180833
74,marriage,male,0.4949174215378035
75,marriage,female,0.4702284933779084
76,parents,career,0.6539154602961459
77,parents,family,0.6327961871954886
78,parents,male,0.8207269951745535
79,parents,female,0.8377949788264836
80,relatives,career,0.7830168741745067
81,relatives,family,0.7542976662677743
82,relatives,male,0.9182762669140244
83,relatives,female,0.953698325374734
84,family,career,0.3901135860357219
85,family,family,0.0
86,family,male,0.46315445694419577
87,family,female,0.39954265976556746
88,home,career,0.6204280681006865
89,home,family,0.5851400534706016
90,home,male,0.6445955813712954
91,home,female,0.609034912179275
92,children,career,0.5505520413810379
93,children,family,0.48372777609087714
94,children,male,0.66409269301065
95,children,female,0.6506908378831113
