,0,1,cosine
0,Rebecca,career,0.7545235867096667
1,Rebecca,family,0.6723365501549996
2,Rebecca,male,0.7793301780556038
3,Rebecca,female,0.736184259217201
4,Michelle,career,0.6800098062741384
5,Michelle,family,0.6327241230362795
6,Michelle,male,0.6744970830573449
7,Michelle,female,0.679973505619052
8,Emily,career,0.6367185074573108
9,Emily,family,0.5918700509025904
10,Emily,male,0.627741675706378
11,Emily,female,0.6518205719602312
12,Julia,career,0.6595114090869545
13,Julia,family,0.5967417786938776
14,Julia,male,0.6675271650273359
15,Julia,female,0.6520049490604252
16,Anna,career,0.7248374652748255
17,Anna,family,0.6471203138413191
18,Anna,male,0.7204056496576043
19,Anna,female,0.6868599371371635
20,Ben,career,0.6399653136518559
21,Ben,family,0.6581837026706845
22,Ben,male,0.5733649491163855
23,Ben,female,0.7068391346894141
24,Paul,career,0.7998816400908925
25,Paul,family,0.7180635483418147
26,Paul,male,0.8177838179169767
27,Paul,female,0.7719758023028112
28,Daniel,career,0.6408199479397463
29,Daniel,family,0.6110459298370672
30,Daniel,male,0.6154916389287475
31,Daniel,female,0.6576857634617248
32,John,career,0.7912579937786709
33,John,family,0.7009647359998763
34,John,male,0.8390839441342002
35,John,female,0.7526584029908853
36,Jeffrey,career,0.7622090538888043
37,Jeffrey,family,0.6844604212388907
38,Jeffrey,male,0.7905093577588802
39,Jeffrey,female,0.7250089746460823
40,career,career,0.0
41,career,family,0.2702513052395016
42,career,male,0.33226372695536266
43,career,female,0.3256571108252395
44,corporation,career,0.3536032625985136
45,corporation,family,0.401400168540508
46,corporation,male,0.3513159239341891
47,corporation,female,0.4594362487642989
48,salary,career,0.30759243443722895
49,salary,family,0.37560953448207235
50,salary,male,0.3787973927499564
51,salary,female,0.4200684838633646
52,office,career,0.3218340889293746
53,office,family,0.33714142712550577
54,office,male,0.3321535672814865
55,office,female,0.3879405216227463
56,professional,career,0.3081194764637474
57,professional,family,0.3087843379926658
58,professional,male,0.3580588884215822
59,professional,female,0.2702904478465873
60,management,career,0.23623625007737414
61,management,family,0.2843122948593845
62,management,male,0.3730919997931048
63,management,female,0.3671199582034741
64,business,career,0.21094459685841005
65,business,family,0.2709195726681758
66,business,male,0.3769007659109672
67,business,female,0.3438141898160506
68,wedding,career,0.3387337809621742
69,wedding,family,0.3110387035479567
70,wedding,male,0.38744449413807347
71,wedding,female,0.36542231323887675
72,marriage,career,0.24345207744254027
73,marriage,family,0.25751682503721773
74,marriage,male,0.29750554279220853
75,marriage,female,0.357080791047672
76,parents,career,0.3657604073501973
77,parents,family,0.3904024572943424
78,parents,male,0.33157154394496846
79,parents,female,0.4842044642478667
80,relatives,career,0.5712224210818677
81,relatives,family,0.537592544031039
82,relatives,male,0.48793587957404294
83,relatives,female,0.6490944197082589
84,family,career,0.2702513052395016
85,family,family,0.0
86,family,male,0.34537773346334144
87,family,female,0.2896824422467055
88,home,career,0.40933220848639496
89,home,family,0.45272544043522134
90,home,male,0.41634321880118386
91,home,female,0.4940529725396523
92,children,career,0.34615009680829645
93,children,family,0.3470382083467628
94,children,male,0.29518670578260275
95,children,female,0.43040503098891403
