,0,1,cosine
0,rebecca,career,0.5919352680357866
1,rebecca,family,0.6104699070324877
2,rebecca,male,0.4832860664977632
3,rebecca,female,0.641896663942854
4,michelle,career,0.5767932058396676
5,michelle,family,0.6377019104270347
6,michelle,male,0.44475961405474396
7,michelle,female,0.6110846978873326
8,emily,career,0.547644288540361
9,emily,family,0.5957191419181296
10,emily,male,0.42874754878855104
11,emily,female,0.595735030407441
12,julia,career,0.5538552434427537
13,julia,family,0.5939301892959608
14,julia,male,0.42824845496127706
15,julia,female,0.5942103218178829
16,anna,career,0.5778486238248538
17,anna,family,0.6149155185631916
18,anna,male,0.4429518098820663
19,anna,female,0.6133941338666531
20,ben,career,0.5985385784994374
21,ben,family,0.6694083293851572
22,ben,male,0.4711161696450207
23,ben,female,0.6678030521798011
24,paul,career,0.578317525176703
25,paul,family,0.6443872065913767
26,paul,male,0.45181298815667204
27,paul,female,0.6246620893213646
28,daniel,career,0.5549129485621958
29,daniel,family,0.6256003697948858
30,daniel,male,0.4311552108840736
31,daniel,female,0.606358468227431
32,john,career,0.5898797987325566
33,john,family,0.6505002524861563
34,john,male,0.47679968878193324
35,john,female,0.6128439711593833
36,jeffrey,career,0.5791228537339178
37,jeffrey,family,0.6290354347878347
38,jeffrey,male,0.45841333279930385
39,jeffrey,female,0.6376652702103937
40,career,career,0.0
41,career,family,0.35816337373352547
42,career,male,0.46208821905902464
43,career,female,0.4534594382645917
44,corporation,career,0.40452034750771204
45,corporation,family,0.38739867763041125
46,corporation,male,0.4363863264737622
47,corporation,female,0.5472940904904113
48,salary,career,0.4157202919371039
49,salary,family,0.4492459476101658
50,salary,male,0.48491656017628204
51,salary,female,0.6082106823300822
52,office,career,0.451933147282057
53,office,family,0.4163888131253285
54,office,male,0.464621776663491
55,office,female,0.5599422424186391
56,professional,career,0.38552168819903365
57,professional,family,0.43211894155947084
58,professional,male,0.4752452375885077
59,professional,female,0.418556595288576
60,management,career,0.2964376767481859
61,management,family,0.34389736574050567
62,management,male,0.45261432126011825
63,management,female,0.5178579060298845
64,business,career,0.2693681103130573
65,business,family,0.3509866319367092
66,business,male,0.49861348569119635
67,business,female,0.4929089862212436
68,wedding,career,0.5859993894531236
69,wedding,family,0.5233053726847516
70,wedding,male,0.6197877060127053
71,wedding,female,0.5842242118166692
72,marriage,career,0.31145058528149994
73,marriage,family,0.31199066869757985
74,marriage,male,0.40897570141742867
75,marriage,female,0.48649177295144963
76,parents,career,0.44736259202392126
77,parents,family,0.3631055156484462
78,parents,male,0.4461623058562926
79,parents,female,0.5666971951793847
80,relatives,career,0.5303518156659075
81,relatives,family,0.3944496256044048
82,relatives,male,0.48933921437171046
83,relatives,female,0.6263627356597703
84,family,career,0.35816337373352547
85,family,family,0.0
86,family,male,0.452877684317326
87,family,female,0.43722208663490436
88,home,career,0.5088668503179203
89,home,family,0.5359068924246104
90,home,male,0.5517201247770385
91,home,female,0.6078959020322507
92,children,career,0.4686388259673935
93,children,family,0.3401199054773152
94,children,male,0.4525920306399973
95,children,female,0.5326441862924215
