,0,1,cosine
0,Rebecca,career,0.9181888931920328
1,Rebecca,family,0.8510776333161152
2,Rebecca,male,0.9286158686637546
3,Rebecca,female,0.9157044026301284
4,Michelle,career,0.8837420132532068
5,Michelle,family,0.82502094662742
6,Michelle,male,0.8591194840645705
7,Michelle,female,0.8749823500811258
8,Emily,career,0.8552911208389481
9,Emily,family,0.7954324132782442
10,Emily,male,0.8575132817256906
11,Emily,female,0.8517207445066529
12,Julia,career,0.877970515660073
13,Julia,family,0.8112244706656171
14,Julia,male,0.862896488285556
15,Julia,female,0.8620615764260932
16,Anna,career,0.8020738197184594
17,Anna,family,0.7773690587178469
18,Anna,male,0.7619539499270036
19,Anna,female,0.8092579820254377
20,Ben,career,0.7342667149764315
21,Ben,family,0.758783334585368
22,Ben,male,0.6635391938765571
23,Ben,female,0.8153071573098036
24,Paul,career,0.8818238600477258
25,Paul,family,0.8385886583353743
26,Paul,male,0.881868883134797
27,Paul,female,0.8965785042347197
28,Daniel,career,0.7897612640645675
29,Daniel,family,0.7768735362725229
30,Daniel,male,0.7307264491280323
31,Daniel,female,0.8325997989461422
32,John,career,0.9646212158664157
33,John,family,0.8891308834097998
34,John,male,0.9872905468756445
35,John,female,0.9251241771203079
36,Jeffrey,career,0.9506551585773952
37,Jeffrey,family,0.8980345158300842
38,Jeffrey,male,0.9777180301817696
39,Jeffrey,female,0.933751129255605
40,career,career,0.0
41,career,family,0.35816337373352547
42,career,male,0.46208821905902464
43,career,female,0.4534594382645917
44,corporation,career,0.40452034750771204
45,corporation,family,0.38739867763041125
46,corporation,male,0.4363863264737622
47,corporation,female,0.5472940904904113
48,salary,career,0.4157202919371039
49,salary,family,0.4492459476101658
50,salary,male,0.48491656017628204
51,salary,female,0.6082106823300822
52,office,career,0.451933147282057
53,office,family,0.4163888131253285
54,office,male,0.464621776663491
55,office,female,0.5599422424186391
56,professional,career,0.38552168819903365
57,professional,family,0.43211894155947084
58,professional,male,0.4752452375885077
59,professional,female,0.418556595288576
60,management,career,0.2964376767481859
61,management,family,0.34389736574050567
62,management,male,0.45261432126011825
63,management,female,0.5178579060298845
64,business,career,0.2693681103130573
65,business,family,0.3509866319367092
66,business,male,0.49861348569119635
67,business,female,0.4929089862212436
68,wedding,career,0.5859993894531236
69,wedding,family,0.5233053726847516
70,wedding,male,0.6197877060127053
71,wedding,female,0.5842242118166692
72,marriage,career,0.31145058528149994
73,marriage,family,0.31199066869757985
74,marriage,male,0.40897570141742867
75,marriage,female,0.48649177295144963
76,parents,career,0.44736259202392126
77,parents,family,0.3631055156484462
78,parents,male,0.4461623058562926
79,parents,female,0.5666971951793847
80,relatives,career,0.5303518156659075
81,relatives,family,0.3944496256044048
82,relatives,male,0.48933921437171046
83,relatives,female,0.6263627356597703
84,family,career,0.35816337373352547
85,family,family,0.0
86,family,male,0.452877684317326
87,family,female,0.43722208663490436
88,home,career,0.5088668503179203
89,home,family,0.5359068924246104
90,home,male,0.5517201247770385
91,home,female,0.6078959020322507
92,children,career,0.4686388259673935
93,children,family,0.3401199054773152
94,children,male,0.4525920306399973
95,children,female,0.5326441862924215
