,0,1,cosine
0,Rebecca,career,0.7747930767965949
1,Rebecca,family,0.644731812618965
2,Rebecca,male,0.7673871715384648
3,Rebecca,female,0.6864576846508478
4,Michelle,career,0.7886214678820623
5,Michelle,family,0.6738958373554007
6,Michelle,male,0.7798382872911142
7,Michelle,female,0.7045749315271019
8,Emily,career,0.7629606967980259
9,Emily,family,0.6443922729121121
10,Emily,male,0.7554502135495227
11,Emily,female,0.6782162933882336
12,Julia,career,0.7480875545491987
13,Julia,family,0.6184200156175901
14,Julia,male,0.742392969297962
15,Julia,female,0.6514148565730866
16,Anna,career,0.7971698370897425
17,Anna,family,0.6915697354600971
18,Anna,male,0.7827741430956385
19,Anna,female,0.7066953275553637
20,Ben,career,0.8457619789679941
21,Ben,family,0.767587876652982
22,Ben,male,0.8227047761549353
23,Ben,female,0.8048483140200282
24,Paul,career,0.8060478412491658
25,Paul,family,0.7031674119268716
26,Paul,male,0.7989810957281995
27,Paul,female,0.7416746562109207
28,Daniel,career,0.7625198983169863
29,Daniel,family,0.6474314269022595
30,Daniel,male,0.7556637356581455
31,Daniel,female,0.6867545571343259
32,John,career,0.8110449230896424
33,John,family,0.7020534924796942
34,John,male,0.7936944213163728
35,John,female,0.7352736617804969
36,Jeffrey,career,0.7675239411822783
37,Jeffrey,family,0.6728439021163235
38,Jeffrey,male,0.7938709229323532
39,Jeffrey,female,0.7090956503825195
40,career,career,0.0
41,career,family,0.3719900519883118
42,career,male,0.5734947564839998
43,career,female,0.4554111945884658
44,corporation,career,0.46787818184951036
45,corporation,family,0.3639732292006397
46,corporation,male,0.5682146370525029
47,corporation,female,0.45183956924681845
48,salary,career,0.43528813637452546
49,salary,family,0.4601704089970774
50,salary,male,0.5809636801195632
51,salary,female,0.5264875613246651
52,office,career,0.42777603105601003
53,office,family,0.3912282514594647
54,office,male,0.5744706209428627
55,office,female,0.4947896984871426
56,professional,career,0.3947745199809727
57,professional,family,0.38021840413869334
58,professional,male,0.49339130273806353
59,professional,female,0.3300262643295502
60,management,career,0.3806846003369151
61,management,family,0.3732857505884237
62,management,male,0.5764945344362227
63,management,female,0.4725153766992508
64,business,career,0.30230919090967134
65,business,family,0.3383428927483838
66,business,male,0.569582743343682
67,business,female,0.44973355689952377
68,wedding,career,0.41017751343274156
69,wedding,family,0.3542858062082478
70,wedding,male,0.5828988317534682
71,wedding,female,0.48321330960125064
72,marriage,career,0.3668865997092333
73,marriage,family,0.3561132126865988
74,marriage,male,0.5783860737330324
75,marriage,female,0.49785003684660534
76,parents,career,0.4251691338321423
77,parents,family,0.29024513836684773
78,parents,male,0.5252211537911238
79,parents,female,0.440488014043915
80,relatives,career,0.539263552395943
81,relatives,family,0.33498954613146237
82,relatives,male,0.5198286933389387
83,relatives,female,0.44165744508515803
84,family,career,0.3719900519883118
85,family,family,0.0
86,family,male,0.4504797709584325
87,family,female,0.34099018592620645
88,home,career,0.5479733367767765
89,home,family,0.5574280560288889
90,home,male,0.67193987538565
91,home,female,0.6026528139101249
92,children,career,0.46154478354401784
93,children,family,0.27409160734271654
94,children,male,0.46544672427677214
95,children,female,0.36725582771590237
