,0,1,cosine
0,rebecca,career,0.8121634799121429
1,rebecca,family,0.8285455445410069
2,rebecca,male,0.804358602243185
3,rebecca,female,0.7809014793757787
4,michelle,career,0.769389298557505
5,michelle,family,0.8000739421351415
6,michelle,male,0.8426544812581005
7,michelle,female,0.8223627434574745
8,emily,career,0.7498280229559009
9,emily,family,0.7813152489726569
10,emily,male,0.9121918037428883
11,emily,female,0.8918928766650136
12,julia,career,0.800072835576619
13,julia,family,0.7658752368332215
14,julia,male,0.7572766870057328
15,julia,female,0.7615466554261822
16,anna,career,0.8269875750133395
17,anna,family,0.8383057236301144
18,anna,male,0.7804930084848074
19,anna,female,0.7792585224929134
20,ben,career,0.8444444761664354
21,ben,family,0.8844707337125023
22,ben,male,0.9163268637442853
23,ben,female,0.9509993541841673
24,paul,career,0.8312441548543712
25,paul,family,0.8694683197163257
26,paul,male,0.9651343333949576
27,paul,female,0.9685743979664767
28,daniel,career,0.8262919775938794
29,daniel,family,0.8484240951518595
30,daniel,male,0.9309002056529108
31,daniel,female,0.9308182284623148
32,john,career,0.8188567870190524
33,john,family,0.8459354305666851
34,john,male,0.9228408818134869
35,john,female,0.9162157983439956
36,jeffrey,career,0.8018500865409217
37,jeffrey,family,0.8354312409959076
38,jeffrey,male,0.908726802881032
39,jeffrey,female,0.8930381779794371
40,career,career,0.0
41,career,family,0.548102321298918
42,career,male,0.7866468343506823
43,career,female,0.6867418287662629
44,corporation,career,0.5201320865448738
45,corporation,family,0.5316258732001926
46,corporation,male,0.7417253175384682
47,corporation,female,0.6494608986076591
48,salary,career,0.6357833968147959
49,salary,family,0.6520412236171995
50,salary,male,0.8088120277241018
51,salary,female,0.8042567934917921
52,office,career,0.6328511423861531
53,office,family,0.5942716616602649
54,office,male,0.7551946698053351
55,office,female,0.6951327316613163
56,professional,career,0.48412430842591103
57,professional,family,0.6227407353600414
58,professional,male,0.7549043329509326
59,professional,female,0.6025579832888739
60,management,career,0.43600791883319545
61,management,family,0.5261842398547505
62,management,male,0.751495000870315
63,management,female,0.6945083818039789
64,business,career,0.49395969344546786
65,business,family,0.5435504354753243
66,business,male,0.8389625680485209
67,business,female,0.7379542905233565
68,wedding,career,0.4802100265123058
69,wedding,family,0.536928300117808
70,wedding,male,0.8015716708303102
71,wedding,female,0.707621153696407
72,marriage,career,0.44863033223982896
73,marriage,family,0.5354906279329003
74,marriage,male,0.7205015710998379
75,marriage,female,0.6401666835238655
76,parents,career,0.6786011153043756
77,parents,family,0.5584486892066844
78,parents,male,0.7538442329838805
79,parents,female,0.7300120845823728
80,relatives,career,0.6579299066628287
81,relatives,family,0.5218368455715187
82,relatives,male,0.7174985577148829
83,relatives,female,0.6801814320412527
84,family,career,0.548102321298918
85,family,family,0.0
86,family,male,0.730863187865407
87,family,female,0.6377587084388251
88,home,career,0.6314801630738599
89,home,family,0.612108973680842
90,home,male,0.7366171695771775
91,home,female,0.6732193505491819
92,children,career,0.579113971083629
93,children,family,0.5135502332172897
94,children,male,0.709069791667734
95,children,female,0.6300914372747186
