,0,1,euclidean
0,rebecca,career,203.39674731688586
1,rebecca,family,207.98600165864536
2,rebecca,male,216.91636702198502
3,rebecca,female,215.05255773067427
4,michelle,career,206.59327341131353
5,michelle,family,213.46860751791846
6,michelle,male,215.76680952477966
7,michelle,female,216.24659493555967
8,emily,career,210.0556643067241
9,emily,family,208.01156427567912
10,emily,male,216.94000946415173
11,emily,female,216.3806843935388
12,julia,career,210.47066920580522
13,julia,family,211.84672601719154
14,julia,male,218.43579389740827
15,julia,female,220.0111077156608
16,anna,career,195.62954499882153
17,anna,family,196.76242687212917
18,anna,male,207.07921169421908
19,anna,female,205.0628595608974
20,ben,career,207.77091497963147
21,ben,family,209.019312620498
22,ben,male,211.35584806306028
23,ben,female,218.53308260507922
24,paul,career,213.82902595190913
25,paul,family,215.24080559937372
26,paul,male,219.63149697766593
27,paul,female,220.79086893666715
28,daniel,career,210.86176120825687
29,daniel,family,213.529895595543
30,daniel,male,217.88904505023447
31,daniel,female,220.19933491040567
32,john,career,199.73016213905842
33,john,family,200.1247019257439
34,john,male,207.99418083712365
35,john,female,209.43303236094255
36,jeffrey,career,217.3365932726748
37,jeffrey,family,221.5969290844318
38,jeffrey,male,226.0478883585893
39,jeffrey,female,227.72234873707905
40,career,career,0.0
41,career,family,154.26285908726973
42,career,male,187.84613520455204
43,career,female,182.95120090813964
44,corporation,career,183.27343406978449
45,corporation,family,177.19865269226628
46,corporation,male,207.86579306268376
47,corporation,female,208.00634363232783
48,salary,career,154.6742699367086
49,salary,family,161.46413191962623
50,salary,male,185.8377165884182
51,salary,female,189.78968698611763
52,office,career,159.28375939419988
53,office,family,158.49936427426067
54,office,male,193.99689579827628
55,office,female,193.25807541606702
56,professional,career,156.27668150955316
57,professional,family,164.30964533473272
58,professional,male,180.1419267118483
59,professional,female,168.8386975856364
60,management,career,147.23242810153107
61,management,family,154.83247003251788
62,management,male,193.75088463244228
63,management,female,195.0459243163356
64,business,career,138.76457891229288
65,business,family,150.7728687001287
66,business,male,195.96157005250095
67,business,female,189.4882964527501
68,wedding,career,194.32889175399424
69,wedding,family,188.3880962953914
70,wedding,male,216.23443761188523
71,wedding,female,209.57155725276957
72,marriage,career,171.46482428417937
73,marriage,family,175.1419804593029
74,marriage,male,204.6850789435183
75,marriage,female,202.51443513481303
76,parents,career,167.78220845313308
77,parents,family,141.97804308138691
78,parents,male,184.34411481052467
79,parents,female,185.7028027945034
80,relatives,career,204.3191501877593
81,relatives,family,180.6666393705096
82,relatives,male,207.47782249583634
83,relatives,female,213.0283833363739
84,family,career,154.26285908726973
85,family,family,0.0
86,family,male,172.96009831630207
87,family,female,168.08265957953637
88,home,career,194.61770330049157
89,home,family,194.61690559647693
90,home,male,217.1436642623532
91,home,female,214.74397406872896
92,children,career,171.63083432246634
93,children,family,145.07037640047045
94,children,male,178.47850769660045
95,children,female,179.83815286571402
