,0,1,euclidean
0,Rebecca,career,259.68625552182067
1,Rebecca,family,250.29034766240864
2,Rebecca,male,262.69307866135523
3,Rebecca,female,261.9381198758498
4,Michelle,career,253.6098649480273
5,Michelle,family,244.53404367522415
6,Michelle,male,257.06308494193905
7,Michelle,female,258.1213149525115
8,Emily,career,254.44657466572644
9,Emily,family,243.1818573196201
10,Emily,male,257.2765775727321
11,Emily,female,256.367032137124
12,Julia,career,253.1581229589517
13,Julia,family,241.9751373569706
14,Julia,male,254.91549552627194
15,Julia,female,255.80691894610737
16,Anna,career,253.78705395229127
17,Anna,family,244.31958845716912
18,Anna,male,256.11824899713935
19,Anna,female,256.00335411439187
20,Ben,career,258.3201647807727
21,Ben,family,253.29109818954103
22,Ben,male,259.67671306788293
23,Ben,female,265.77989994388344
24,Paul,career,251.61508381565022
25,Paul,family,241.7678289753791
26,Paul,male,258.1633011353307
27,Paul,female,260.2283446858067
28,Daniel,career,258.35892999781373
29,Daniel,family,248.46187985219674
30,Daniel,male,261.23050484428455
31,Daniel,female,262.6367024271791
32,John,career,258.1057444374453
33,John,family,248.69855509710263
34,John,male,261.5220439956189
35,John,female,262.05368295763685
36,Jeffrey,career,262.78020589895505
37,Jeffrey,family,254.35221140949056
38,Jeffrey,male,265.0855017288141
39,Jeffrey,female,264.85580152780705
40,career,career,0.0
41,career,family,154.26285908726973
42,career,male,187.84613520455204
43,career,female,182.95120090813964
44,corporation,career,183.27343406978449
45,corporation,family,177.19865269226628
46,corporation,male,207.86579306268376
47,corporation,female,208.00634363232783
48,salary,career,154.6742699367086
49,salary,family,161.46413191962623
50,salary,male,185.8377165884182
51,salary,female,189.78968698611763
52,office,career,159.28375939419988
53,office,family,158.49936427426067
54,office,male,193.99689579827628
55,office,female,193.25807541606702
56,professional,career,156.27668150955316
57,professional,family,164.30964533473272
58,professional,male,180.1419267118483
59,professional,female,168.8386975856364
60,management,career,147.23242810153107
61,management,family,154.83247003251788
62,management,male,193.75088463244228
63,management,female,195.0459243163356
64,business,career,138.76457891229288
65,business,family,150.7728687001287
66,business,male,195.96157005250095
67,business,female,189.4882964527501
68,wedding,career,194.32889175399424
69,wedding,family,188.3880962953914
70,wedding,male,216.23443761188523
71,wedding,female,209.57155725276957
72,marriage,career,171.46482428417937
73,marriage,family,175.1419804593029
74,marriage,male,204.6850789435183
75,marriage,female,202.51443513481303
76,parents,career,167.78220845313308
77,parents,family,141.97804308138691
78,parents,male,184.34411481052467
79,parents,female,185.7028027945034
80,relatives,career,204.3191501877593
81,relatives,family,180.6666393705096
82,relatives,male,207.47782249583634
83,relatives,female,213.0283833363739
84,family,career,154.26285908726973
85,family,family,0.0
86,family,male,172.96009831630207
87,family,female,168.08265957953637
88,home,career,194.61770330049157
89,home,family,194.61690559647693
90,home,male,217.1436642623532
91,home,female,214.74397406872896
92,children,career,171.63083432246634
93,children,family,145.07037640047045
94,children,male,178.47850769660045
95,children,female,179.83815286571402
