,0,1,euclidean
0,rebecca,career,201.70546050214412
1,rebecca,family,192.1275727619109
2,rebecca,male,213.66997899596532
3,rebecca,female,207.80608132607955
4,michelle,career,202.8892345639737
5,michelle,family,193.21426547081361
6,michelle,male,210.9268579230423
7,michelle,female,207.6726272427146
8,emily,career,205.13591514095518
9,emily,family,186.2781785172265
10,emily,male,211.13820674374546
11,emily,female,208.00998168617255
12,julia,career,206.00699465814964
13,julia,family,195.48182735954273
14,julia,male,215.6427599395202
15,julia,female,215.70907672899838
16,anna,career,203.8964218727952
17,anna,family,191.35149089297474
18,anna,male,212.24279594987755
19,anna,female,206.75202976173404
20,ben,career,212.18635460023685
21,ben,family,206.53131382762373
22,ben,male,215.505241250113
23,ben,female,220.12736028086314
24,paul,career,211.9808004065431
25,paul,family,198.64519777314808
26,paul,male,216.06386480341388
27,paul,female,214.2723982159224
28,daniel,career,208.21688851986607
29,daniel,family,196.13890307698483
30,daniel,male,215.28923525202686
31,daniel,female,213.27447886932114
32,john,career,210.48400826684224
33,john,family,199.43098022328326
34,john,male,214.7433835389304
35,john,female,212.55782606905234
36,jeffrey,career,214.12975563952767
37,jeffrey,family,202.08647684661332
38,jeffrey,male,220.23661568813333
39,jeffrey,female,217.50893772884248
40,career,career,0.0
41,career,family,171.08057585685253
42,career,male,206.7189057106129
43,career,female,195.28823129635757
44,corporation,career,181.72047830594352
45,corporation,family,164.84656627169653
46,corporation,male,212.41604717100276
47,corporation,female,207.38501946730528
48,salary,career,179.01819722852025
49,salary,family,178.49846073068807
50,salary,male,206.36992302839823
51,salary,female,205.91561049544282
52,office,career,176.78340066164813
53,office,family,174.26711856768034
54,office,male,210.15631053294646
55,office,female,204.62271117310178
56,professional,career,172.0149100530036
57,professional,family,173.2636505313665
58,professional,male,193.32331235790014
59,professional,female,176.51017708760705
60,management,career,158.64663082050086
61,management,family,171.710037899266
62,management,male,211.59393700015153
63,management,female,204.97985614754234
64,business,career,152.39874562336564
65,business,family,162.50437302938573
66,business,male,211.10622281349418
67,business,female,198.1423452076348
68,wedding,career,183.1851656982494
69,wedding,family,172.3381616709543
70,wedding,male,211.7059549650346
71,wedding,female,206.30206585796802
72,marriage,career,162.95463219064547
73,marriage,family,156.99161074176254
74,marriage,male,204.4196554210382
75,marriage,female,200.3614993527453
76,parents,career,176.8136552262211
77,parents,family,147.07313459146954
78,parents,male,199.2983937879446
79,parents,female,195.47257950847577
80,relatives,career,210.79994752283287
81,relatives,family,185.8380025315998
82,relatives,male,213.4842156907772
83,relatives,female,219.03762513259977
84,family,career,171.08057585685253
85,family,family,0.0
86,family,male,184.12648067201923
87,family,female,173.5208247943755
88,home,career,202.16850102755308
89,home,family,199.3004232042235
90,home,male,221.43790094277148
91,home,female,213.8387097962233
92,children,career,181.6545404555234
93,children,family,145.89633395129655
94,children,male,189.11105867005443
95,children,female,183.22465792782594
