,0,1,euclidean
0,Rebecca,career,268.33014420070367
1,Rebecca,family,242.6889387472361
2,Rebecca,male,264.6988800844388
3,Rebecca,female,256.3700585749831
4,Michelle,career,267.5368606199539
5,Michelle,family,242.18978940234015
6,Michelle,male,263.61841198760413
7,Michelle,female,257.603496620527
8,Emily,career,266.2097159443014
9,Emily,family,239.20969277519544
10,Emily,male,260.9442061195018
11,Emily,female,253.9456516017963
12,Julia,career,262.68265145985123
13,Julia,family,235.12708139939664
14,Julia,male,258.6348210995612
15,Julia,female,252.15687993893098
16,Anna,career,267.7710849769232
17,Anna,family,242.5700873768472
18,Anna,male,262.37199741903095
19,Anna,female,255.36238259823276
20,Ben,career,266.6129127551609
21,Ben,family,250.24770121568372
22,Ben,male,261.1917023922904
23,Ben,female,263.1599139849708
24,Paul,career,264.3453403834074
25,Paul,family,239.11675456900306
26,Paul,male,263.7131306570801
27,Paul,female,258.342542502057
28,Daniel,career,272.6140466763607
29,Daniel,family,249.174566577916
30,Daniel,male,269.94859490558224
31,Daniel,female,263.1890560770565
32,John,career,273.2110797775576
33,John,family,249.80012714371972
34,John,male,269.2953380990312
35,John,female,261.6642822289956
36,Jeffrey,career,271.2936325092889
37,Jeffrey,family,248.231552898631
38,Jeffrey,male,267.80532319382564
39,Jeffrey,female,259.22875245186736
40,career,career,0.0
41,career,family,171.08057585685253
42,career,male,206.7189057106129
43,career,female,195.28823129635757
44,corporation,career,181.72047830594352
45,corporation,family,164.84656627169653
46,corporation,male,212.41604717100276
47,corporation,female,207.38501946730528
48,salary,career,179.01819722852025
49,salary,family,178.49846073068807
50,salary,male,206.36992302839823
51,salary,female,205.91561049544282
52,office,career,176.78340066164813
53,office,family,174.26711856768034
54,office,male,210.15631053294646
55,office,female,204.62271117310178
56,professional,career,172.0149100530036
57,professional,family,173.2636505313665
58,professional,male,193.32331235790014
59,professional,female,176.51017708760705
60,management,career,158.64663082050086
61,management,family,171.710037899266
62,management,male,211.59393700015153
63,management,female,204.97985614754234
64,business,career,152.39874562336564
65,business,family,162.50437302938573
66,business,male,211.10622281349418
67,business,female,198.1423452076348
68,wedding,career,183.1851656982494
69,wedding,family,172.3381616709543
70,wedding,male,211.7059549650346
71,wedding,female,206.30206585796802
72,marriage,career,162.95463219064547
73,marriage,family,156.99161074176254
74,marriage,male,204.4196554210382
75,marriage,female,200.3614993527453
76,parents,career,176.8136552262211
77,parents,family,147.07313459146954
78,parents,male,199.2983937879446
79,parents,female,195.47257950847577
80,relatives,career,210.79994752283287
81,relatives,family,185.8380025315998
82,relatives,male,213.4842156907772
83,relatives,female,219.03762513259977
84,family,career,171.08057585685253
85,family,family,0.0
86,family,male,184.12648067201923
87,family,female,173.5208247943755
88,home,career,202.16850102755308
89,home,family,199.3004232042235
90,home,male,221.43790094277148
91,home,female,213.8387097962233
92,children,career,181.6545404555234
93,children,family,145.89633395129655
94,children,male,189.11105867005443
95,children,female,183.22465792782594
