,0,1,euclidean
0,rebecca,career,439.9196899525321
1,rebecca,family,441.277891533539
2,rebecca,male,449.81187067880967
3,rebecca,female,435.5691935593308
4,michelle,career,437.6319336643075
5,michelle,family,445.5567603947621
6,michelle,male,469.70955561746695
7,michelle,female,463.45480468007037
8,emily,career,422.7910677792195
9,emily,family,431.875791470809
10,emily,male,479.67097363899535
11,emily,female,473.91915626338783
12,julia,career,426.4069393735184
13,julia,family,420.35469102411344
14,julia,male,423.97780420119193
15,julia,female,416.9207438118633
16,anna,career,440.67815553869457
17,anna,family,444.1142853877165
18,anna,male,445.01821242662305
19,anna,female,434.188466605494
20,ben,career,480.5370846008711
21,ben,family,493.58235469198553
22,ben,male,520.7514198598599
23,ben,female,524.0253998483042
24,paul,career,467.21288803090414
25,paul,family,479.26173336359716
26,paul,male,522.7939911746182
27,paul,female,519.42708489952
28,daniel,career,459.2073946890367
29,daniel,family,464.81974957386
30,daniel,male,505.57049188419904
31,daniel,female,501.99858899516033
32,john,career,455.4817836550197
33,john,family,466.08550794755183
34,john,male,500.3519209908611
35,john,female,496.9431265676498
36,jeffrey,career,442.3460144443121
37,jeffrey,family,451.8767963485168
38,jeffrey,male,485.02198631217584
39,jeffrey,female,478.47451009861044
40,career,career,0.0
41,career,family,368.14932158763753
42,career,male,445.22554295768435
43,career,female,422.424700265969
44,corporation,career,352.204013032694
45,corporation,family,350.98353366512004
46,corporation,male,404.449945562738
47,corporation,female,379.92756960848175
48,salary,career,404.52658652397344
49,salary,family,408.7942715563644
50,salary,male,444.11209174620797
51,salary,female,453.5619064477972
52,office,career,400.403165413558
53,office,family,389.10919889086716
54,office,male,436.5620114692358
55,office,female,421.7463640262034
56,professional,career,349.5042775743551
57,professional,family,395.2446560126861
58,professional,male,438.58613204716505
59,professional,female,390.36911645558115
60,management,career,339.7584593296285
61,management,family,369.5225259612832
62,management,male,426.16284903837226
63,management,female,420.0305912787827
64,business,career,349.6002100015049
65,business,family,369.1778190293989
66,business,male,455.9775779254155
67,business,female,435.18107073610054
68,wedding,career,354.8870379049258
69,wedding,family,370.4353700952894
70,wedding,male,459.7139239920342
71,wedding,female,433.4004286581448
72,marriage,career,335.1850199693796
73,marriage,family,362.54073772456974
74,marriage,male,421.8625389389195
75,marriage,female,401.3487498328337
76,parents,career,408.72077933189587
77,parents,family,370.3735077027919
78,parents,male,429.16899903199453
79,parents,female,428.89908473575247
80,relatives,career,377.1743489820394
81,relatives,family,340.31509158357176
82,relatives,male,388.9648807516282
83,relatives,female,381.5032383300962
84,family,career,368.14932158763753
85,family,family,0.0
86,family,male,429.1954960957522
87,family,female,408.27084845349685
88,home,career,399.32856319271565
89,home,family,388.53939274361665
90,home,male,431.37366705298444
91,home,female,417.40590917040805
92,children,career,372.2793967609429
93,children,family,346.1690546297363
94,children,male,404.77978622271047
95,children,female,386.536300950825
