,0,1,euclidean
0,Rebecca,career,485.9578533476213
1,Rebecca,family,477.5342941265912
2,Rebecca,male,470.97784153309277
3,Rebecca,female,453.5444696164202
4,Michelle,career,482.17329191360346
5,Michelle,family,479.63315883363504
6,Michelle,male,470.82238060873146
7,Michelle,female,457.82361059829464
8,Emily,career,465.3720412828722
9,Emily,family,456.94494036758164
10,Emily,male,461.3740197502061
11,Emily,female,449.2839888187706
12,Julia,career,484.9944011009005
13,Julia,family,471.6471810346413
14,Julia,male,469.6031887094621
15,Julia,female,456.9856965353725
16,Anna,career,488.5522984121897
17,Anna,family,479.3467025598743
18,Anna,male,465.33221527877856
19,Anna,female,454.2809592978995
20,Ben,career,507.5941994391063
21,Ben,family,508.51602416745874
22,Ben,male,515.331461359089
23,Ben,female,521.7610952437208
24,Paul,career,484.33155502139294
25,Paul,family,482.0730068343146
26,Paul,male,494.3920286429373
27,Paul,female,483.4125061938418
28,Daniel,career,483.17956336791343
29,Daniel,family,478.77948974359
30,Daniel,male,475.67393612389503
31,Daniel,female,462.0005035374968
32,John,career,479.8729438935847
33,John,family,476.1198556441879
34,John,male,481.1433996521284
35,John,female,470.20216135101003
36,Jeffrey,career,482.3356059712562
37,Jeffrey,family,478.81770046916347
38,Jeffrey,male,472.2853899439411
39,Jeffrey,female,460.89748640506014
40,career,career,0.0
41,career,family,368.14932158763753
42,career,male,445.22554295768435
43,career,female,422.424700265969
44,corporation,career,352.204013032694
45,corporation,family,350.98353366512004
46,corporation,male,404.449945562738
47,corporation,female,379.92756960848175
48,salary,career,404.52658652397344
49,salary,family,408.7942715563644
50,salary,male,444.11209174620797
51,salary,female,453.5619064477972
52,office,career,400.403165413558
53,office,family,389.10919889086716
54,office,male,436.5620114692358
55,office,female,421.7463640262034
56,professional,career,349.5042775743551
57,professional,family,395.2446560126861
58,professional,male,438.58613204716505
59,professional,female,390.36911645558115
60,management,career,339.7584593296285
61,management,family,369.5225259612832
62,management,male,426.16284903837226
63,management,female,420.0305912787827
64,business,career,349.6002100015049
65,business,family,369.1778190293989
66,business,male,455.9775779254155
67,business,female,435.18107073610054
68,wedding,career,354.8870379049258
69,wedding,family,370.4353700952894
70,wedding,male,459.7139239920342
71,wedding,female,433.4004286581448
72,marriage,career,335.1850199693796
73,marriage,family,362.54073772456974
74,marriage,male,421.8625389389195
75,marriage,female,401.3487498328337
76,parents,career,408.72077933189587
77,parents,family,370.3735077027919
78,parents,male,429.16899903199453
79,parents,female,428.89908473575247
80,relatives,career,377.1743489820394
81,relatives,family,340.31509158357176
82,relatives,male,388.9648807516282
83,relatives,female,381.5032383300962
84,family,career,368.14932158763753
85,family,family,0.0
86,family,male,429.1954960957522
87,family,female,408.27084845349685
88,home,career,399.32856319271565
89,home,family,388.53939274361665
90,home,male,431.37366705298444
91,home,female,417.40590917040805
92,children,career,372.2793967609429
93,children,family,346.1690546297363
94,children,male,404.77978622271047
95,children,female,386.536300950825
