,0,1,euclidean
0,rebecca,career,448.5608730526019
1,rebecca,family,445.259765059322
2,rebecca,male,451.8769062790478
3,rebecca,female,439.9321806490382
4,michelle,career,451.58435026267284
5,michelle,family,456.1849470779751
6,michelle,male,475.4577023217172
7,michelle,female,464.7119261602254
8,emily,career,435.46684460790425
9,emily,family,437.7218585779749
10,emily,male,480.9022154166967
11,emily,female,472.1687780824454
12,julia,career,430.34037469490426
13,julia,family,419.67376738594146
14,julia,male,428.30458531021907
15,julia,female,420.26505325296756
16,anna,career,445.6179555092884
17,anna,family,445.6598073170641
18,anna,male,446.79447942167974
19,anna,female,437.8330361547013
20,ben,career,489.5160988151582
21,ben,family,496.546518474141
22,ben,male,518.0756085796398
23,ben,female,518.1276906634375
24,paul,career,477.6539440335124
25,paul,family,485.64663427143483
26,paul,male,521.4038593157701
27,paul,female,514.1470368352919
28,daniel,career,469.0560134642734
29,daniel,family,469.6127301000726
30,daniel,male,502.6870538077995
31,daniel,female,496.151854689938
32,john,career,466.83666330593934
33,john,family,472.7340721597326
34,john,male,500.69252339641014
35,john,female,493.8787315479464
36,jeffrey,career,453.97178792455
37,jeffrey,family,458.3800554816781
38,jeffrey,male,484.78026274769314
39,jeffrey,female,476.7984754757541
40,career,career,0.0
41,career,family,383.672866376879
42,career,male,451.2197916687881
43,career,female,429.69142859847994
44,corporation,career,369.18649682124595
45,corporation,family,353.2103959584509
46,corporation,male,405.6523425231319
47,corporation,female,389.3440774756431
48,salary,career,418.73597439224903
49,salary,family,415.99889407523244
50,salary,male,453.63475863142054
51,salary,female,460.98748912969023
52,office,career,410.0655773617819
53,office,family,388.0123097595672
54,office,male,441.06224810446935
55,office,female,426.5964735562653
56,professional,career,377.5972595790092
57,professional,family,408.6887620940957
58,professional,male,443.2419374405562
59,professional,female,401.08562543967275
60,management,career,378.10754300581533
61,management,family,384.6923871002551
62,management,male,438.3089349464621
63,management,female,441.24760136500566
64,business,career,364.51834876218976
65,business,family,372.5807275149354
66,business,male,453.0298793846664
67,business,female,435.95984213597757
68,wedding,career,375.7201500040482
69,wedding,family,376.441049431879
70,wedding,male,458.54925547665727
71,wedding,female,437.32512672903505
72,marriage,career,358.0867522910483
73,marriage,family,373.8017130315205
74,marriage,male,427.11205514545435
75,marriage,female,413.4904538555137
76,parents,career,415.87293441534297
77,parents,family,366.13525861961233
78,parents,male,423.78153009540324
79,parents,female,426.0850080135884
80,relatives,career,390.3818214574298
81,relatives,family,347.48918424352775
82,relatives,male,389.5142086916966
83,relatives,female,390.69441696595845
84,family,career,383.672866376879
85,family,family,0.0
86,family,male,429.0295388155368
87,family,female,411.89325521775925
88,home,career,410.9127934263066
89,home,family,389.56676310901264
90,home,male,435.025875086426
91,home,female,422.88606602505956
92,children,career,399.89089915352724
93,children,family,362.4183095479096
94,children,male,415.74142176940495
95,children,female,403.9255074589479
