,0,1,euclidean
0,Rebecca,career,492.47046205261927
1,Rebecca,family,478.57475038344444
2,Rebecca,male,472.70934152440134
3,Rebecca,female,464.98914055325696
4,Michelle,career,488.6418064753328
5,Michelle,family,480.78787706625224
6,Michelle,male,471.8232631699639
7,Michelle,female,467.28364336733136
8,Emily,career,471.2159174069275
9,Emily,family,455.72071359011613
10,Emily,male,461.93047998614713
11,Emily,female,456.62788323943346
12,Julia,career,491.27958536618496
13,Julia,family,472.02782892307476
14,Julia,male,472.2266305175827
15,Julia,female,467.6345262618746
16,Anna,career,492.751801996394
17,Anna,family,478.6781863195063
18,Anna,male,467.2040583549317
19,Anna,female,464.4276467120265
20,Ben,career,512.6733190984734
21,Ben,family,508.6553696087978
22,Ben,male,513.2016039438439
23,Ben,female,520.0929210916358
24,Paul,career,491.9700223523531
25,Paul,family,483.9625217556605
26,Paul,male,494.54709437471394
27,Paul,female,488.5281715240573
28,Daniel,career,488.09646322096864
29,Daniel,family,479.03617567558865
30,Daniel,male,473.9472418746763
31,Daniel,female,468.3098244901783
32,John,career,486.357109345208
33,John,family,477.6778267636897
34,John,male,481.46922095237693
35,John,female,476.97094448256865
36,Jeffrey,career,490.66492048307924
37,Jeffrey,family,480.8541125716934
38,Jeffrey,male,476.50272361076156
39,Jeffrey,female,473.16303473384005
40,career,career,0.0
41,career,family,383.672866376879
42,career,male,451.2197916687881
43,career,female,429.69142859847994
44,corporation,career,369.18649682124595
45,corporation,family,353.2103959584509
46,corporation,male,405.6523425231319
47,corporation,female,389.3440774756431
48,salary,career,418.73597439224903
49,salary,family,415.99889407523244
50,salary,male,453.63475863142054
51,salary,female,460.98748912969023
52,office,career,410.0655773617819
53,office,family,388.0123097595672
54,office,male,441.06224810446935
55,office,female,426.5964735562653
56,professional,career,377.5972595790092
57,professional,family,408.6887620940957
58,professional,male,443.2419374405562
59,professional,female,401.08562543967275
60,management,career,378.10754300581533
61,management,family,384.6923871002551
62,management,male,438.3089349464621
63,management,female,441.24760136500566
64,business,career,364.51834876218976
65,business,family,372.5807275149354
66,business,male,453.0298793846664
67,business,female,435.95984213597757
68,wedding,career,375.7201500040482
69,wedding,family,376.441049431879
70,wedding,male,458.54925547665727
71,wedding,female,437.32512672903505
72,marriage,career,358.0867522910483
73,marriage,family,373.8017130315205
74,marriage,male,427.11205514545435
75,marriage,female,413.4904538555137
76,parents,career,415.87293441534297
77,parents,family,366.13525861961233
78,parents,male,423.78153009540324
79,parents,female,426.0850080135884
80,relatives,career,390.3818214574298
81,relatives,family,347.48918424352775
82,relatives,male,389.5142086916966
83,relatives,female,390.69441696595845
84,family,career,383.672866376879
85,family,family,0.0
86,family,male,429.0295388155368
87,family,female,411.89325521775925
88,home,career,410.9127934263066
89,home,family,389.56676310901264
90,home,male,435.025875086426
91,home,female,422.88606602505956
92,children,career,399.89089915352724
93,children,family,362.4183095479096
94,children,male,415.74142176940495
95,children,female,403.9255074589479
