,0,1,euclidean
0,rebecca,career,133.9076371549319
1,rebecca,family,126.30944567491895
2,rebecca,male,125.85156898920935
3,rebecca,female,139.4820282983827
4,michelle,career,128.72262642332424
5,michelle,family,122.93068253027837
6,michelle,male,117.00363264202741
7,michelle,female,133.88565250483137
8,emily,career,127.48491319988355
9,emily,family,120.53453540575475
10,emily,male,119.67009419885997
11,emily,female,135.2542002358071
12,julia,career,122.78911775392085
13,julia,family,115.83698815836249
14,julia,male,111.48086214079065
15,julia,female,126.57888838862901
16,anna,career,129.45360800951235
17,anna,family,122.03865639510532
18,anna,male,116.41237602509032
19,anna,female,132.55082841753423
20,ben,career,136.67298042599987
21,ben,family,131.19090599484883
22,ben,male,123.33455693597786
23,ben,female,145.6707500157147
24,paul,career,132.66769601609477
25,paul,family,125.70730193982257
26,paul,male,121.55694132509542
27,paul,female,139.92445552127873
28,daniel,career,130.5939731445734
29,daniel,family,123.2157250324075
30,daniel,male,120.77262936684563
31,daniel,female,138.30862465180863
32,john,career,129.18925685672914
33,john,family,122.42213534214603
34,john,male,120.22939009983543
35,john,female,136.41491122139595
36,jeffrey,career,129.59059224928603
37,jeffrey,family,122.07735223611974
38,jeffrey,male,118.29508294984579
39,jeffrey,female,134.7159699031211
40,career,career,0.0
41,career,family,86.56605896205409
42,career,male,105.62176163392536
43,career,female,101.04234247732364
44,corporation,career,114.00012944324514
45,corporation,family,109.81002282740273
46,corporation,male,127.44241998333034
47,corporation,female,134.81324860931932
48,salary,career,98.38794291906328
49,salary,family,103.91660945697836
50,salary,male,114.1784561008801
51,salary,female,110.3221539068572
52,office,career,93.41499720464175
53,office,family,92.82660535464481
54,office,male,104.33744591989179
55,office,female,107.22268104493776
56,professional,career,96.91496033684056
57,professional,family,100.17982656204111
58,professional,male,100.13389935405341
59,professional,female,80.94075328313342
60,management,career,87.92080227079342
61,management,family,94.09984516381455
62,management,male,112.6743070868334
63,management,female,114.42509146971027
64,business,career,77.16894841181606
65,business,family,90.71062532781993
66,business,male,112.0464582258858
67,business,female,105.56375987144568
68,wedding,career,97.23491211079612
69,wedding,family,93.75241384177797
70,wedding,male,104.46521565402043
71,wedding,female,94.08697142565018
72,marriage,career,89.86861719675383
73,marriage,family,84.72103135377513
74,marriage,male,102.11838998972867
75,marriage,female,105.17938212201285
76,parents,career,109.87336199149247
77,parents,family,101.2809384475496
78,parents,male,121.88562468351279
79,parents,female,132.6209152470403
80,relatives,career,122.16772398552885
81,relatives,family,111.96254051120124
82,relatives,male,127.91927421553773
83,relatives,female,140.14848238460502
84,family,career,86.56605896205409
85,family,family,0.0
86,family,male,97.88649692397667
87,family,female,94.53932870632502
88,home,career,103.58542841820662
89,home,family,105.73045909055521
90,home,male,119.29360760412283
91,home,female,119.68929928551414
92,children,career,117.50068222625455
93,children,family,108.67051680905644
94,children,male,123.68536403677292
95,children,female,136.92984397300313
