,0,1,euclidean
0,Rebecca,career,133.62974086922716
1,Rebecca,family,126.84695336680966
2,Rebecca,male,141.77713023676188
3,Rebecca,female,126.29826333908817
4,Michelle,career,131.84382574027268
5,Michelle,family,126.07222407833626
6,Michelle,male,135.9030725715554
7,Michelle,female,126.47485984728357
8,Emily,career,126.45079231113503
9,Emily,family,120.06283051919104
10,Emily,male,130.90872053220167
11,Emily,female,121.06695053498512
12,Julia,career,128.54565944066965
13,Julia,family,122.55171363846615
14,Julia,male,132.01844474675124
15,Julia,female,123.61150962482621
16,Anna,career,128.56025019574506
17,Anna,family,123.71692504995468
18,Anna,male,133.17974856940225
19,Anna,female,123.59392663241184
20,Ben,career,132.2023029347101
21,Ben,family,131.19563498923722
22,Ben,male,130.65052658667102
23,Ben,female,133.9128114001505
24,Paul,career,128.96392158720744
25,Paul,family,123.3758596635875
26,Paul,male,134.69221213080567
27,Paul,female,123.07363579231321
28,Daniel,career,135.32567791116537
29,Daniel,family,130.7584468009537
30,Daniel,male,135.67407672374006
31,Daniel,female,133.45567961067985
32,John,career,131.06592065052354
33,John,family,124.67918266480388
34,John,male,138.4102809799461
35,John,female,122.47057060907252
36,Jeffrey,career,131.92642814482087
37,Jeffrey,family,125.924373750422
38,Jeffrey,male,139.1417221454864
39,Jeffrey,female,125.74681069455494
40,career,career,0.0
41,career,family,83.28497661831031
42,career,male,104.84610810729693
43,career,female,94.24982410950585
44,corporation,career,111.36605428054702
45,corporation,family,111.48666595913635
46,corporation,male,117.01776096117386
47,corporation,female,121.96660200804183
48,salary,career,93.4474081436768
49,salary,family,99.29922702211275
50,salary,male,105.73491645894924
51,salary,female,105.65403087983483
52,office,career,95.81515437228056
53,office,family,93.87428925373597
54,office,male,100.39413393789735
55,office,female,102.10250368041773
56,professional,career,86.48002844130437
57,professional,family,89.00278066835185
58,professional,male,98.8004697404643
59,professional,female,84.45429120286515
60,management,career,81.0055952470885
61,management,family,90.98385937652013
62,management,male,104.41372073608771
63,management,female,103.40410128978561
64,business,career,74.58226514730448
65,business,family,82.8573232207283
66,business,male,105.80223105555757
67,business,female,93.19852663283677
68,wedding,career,96.24605654977097
69,wedding,family,91.25124205906133
70,wedding,male,104.18054843393276
71,wedding,female,98.47568672418632
72,marriage,career,87.76085576229902
73,marriage,family,86.11917140936488
74,marriage,male,99.533528038989
75,marriage,female,101.22146023992856
76,parents,career,102.95143686153534
77,parents,family,95.67025494788453
78,parents,male,103.9141398246083
79,parents,female,111.19379048473317
80,relatives,career,114.90633818185724
81,relatives,family,103.97264206836428
82,relatives,male,109.99074113771576
83,relatives,female,118.58319098331893
84,family,career,83.28497661831031
85,family,family,0.0
86,family,male,98.55685847688707
87,family,female,86.40832771957349
88,home,career,114.16503412173279
89,home,family,115.88826920899434
90,home,male,124.31209711820652
91,home,female,121.01851437261594
92,children,career,104.95864853470304
93,children,family,95.4014264119376
94,children,male,102.5489662209834
95,children,female,107.75903919135315
