,0,1,euclidean
0,rebecca,career,101.22938429183905
1,rebecca,family,97.72348305979014
2,rebecca,male,97.84695733769406
3,rebecca,female,98.65450632128888
4,michelle,career,98.011490647606
5,michelle,family,95.23322714701575
6,michelle,male,93.37172245249644
7,michelle,female,95.28865521363403
8,emily,career,96.90970725033966
9,emily,family,94.52108870996024
10,emily,male,95.46594771516607
11,emily,female,96.9925379414611
12,julia,career,100.68129018864605
13,julia,family,98.38469756134776
14,julia,male,98.28816401430952
15,julia,female,100.51796719321986
16,anna,career,103.39690913614831
17,anna,family,100.73828922996422
18,anna,male,99.78418613725876
19,anna,female,102.4924153472315
20,ben,career,100.95830965821378
21,ben,family,99.90991840537157
22,ben,male,97.9367352559629
23,ben,female,101.8315410931771
24,paul,career,100.6750851283383
25,paul,family,98.1249115078206
26,paul,male,96.17396726344667
27,paul,female,97.4912600211355
28,daniel,career,97.87925733332298
29,daniel,family,95.66545141399088
30,daniel,male,95.09164265644132
31,daniel,female,96.61769335478475
32,john,career,95.77303079859534
33,john,family,93.22387930791184
34,john,male,93.48751689050601
35,john,female,93.7857779073277
36,jeffrey,career,99.84180484336197
37,jeffrey,family,99.03070781503115
38,jeffrey,male,97.08892329098866
39,jeffrey,female,100.84533838751032
40,career,career,0.0
41,career,family,69.53621930134398
42,career,male,83.96509216380318
43,career,female,78.84200244142986
44,corporation,career,82.67281042486918
45,corporation,family,79.04700905001552
46,corporation,male,91.58477865181159
47,corporation,female,90.18756776163423
48,salary,career,79.2148485662354
49,salary,family,78.89366819607096
50,salary,male,85.31539542215636
51,salary,female,85.28922709416189
52,office,career,77.22098642912403
53,office,family,70.65820306367127
54,office,male,81.22308095978866
55,office,female,79.41172934306073
56,professional,career,76.71286117936003
57,professional,family,71.96111975956418
58,professional,male,76.3929338022815
59,professional,female,69.19796621626749
60,management,career,66.52197551017059
61,management,family,64.95502126574442
62,management,male,79.17527319260668
63,management,female,74.61168123101548
64,business,career,67.57646025497208
65,business,family,69.53428307670444
66,business,male,86.08816298772648
67,business,female,79.72734549057728
68,wedding,career,79.48715456338765
69,wedding,family,72.2412648937021
70,wedding,male,83.5353591521531
71,wedding,female,79.94754841707051
72,marriage,career,71.42367684357896
73,marriage,family,63.6472209052104
74,marriage,male,78.51314261692377
75,marriage,female,76.51125885518383
76,parents,career,96.43010036539432
77,parents,family,92.87403110997329
78,parents,male,106.7998306962743
79,parents,female,107.87359711238804
80,relatives,career,107.92557217630504
81,relatives,family,103.78659514840653
82,relatives,male,115.5672513966341
83,relatives,female,117.72432037873163
84,family,career,69.53621930134398
85,family,family,0.0
86,family,male,74.73780424007202
87,family,female,69.4018773859613
88,home,career,93.06366740843133
89,home,family,88.45568527344719
90,home,male,93.82922095905094
91,home,female,91.20263813564334
92,children,career,83.27489551926416
93,children,family,76.05612672521956
94,children,male,90.29338781274973
95,children,female,89.35539714391969
