,0,1,euclidean
0,Rebecca,career,134.29788608852337
1,Rebecca,family,124.23920704428951
2,Rebecca,male,140.97623155655822
3,Rebecca,female,130.57958130067564
4,Michelle,career,127.3297548926532
5,Michelle,family,120.36479019809263
6,Michelle,male,131.01741585215112
7,Michelle,female,125.33155271610505
8,Emily,career,124.37606678681618
9,Emily,family,117.60203493706014
10,Emily,male,127.48534545857613
11,Emily,female,123.93005675351056
12,Julia,career,126.3375252693322
13,Julia,family,117.83920851731914
14,Julia,male,131.2282290515057
15,Julia,female,123.69687813298785
16,Anna,career,130.93339227970932
17,Anna,family,121.20491454571983
18,Anna,male,134.89748344054232
19,Anna,female,125.43579521792218
20,Ben,career,128.8528066873382
21,Ben,family,128.3658377156345
22,Ben,male,125.53231736277579
23,Ben,female,133.49955888073376
24,Paul,career,137.6992346847644
25,Paul,family,127.82024752307827
26,Paul,male,143.8501361299663
27,Paul,female,133.1319088451569
28,Daniel,career,125.95422938156354
29,Daniel,family,120.69016563463492
30,Daniel,male,127.31525291218477
31,Daniel,female,125.71466575019747
32,John,career,135.82713808407516
33,John,family,125.18953539662463
34,John,male,144.59671969199619
35,John,female,130.32764486980895
36,Jeffrey,career,135.14770095452735
37,Jeffrey,family,125.51759792727348
38,Jeffrey,male,142.14424665299302
39,Jeffrey,female,129.75401094496246
40,career,career,0.0
41,career,family,78.48605623916147
42,career,male,91.8433532909034
43,career,female,86.49897907559301
44,corporation,career,97.43422941910067
45,corporation,family,102.2233200158076
46,corporation,male,99.54439449562636
47,corporation,female,109.53501938203934
48,salary,career,85.9618116739612
49,salary,family,93.18385756717919
50,salary,male,98.58571113164527
51,salary,female,98.93959987087541
52,office,career,89.22502068691131
53,office,family,89.7514137791109
54,office,male,93.4566625782894
55,office,female,96.58303871891752
56,professional,career,83.59513911475347
57,professional,family,81.7876926994088
58,professional,male,93.61116677846232
59,professional,female,76.90212127906118
60,management,career,74.51909744058871
61,management,family,80.11736785509565
62,management,male,96.95998298331186
63,management,female,91.42214156011575
64,business,career,69.68581494713419
65,business,family,77.24112308129763
66,business,male,96.57509030102437
67,business,female,87.42309467238988
68,wedding,career,88.81867656298375
69,wedding,family,83.35126390132304
70,wedding,male,98.41284484994647
71,wedding,female,90.7493253432121
72,marriage,career,77.33466568441965
73,marriage,family,78.21812459159268
74,marriage,male,88.18121918912165
75,marriage,female,92.31843202461457
76,parents,career,99.42087486653892
77,parents,family,101.23448800562852
78,parents,male,97.01851688892255
79,parents,female,112.78565481505281
80,relatives,career,125.05706659029185
81,relatives,family,119.53221315248398
82,relatives,male,118.67320432859073
83,relatives,female,131.51181990452062
84,family,career,78.48605623916147
85,family,family,0.0
86,family,male,92.13848025815986
87,family,female,79.81744001142404
88,home,career,101.33353722524352
89,home,family,104.68599903508446
90,home,male,105.28377617860585
91,home,female,109.74342298816427
92,children,career,97.92050882446621
93,children,family,96.86253193758077
94,children,male,92.53537574735097
95,children,female,107.7538350195481
