,0,1,euclidean
0,rebecca,career,116.25582290683107
1,rebecca,family,118.39206136274555
2,rebecca,male,107.01657110105134
3,rebecca,female,118.8179821952691
4,michelle,career,115.36805089208417
5,michelle,family,121.37900115179241
6,michelle,male,103.37503721769947
7,michelle,female,116.71563027435367
8,emily,career,113.8192210419964
9,emily,family,118.75502556769122
10,emily,male,102.727774848797
11,emily,female,116.64403699663602
12,julia,career,114.04329569312368
13,julia,family,118.21738962683638
14,julia,male,102.32957982213432
15,julia,female,116.1202281760701
16,anna,career,115.09640066699538
17,anna,family,118.94307858652596
18,anna,male,102.83715624096236
19,anna,female,116.52717520097598
20,ben,career,118.10362567442259
21,ben,family,124.92845913496149
22,ben,male,106.88146572226228
23,ben,female,122.3083261066184
24,paul,career,117.43338488033837
25,paul,family,123.92096236553431
26,paul,male,105.92256905346102
27,paul,female,119.91189094520554
28,daniel,career,115.71669431990303
29,daniel,family,122.72151881186169
30,daniel,male,104.11174514727082
31,daniel,female,118.8428341420888
32,john,career,112.10916910232997
33,john,family,118.00131792238437
34,john,male,102.69107063453504
35,john,female,112.17237170167806
36,jeffrey,career,116.50961916131939
37,jeffrey,family,121.52724898704683
38,jeffrey,male,105.71050136413425
39,jeffrey,female,119.977893140246
40,career,career,0.0
41,career,family,76.59401374893423
42,career,male,88.5640085235268
43,career,female,83.24860097468738
44,corporation,career,95.05673664518257
45,corporation,family,93.4224861884298
46,corporation,male,99.64264364866621
47,corporation,female,107.84195793128262
48,salary,career,89.02934043936023
49,salary,family,92.89634928116176
50,salary,male,97.70737868405517
51,salary,female,104.98408512471703
52,office,career,91.72944583603693
53,office,family,88.52881831641913
54,office,male,94.70347788949864
55,office,female,99.73600368651427
56,professional,career,77.74518669027435
57,professional,family,82.89285243348603
58,professional,male,88.58316945616626
59,professional,female,78.60341549892736
60,management,career,73.4546586839476
61,management,family,79.40030611930516
62,management,male,92.2612067178305
63,management,female,94.5828128959456
64,business,career,66.26403765527105
65,business,family,76.1331612743266
66,business,male,92.34306286303182
67,business,female,87.19223030048356
68,wedding,career,97.42863958480092
69,wedding,family,92.67967950151476
70,wedding,male,102.64348513937063
71,wedding,female,94.56620145711976
72,marriage,career,74.129095455488
73,marriage,family,74.56930001171574
74,marriage,male,86.58069314061514
75,marriage,female,90.3488365703553
76,parents,career,97.34633924519692
77,parents,family,88.47508116837481
78,parents,male,98.54229806592201
79,parents,female,107.0976490197451
80,relatives,career,107.02490350621753
81,relatives,family,93.37641995997421
82,relatives,male,104.4214090156799
83,relatives,female,113.8223052953527
84,family,career,76.59401374893423
85,family,family,0.0
86,family,male,88.20421987502243
87,family,female,82.36946785310953
88,home,career,101.9111709581886
89,home,family,104.93722906958502
90,home,male,107.69298565659386
91,home,female,108.94555880097353
92,children,career,98.02639414046668
93,children,family,84.39483746990322
94,children,male,97.82068236592816
95,children,female,102.42872835320802
