,0,1,euclidean
0,Rebecca,career,119.61887295097556
1,Rebecca,family,115.96385732513903
2,Rebecca,male,123.32086607375327
3,Rebecca,female,115.9047583481165
4,Michelle,career,118.66266499450248
5,Michelle,family,115.42586102995406
6,Michelle,male,119.8810626742864
7,Michelle,female,114.65026077070578
8,Emily,career,114.34050203077682
9,Emily,family,111.05834670365563
10,Emily,male,117.44758119301326
11,Emily,female,110.62735727656988
12,Julia,career,115.93829176401667
13,Julia,family,112.2414865537821
14,Julia,male,117.90396584958981
15,Julia,female,111.39447732732836
16,Anna,career,113.7230852510656
17,Anna,family,112.70234588463778
18,Anna,male,113.54667613194128
19,Anna,female,110.97389321984855
20,Ben,career,117.02648735227476
21,Ben,family,119.59543175412695
22,Ben,male,113.51363393465066
23,Ben,female,120.31071651545531
24,Paul,career,117.14272299211882
25,Paul,family,115.02895918217601
26,Paul,male,120.10616977945747
27,Paul,female,114.59897354653023
28,Daniel,career,116.74835749715223
29,Daniel,family,116.49989050179799
30,Daniel,male,114.81564182216606
31,Daniel,female,116.7168096624792
32,John,career,120.89004163699498
33,John,family,116.90089037132688
34,John,male,125.45097063931358
35,John,female,114.76413276246961
36,Jeffrey,career,121.6519931492393
37,Jeffrey,family,119.055975912581
38,Jeffrey,male,126.46618702421696
39,Jeffrey,female,116.97770379776027
40,career,career,0.0
41,career,family,76.59401374893423
42,career,male,88.5640085235268
43,career,female,83.24860097468738
44,corporation,career,95.05673664518257
45,corporation,family,93.4224861884298
46,corporation,male,99.64264364866621
47,corporation,female,107.84195793128262
48,salary,career,89.02934043936023
49,salary,family,92.89634928116176
50,salary,male,97.70737868405517
51,salary,female,104.98408512471703
52,office,career,91.72944583603693
53,office,family,88.52881831641913
54,office,male,94.70347788949864
55,office,female,99.73600368651427
56,professional,career,77.74518669027435
57,professional,family,82.89285243348603
58,professional,male,88.58316945616626
59,professional,female,78.60341549892736
60,management,career,73.4546586839476
61,management,family,79.40030611930516
62,management,male,92.2612067178305
63,management,female,94.5828128959456
64,business,career,66.26403765527105
65,business,family,76.1331612743266
66,business,male,92.34306286303182
67,business,female,87.19223030048356
68,wedding,career,97.42863958480092
69,wedding,family,92.67967950151476
70,wedding,male,102.64348513937063
71,wedding,female,94.56620145711976
72,marriage,career,74.129095455488
73,marriage,family,74.56930001171574
74,marriage,male,86.58069314061514
75,marriage,female,90.3488365703553
76,parents,career,97.34633924519692
77,parents,family,88.47508116837481
78,parents,male,98.54229806592201
79,parents,female,107.0976490197451
80,relatives,career,107.02490350621753
81,relatives,family,93.37641995997421
82,relatives,male,104.4214090156799
83,relatives,female,113.8223052953527
84,family,career,76.59401374893423
85,family,family,0.0
86,family,male,88.20421987502243
87,family,female,82.36946785310953
88,home,career,101.9111709581886
89,home,family,104.93722906958502
90,home,male,107.69298565659386
91,home,female,108.94555880097353
92,children,career,98.02639414046668
93,children,family,84.39483746990322
94,children,male,97.82068236592816
95,children,female,102.42872835320802
