,0,1,euclidean
0,rebecca,career,139.22616457468104
1,rebecca,family,123.9414927196319
2,rebecca,male,144.3427055848508
3,rebecca,female,130.00192267243625
4,michelle,career,139.9672883085926
5,michelle,family,127.29068608330695
6,michelle,male,145.17505689592522
7,michelle,female,132.3775346896928
8,emily,career,140.68376103069815
9,emily,family,125.84878202119162
10,emily,male,146.93459844427812
11,emily,female,133.3758169920672
12,julia,career,152.71101967097104
13,julia,family,144.87298766499197
14,julia,male,158.34371100245764
15,julia,female,149.35342295479379
16,anna,career,146.80341463606996
17,anna,family,135.52443416621142
18,anna,male,150.31875140651948
19,anna,female,137.1001073234405
20,ben,career,151.50908990464472
21,ben,family,142.0230682009304
22,ben,male,152.14252633227449
23,ben,female,144.44956920550362
24,paul,career,145.3409782690481
25,paul,family,130.68101621101337
26,paul,male,148.53627652763836
27,paul,female,136.4605413962138
28,daniel,career,143.98113670905988
29,daniel,family,131.3927148303861
30,daniel,male,149.70098431895394
31,daniel,female,138.22674170579717
32,john,career,148.01071700305806
33,john,family,135.38773602363412
34,john,male,150.86662895597811
35,john,female,138.80616492632575
36,jeffrey,career,143.11617418069577
37,jeffrey,family,130.5891724008365
38,jeffrey,male,151.35594567532664
39,jeffrey,female,138.1644917482418
40,career,career,0.0
41,career,family,119.86733279852699
42,career,male,149.81436560782328
43,career,female,131.9119310712231
44,corporation,career,133.29384324319076
45,corporation,family,116.26676369654072
46,corporation,male,146.30011431356328
47,corporation,female,128.7811052453203
48,salary,career,130.01876083925566
49,salary,family,132.26982439929606
50,salary,male,149.64153292014996
51,salary,female,140.69347924402726
52,office,career,129.96981836359504
53,office,family,123.03411537582024
54,office,male,150.06838037968302
55,office,female,137.61263842548087
56,professional,career,123.16864309739545
57,professional,family,119.5618140937881
58,professional,male,137.15634013506306
59,professional,female,110.75905674669998
60,management,career,121.3683037940227
61,management,family,118.89786121333508
62,management,male,148.7813310578233
63,management,female,133.02290607333111
64,business,career,109.09319357398827
65,business,family,114.2372114034019
66,business,male,149.1979433105467
67,business,female,130.99084972361032
68,wedding,career,126.85937035674942
69,wedding,family,116.68690833564071
70,wedding,male,150.67274887691968
71,wedding,female,135.5286072897788
72,marriage,career,120.18779210028832
73,marriage,family,117.20357032655868
74,marriage,male,150.35439488217241
75,marriage,female,137.82061992858263
76,parents,career,127.64283656176066
77,parents,family,104.31288440702473
78,parents,male,141.3101070323535
79,parents,female,127.76867441907737
80,relatives,career,142.31509458723457
81,relatives,family,110.93486724303457
82,relatives,male,139.17523819373275
83,relatives,female,126.5948872026827
84,family,career,119.86733279852699
85,family,family,0.0
86,family,male,131.39999356014545
87,family,female,112.89586071929969
88,home,career,149.41502001657432
89,home,family,149.24058928740914
90,home,male,164.86681904080785
91,home,female,154.3658254356653
92,children,career,132.5388606539778
93,children,family,101.0181070618828
94,children,male,132.57521654397155
95,children,female,116.24391613235474
