,0,1,euclidean
0,Rebecca,career,170.28930341299446
1,Rebecca,family,153.63619323137226
2,Rebecca,male,168.81385011330497
3,Rebecca,female,157.58972323340524
4,Michelle,career,172.930717611104
5,Michelle,family,158.12727043118824
6,Michelle,male,171.30698686580664
7,Michelle,female,160.75000094247702
8,Emily,career,169.43289768746058
9,Emily,family,154.01038765366255
10,Emily,male,167.94438880587762
11,Emily,female,157.07252096464325
12,Julia,career,168.10238640692378
13,Julia,family,151.17682211796418
14,Julia,male,166.81558014700735
15,Julia,female,154.25083572792045
16,Anna,career,174.2729547138952
17,Anna,family,160.57236495876603
18,Anna,male,172.03572123674704
19,Anna,female,161.38573239053733
20,Ben,career,182.06836476896157
21,Ben,family,171.64721835216895
22,Ben,male,178.9100498292911
23,Ben,female,174.79057730820765
24,Paul,career,175.42100376682492
25,Paul,family,162.08440798492128
26,Paul,male,173.9879111593553
27,Paul,female,165.5094871704261
28,Daniel,career,169.97156309682563
29,Daniel,family,154.92097720928203
30,Daniel,male,168.5564034511159
31,Daniel,female,158.62997167122154
32,John,career,175.12945866605816
33,John,family,161.17005049153667
34,John,male,172.58249764592273
35,John,female,163.98047917710397
36,Jeffrey,career,170.88996029265317
37,Jeffrey,family,158.2752120289036
38,Jeffrey,male,173.1331360603849
39,Jeffrey,female,161.54677408853718
40,career,career,0.0
41,career,family,119.86733279852699
42,career,male,149.81436560782328
43,career,female,131.9119310712231
44,corporation,career,133.29384324319076
45,corporation,family,116.26676369654072
46,corporation,male,146.30011431356328
47,corporation,female,128.7811052453203
48,salary,career,130.01876083925566
49,salary,family,132.26982439929606
50,salary,male,149.64153292014996
51,salary,female,140.69347924402726
52,office,career,129.96981836359504
53,office,family,123.03411537582024
54,office,male,150.06838037968302
55,office,female,137.61263842548087
56,professional,career,123.16864309739545
57,professional,family,119.5618140937881
58,professional,male,137.15634013506306
59,professional,female,110.75905674669998
60,management,career,121.3683037940227
61,management,family,118.89786121333508
62,management,male,148.7813310578233
63,management,female,133.02290607333111
64,business,career,109.09319357398827
65,business,family,114.2372114034019
66,business,male,149.1979433105467
67,business,female,130.99084972361032
68,wedding,career,126.85937035674942
69,wedding,family,116.68690833564071
70,wedding,male,150.67274887691968
71,wedding,female,135.5286072897788
72,marriage,career,120.18779210028832
73,marriage,family,117.20357032655868
74,marriage,male,150.35439488217241
75,marriage,female,137.82061992858263
76,parents,career,127.64283656176066
77,parents,family,104.31288440702473
78,parents,male,141.3101070323535
79,parents,female,127.76867441907737
80,relatives,career,142.31509458723457
81,relatives,family,110.93486724303457
82,relatives,male,139.17523819373275
83,relatives,female,126.5948872026827
84,family,career,119.86733279852699
85,family,family,0.0
86,family,male,131.39999356014545
87,family,female,112.89586071929969
88,home,career,149.41502001657432
89,home,family,149.24058928740914
90,home,male,164.86681904080785
91,home,female,154.3658254356653
92,children,career,132.5388606539778
93,children,family,101.0181070618828
94,children,male,132.57521654397155
95,children,female,116.24391613235474
