,0,1,euclidean
0,rebecca,career,441.516205674504
1,rebecca,family,445.5972809873175
2,rebecca,male,439.23318939548767
3,rebecca,female,435.5195616714512
4,michelle,career,441.0086778735491
5,michelle,family,449.3885723791319
6,michelle,male,461.3701549015999
7,michelle,female,458.47734592954373
8,emily,career,428.61578946615055
9,emily,family,437.1897292650025
10,emily,male,472.57475300829054
11,emily,female,470.15203592581673
12,julia,career,418.48101411513454
13,julia,family,409.1951822481566
14,julia,male,407.1128363866882
15,julia,female,411.15427296390993
16,anna,career,443.7431920081424
17,anna,family,446.416042166478
18,anna,male,430.9486916594367
19,anna,female,433.35521554449303
20,ben,career,489.28174209444813
21,ben,family,500.326355080843
22,ben,male,509.3587594144296
23,ben,female,521.5580136381809
24,paul,career,474.454794893887
25,paul,family,484.8741081787056
26,paul,male,510.944410802154
27,paul,female,514.6769303158248
28,daniel,career,466.0066887661913
29,daniel,family,471.86809248560326
30,daniel,male,494.42072159084034
31,daniel,female,497.20732743716576
32,john,career,461.91669454024145
33,john,family,469.15364808032314
34,john,male,490.1766494568865
35,john,female,491.2138326463047
36,jeffrey,career,446.4451007303248
37,jeffrey,family,455.3591539230706
38,jeffrey,male,475.10346111851766
39,jeffrey,female,473.82489564968625
40,career,career,0.0
41,career,family,369.3169641374144
42,career,male,442.61945315925146
43,career,female,416.0501436849859
44,corporation,career,343.87456859423656
45,corporation,family,347.30997191576205
46,corporation,male,409.8773434283238
47,corporation,female,386.39556561702824
48,salary,career,397.2609807131709
49,salary,family,402.00843792842284
50,salary,male,447.9137471663668
51,salary,female,449.35160687078763
52,office,career,395.95264229978847
53,office,family,383.40743359435635
54,office,male,432.38471773890166
55,office,female,417.35491305183297
56,professional,career,350.32219257365455
57,professional,family,397.0232083425815
58,professional,male,437.2869657552451
59,professional,female,392.9797852060986
60,management,career,326.3557847935909
61,management,family,358.22925381943065
62,management,male,428.2622646457999
63,management,female,414.26152766170713
64,business,career,351.1838712716854
65,business,family,368.1189667571935
66,business,male,457.52067101891583
67,business,female,431.6728972631826
68,wedding,career,350.2484285351076
69,wedding,family,370.08181811749586
70,wedding,male,452.30784756201666
71,wedding,female,427.4584536918212
72,marriage,career,331.54654345647936
73,marriage,family,361.93649742515845
74,marriage,male,419.9883669618327
75,marriage,female,398.33764999449755
76,parents,career,403.8693856941866
77,parents,family,366.1254173063371
78,parents,male,425.4961301786224
79,parents,female,421.37133769343944
80,relatives,career,372.8373790703233
81,relatives,family,332.9054126534487
82,relatives,male,388.7334537786935
83,relatives,female,381.6644000978584
84,family,career,369.3169641374144
85,family,family,0.0
86,family,male,426.32095177426936
87,family,female,400.6477498649947
88,home,career,396.84101041926465
89,home,family,390.41798731395727
90,home,male,428.45808593217737
91,home,female,412.07082551657487
92,children,career,370.1330592823935
93,children,family,348.32366333511584
94,children,male,409.31430164752396
95,children,female,388.42238291262515
