,0,1,euclidean
0,Rebecca,career,487.81171580068724
1,Rebecca,family,479.47390213262366
2,Rebecca,male,469.8723825357422
3,Rebecca,female,460.9922268255922
4,Michelle,career,486.3597567825123
5,Michelle,family,482.8542701642141
6,Michelle,male,473.31489112768367
7,Michelle,female,466.9090938263798
8,Emily,career,468.7853721431467
9,Emily,family,459.8358081485527
10,Emily,male,462.80668929885576
11,Emily,female,456.2364299064288
12,Julia,career,486.09784430777995
13,Julia,family,472.47712030252177
14,Julia,male,470.30282280457016
15,Julia,female,462.4110835122275
16,Anna,career,487.1241495716252
17,Anna,family,478.7935877701225
18,Anna,male,465.51976000926857
19,Anna,female,461.4463266101101
20,Ben,career,508.66650911917054
21,Ben,family,507.1135843308786
22,Ben,male,501.6758907386835
23,Ben,female,516.1695269364918
24,Paul,career,488.53046377133404
25,Paul,family,484.72983843489186
26,Paul,male,488.82090944024355
27,Paul,female,487.1867800806193
28,Daniel,career,487.61605575966416
29,Daniel,family,481.5191160717147
30,Daniel,male,474.77315207289604
31,Daniel,female,469.3332349994103
32,John,career,482.9771787379783
33,John,family,477.67243108283657
34,John,male,480.2825501065258
35,John,female,475.7311855367665
36,Jeffrey,career,485.0800078175574
37,Jeffrey,family,479.4980818052932
38,Jeffrey,male,475.15642940029664
39,Jeffrey,female,470.548068339627
40,career,career,0.0
41,career,family,369.3169641374144
42,career,male,442.61945315925146
43,career,female,416.0501436849859
44,corporation,career,343.87456859423656
45,corporation,family,347.30997191576205
46,corporation,male,409.8773434283238
47,corporation,female,386.39556561702824
48,salary,career,397.2609807131709
49,salary,family,402.00843792842284
50,salary,male,447.9137471663668
51,salary,female,449.35160687078763
52,office,career,395.95264229978847
53,office,family,383.40743359435635
54,office,male,432.38471773890166
55,office,female,417.35491305183297
56,professional,career,350.32219257365455
57,professional,family,397.0232083425815
58,professional,male,437.2869657552451
59,professional,female,392.9797852060986
60,management,career,326.3557847935909
61,management,family,358.22925381943065
62,management,male,428.2622646457999
63,management,female,414.26152766170713
64,business,career,351.1838712716854
65,business,family,368.1189667571935
66,business,male,457.52067101891583
67,business,female,431.6728972631826
68,wedding,career,350.2484285351076
69,wedding,family,370.08181811749586
70,wedding,male,452.30784756201666
71,wedding,female,427.4584536918212
72,marriage,career,331.54654345647936
73,marriage,family,361.93649742515845
74,marriage,male,419.9883669618327
75,marriage,female,398.33764999449755
76,parents,career,403.8693856941866
77,parents,family,366.1254173063371
78,parents,male,425.4961301786224
79,parents,female,421.37133769343944
80,relatives,career,372.8373790703233
81,relatives,family,332.9054126534487
82,relatives,male,388.7334537786935
83,relatives,female,381.6644000978584
84,family,career,369.3169641374144
85,family,family,0.0
86,family,male,426.32095177426936
87,family,female,400.6477498649947
88,home,career,396.84101041926465
89,home,family,390.41798731395727
90,home,male,428.45808593217737
91,home,female,412.07082551657487
92,children,career,370.1330592823935
93,children,family,348.32366333511584
94,children,male,409.31430164752396
95,children,female,388.42238291262515
