First word,Second word,Association
rebecca,career,0.0
rebecca,family,0.0003322259136212625
rebecca,male,0.0001661129568106313
rebecca,female,0.0
michelle,career,0.0
michelle,family,0.0004576659038901602
michelle,male,0.0
michelle,female,0.0
emily,career,0.0
emily,family,0.0005184331797235024
emily,male,5.760368663594472e-05
emily,female,0.0001728110599078341
julia,career,0.0
julia,family,0.0004964539007092198
julia,male,0.0
julia,female,7.092198581560286e-05
anna,career,8.73743993010048e-05
anna,family,0.00109217999126256
anna,male,4.368719965050242e-05
anna,female,8.73743993010048e-05
ben,career,0.0001083815028901734
ben,family,0.0003251445086705202
ben,male,7.22543352601156e-05
ben,female,3.612716763005781e-05
paul,career,0.0001425262782825583
paul,family,0.0003206841261357564
paul,male,6.235524674861927e-05
paul,female,2.672367717797969e-05
daniel,career,0.0
daniel,family,0.0003313452617627568
daniel,male,0.0
daniel,female,0.0
john,career,0.0001583850931677019
john,family,0.0003944099378881986
john,male,5.900621118012423e-05
john,female,2.484472049689442e-05
jeffrey,career,0.0002145922746781117
jeffrey,family,0.0006437768240343349
jeffrey,male,0.0002145922746781117
jeffrey,female,0.0
career,career,0.0008499335989375831
career,family,0.0007436918990703851
career,male,0.0001859229747675962
career,female,0.0001195219123505976
corporation,career,8.593526210254942e-05
corporation,family,8.593526210254942e-05
corporation,male,0.0
corporation,female,2.864508736751648e-05
salary,career,0.000564681724845996
salary,family,0.0001026694045174538
salary,male,0.0
salary,female,0.0
office,career,4.46881982530977e-05
office,family,0.0001909404834450538
office,male,1.625025391021735e-05
office,female,6.500101564086937e-05
professional,career,0.0008321141185076811
professional,family,0.0003474762253108998
professional,male,0.0001371616678858815
professional,female,7.315288953913682e-05
management,career,0.0001937269372693727
management,family,0.0001245387453874539
management,male,4.612546125461257e-05
management,female,2.306273062730627e-05
business,career,0.0001644736842105263
business,family,0.0008223684210526314
business,male,4.905355493998151e-05
business,female,4.616805170821791e-05
wedding,career,3.14663310258024e-05
wedding,family,0.0007551919446192573
wedding,male,3.14663310258024e-05
wedding,female,9.439899307740717e-05
marriage,career,0.0004070378151260504
marriage,family,0.003374474789915967
marriage,male,0.0001444327731092437
marriage,female,0.000157563025210084
parents,career,8.192072594366373e-05
parents,family,0.001046064654357552
parents,male,8.192072594366373e-05
parents,female,0.00010082550885374
relatives,career,0.0
relatives,family,0.002040030792917629
relatives,male,0.0005773672055427253
relatives,female,0.0006928406466512704
family,career,0.0001673190116226956
family,family,0.002796617765693627
family,male,0.0002718933938868804
family,female,0.0001464041351698587
home,career,7.423011335138928e-05
home,family,0.001723342361320092
home,male,0.000108335841107433
home,female,8.024877119069112e-05
children,career,6.606328863050804e-05
children,family,0.001233181387769483
children,male,0.0001607540023342362
children,female,9.909493294576205e-05
