First word,Second word,Association
rebecca,career,0.0
rebecca,family,0.4771212547196624
rebecca,male,0.3010299956639812
rebecca,female,0.0
michelle,career,0.0
michelle,family,0.4771212547196624
michelle,male,0.0
michelle,female,0.0
emily,career,0.0
emily,family,1.0
emily,male,0.3010299956639812
emily,female,0.6020599913279624
julia,career,0.0
julia,family,0.9030899869919435
julia,male,0.0
julia,female,0.3010299956639812
anna,career,0.4771212547196624
anna,family,1.414973347970818
anna,male,0.3010299956639812
anna,female,0.4771212547196624
ben,career,0.6020599913279624
ben,family,1.0
ben,male,0.4771212547196624
ben,female,0.3010299956639812
paul,career,1.230448921378274
paul,family,1.568201724066995
paul,male,0.9030899869919435
paul,female,0.6020599913279624
daniel,career,0.0
daniel,family,0.7781512503836436
daniel,male,0.0
daniel,female,0.0
john,career,1.716003343634799
john,family,2.107209969647868
john,male,1.301029995663981
john,female,0.9542425094393249
jeffrey,career,0.3010299956639812
jeffrey,family,0.6020599913279624
jeffrey,male,0.3010299956639812
jeffrey,female,0.0
career,career,1.812913356642855
career,family,1.755874855672491
career,male,1.176091259055681
career,female,1.0
corporation,career,0.6020599913279624
corporation,family,0.6020599913279624
corporation,male,0.0
corporation,female,0.3010299956639812
salary,career,1.079181246047625
salary,family,0.4771212547196624
salary,male,0.0
salary,female,0.0
office,career,1.079181246047625
office,family,1.681241237375587
office,male,0.6989700043360189
office,female,1.230448921378274
professional,career,1.963787827345555
professional,family,1.591064607026499
professional,male,1.204119982655925
professional,female,0.9542425094393249
management,career,1.633468455579586
management,family,1.447158031342219
management,male,1.041392685158225
management,female,0.7781512503836436
business,career,1.763427993562937
business,family,2.456366033129043
business,male,1.255272505103306
business,female,1.230448921378274
wedding,career,0.3010299956639812
wedding,family,1.397940008672038
wedding,male,0.3010299956639812
wedding,female,0.6020599913279624
marriage,career,1.505149978319906
marriage,family,2.41161970596323
marriage,male,1.079181246047625
marriage,female,1.113943352306837
parents,career,1.146128035678238
parents,family,2.222716471147583
parents,male,1.146128035678238
parents,female,1.230448921378274
relatives,career,0.0
relatives,family,1.732393759822969
relatives,male,1.204119982655925
relatives,female,1.278753600952829
family,career,1.755874855672491
family,family,2.971739590887778
family,male,1.963787827345555
family,female,1.698970004336019
home,career,1.57978359661681
home,family,2.934498451243568
home,male,1.740362689494244
home,female,1.612783856719735
children,career,1.491361693834273
children,family,2.748962861256162
children,male,1.869231719730976
children,female,1.662757831681574
