First word,Second word,Association
rebecca,career,0.0
rebecca,family,0.7037896721711948
rebecca,male,1.3446961587163146
rebecca,female,0.0
michelle,career,0.0
michelle,family,0.0
michelle,male,0.0
michelle,female,0.0
emily,career,0.0
emily,family,0.17585811648641725
emily,male,0.0
emily,female,1.8563776103593823
julia,career,0.0
julia,family,0.47592990164474147
julia,male,0.0
julia,female,0.5714868947965495
anna,career,0.9290112776215607
anna,family,1.7769076013752105
anna,male,-0.5821859120796703
anna,female,0.0
ben,career,0.0
ben,family,-0.49721887870582787
ben,male,0.0
ben,female,-0.40166188555401966
paul,career,0.8048816826576195
paul,family,0.12670919474368136
paul,male,-0.29127800776476687
paul,female,-2.4215900018792347
daniel,career,0.0
daniel,family,-0.037005240874629836
daniel,male,0.0
daniel,female,0.0
john,career,0.6383019133449187
john,family,-0.256004005433785
john,male,-0.9370256137760284
john,female,-1.6198786309192734
jeffrey,career,0.0
jeffrey,family,0.07322320427661665
jeffrey,male,0.0
jeffrey,female,0.0
career,career,2.533006970505319
career,family,1.1033693187300597
career,male,1.159313304554023
career,female,0.15453219252341482
corporation,career,-0.6799116163755065
corporation,family,-2.832015292621856
corporation,male,0.0
corporation,female,-0.7364582994700483
salary,career,3.331660064537218
salary,family,-0.9903686131514453
salary,male,0.0
salary,female,0.0
office,career,-1.175808999057622
office,family,-1.2575233474125738
office,male,-4.008934283646215
office,female,-0.5542837770395268
professional,career,3.958117716433436
professional,family,-0.23146066523157727
professional,male,0.3314433093122685
professional,female,-0.06190309063599211
management,career,1.4403233910994817
management,family,-2.144739692422975
management,male,-1.0184063787076134
management,female,-1.0491826992711666
business,career,1.2181488631978694
business,family,1.8049590529072472
business,male,-1.5025016921323116
business,female,-0.5884195668883252
wedding,career,-0.5443903841712723
wedding,family,1.303505939582378
wedding,male,0.0
wedding,female,0.984025433455342
marriage,career,2.194695261869304
marriage,family,3.649921899372565
marriage,male,0.2684605728892297
marriage,female,0.9455035008323652
parents,career,-0.279448071899986
parents,family,1.3233357540171315
parents,male,-0.05367966743501158
parents,female,0.4009708391716769
relatives,career,0.0
relatives,family,2.2946633516241084
relatives,male,3.0424850420857394
relatives,female,3.6897806266348234
family,career,1.1033693187300597
family,family,2.627970711832442
family,male,0.7177030111126882
family,female,0.5259904723340776
home,career,-0.5156481481233031
home,family,2.5825465935366805
home,male,0.10243767912043311
home,female,-0.2502667363304823
children,career,-0.47435056560203526
children,family,1.685823683005257
children,male,0.5338264037903132
children,female,0.3170996578583731
