First word,Second word,Association
rebecca,career,0.0
rebecca,family,0.977266591418111
rebecca,male,1.523860210034139
rebecca,female,0.0
michelle,career,0.0
michelle,family,1.346257409688107
michelle,male,0.0
michelle,female,0.0
emily,career,0.0
emily,family,1.525008753543585
emily,male,0.5284353954150645
emily,female,2.172584087700602
julia,career,0.0
julia,family,1.460355112140397
julia,male,0.0
julia,female,0.8916326184984033
anna,career,1.142382420224447
anna,family,3.212726562001435
anna,male,0.4007705751160122
anna,female,1.098472688582567
ben,career,1.417041199364392
ben,family,0.9564361257773346
ben,male,0.6628351491622482
ben,female,0.4541914711281606
paul,career,1.863469346084986
paul,family,0.9433155874404646
paul,male,0.5720244900306307
paul,female,0.3359706018393234
daniel,career,0.0
daniel,family,0.9746760901817476
daniel,male,0.0
daniel,female,0.0
john,career,2.070816480661207
john,family,1.1601854034205
john,male,0.5413016485208224
john,female,0.3123483210143475
jeffrey,career,2.805701029928927
jeffrey,family,1.893716163198615
jeffrey,male,1.9685919451514
jeffrey,female,0.0
career,career,11.11251361442235
career,family,2.187623594282029
career,male,1.705590152744717
career,female,1.502631863047109
corporation,career,1.123566324789641
corporation,family,0.2527847986395171
corporation,male,0.0
corporation,female,0.3601266090182608
salary,career,7.382968931938231
salary,family,0.3020094907770549
salary,male,0.0
salary,female,0.0
office,career,0.5842788332080304
office,family,0.5616652638144227
office,male,0.149073954327126
office,female,0.8171940635110284
professional,career,10.87953162720977
professional,family,1.022126487988328
professional,male,1.258271552359937
professional,female,0.9196795845521203
management,career,2.532895782184914
management,family,0.366339741164898
management,male,0.4231383055537602
management,female,0.2899451088751725
business,career,2.150422170965262
business,family,2.419056283033317
business,male,0.4499995784132436
business,female,0.5804256657815088
wedding,career,0.4114086469310508
wedding,family,2.221451811329274
wedding,male,0.2886607446320176
wedding,female,1.186786021475218
marriage,career,5.321843103775374
marriage,family,9.926262042060245
marriage,male,1.324974042915713
marriage,female,1.980885491727018
parents,career,1.071078003611408
parents,family,3.077074957892578
parents,male,0.7515111225488165
parents,female,1.267580305836787
relatives,career,0.0
relatives,family,6.000898357541619
relatives,male,5.29655800485307
relatives,female,8.710406411658765
family,career,2.187623594282029
family,family,8.22645374525002
family,male,2.494251696378446
family,female,1.840595703846983
home,career,0.9705265755448793
home,family,5.069336395034112
home,male,0.9938338390568716
home,female,1.008889150031295
children,career,0.8637488801921644
children,family,3.627492383991473
children,male,1.474699099120483
children,female,1.245823471047184
