First word,Second word,Association
rebecca,career,0.00011685655857435
rebecca,family,0.001314636283961437
rebecca,male,0.0
rebecca,female,4.382120946538124e-05
michelle,career,2.512562814070352e-05
michelle,family,0.001017587939698493
michelle,male,3.768844221105527e-05
michelle,female,0.0001507537688442211
emily,career,1.260398285858331e-05
emily,family,0.001260398285858331
emily,male,3.781194857574994e-05
emily,female,7.562389715149989e-05
julia,career,2.559508574353724e-05
julia,family,0.0005630918863578191
julia,male,1.279754287176862e-05
julia,female,0.0002431533145636038
anna,career,6.392227051904881e-05
anna,family,0.0006775760675019177
anna,male,1.278445410380977e-05
anna,female,0.0001278445410380977
ben,career,6.154190444220655e-05
ben,family,0.0006238111223005483
ben,male,1.678415575696543e-05
ben,female,2.517623363544814e-05
paul,career,7.888716505824505e-05
paul,family,0.0004378237660732598
paul,male,1.5777433011649e-05
paul,female,2.103657734886534e-05
daniel,career,7.664793050587634e-05
daniel,family,0.0008303525804803271
daniel,male,1.916198262646909e-05
daniel,female,4.471129279509454e-05
john,career,0.0001036435336546564
john,family,0.0004996798004651321
john,male,2.949206242205669e-05
john,female,3.539047490646802e-05
jeffrey,career,6.887052341597797e-05
jeffrey,family,0.0004132231404958679
jeffrey,male,6.887052341597797e-05
jeffrey,female,0.0
career,career,0.001786470837452336
career,family,0.0006602174834062987
career,male,4.589747210845926e-05
career,female,6.001977121875442e-05
corporation,career,3.203074951953876e-05
corporation,family,0.0002562459961563101
corporation,male,3.203074951953876e-05
corporation,female,0.0
salary,career,0.0006003430531732418
salary,family,0.0008361921097770154
salary,male,6.432246998284733e-05
salary,female,8.576329331046312e-05
office,career,5.666447320318783e-05
office,family,0.0003564378153103751
office,male,3.655772464721796e-05
office,female,4.569715580902245e-05
professional,career,0.00103297374313047
professional,family,0.0004274374109505394
professional,male,9.668227152452677e-05
professional,female,9.159373091797273e-05
management,career,0.0003097413659594239
management,family,0.0001858448195756543
management,male,1.548706829797119e-05
management,female,3.097413659594239e-05
business,career,0.0001717608418794825
business,family,0.001206515181982706
business,male,2.513573295797306e-05
business,female,3.016287954956766e-05
wedding,career,3.65764447695684e-05
wedding,family,0.0009509875640087782
wedding,male,1.406786337291092e-05
wedding,female,2.250858139665747e-05
marriage,career,0.0001967113890850399
marriage,family,0.001376979723595279
marriage,male,8.574599011399173e-05
marriage,female,7.061434479975789e-05
parents,career,6.932773109243696e-05
parents,family,0.001823529411764706
parents,male,3.781512605042017e-05
parents,female,3.361344537815125e-05
relatives,career,2.799552071668533e-05
relatives,family,0.003527435610302351
relatives,male,4.199328107502799e-05
relatives,female,0.0001119820828667413
family,career,9.612913175345706e-05
family,family,0.004828047087852774
family,male,5.603248856217551e-05
family,female,5.294813139361538e-05
home,career,4.935391241923907e-05
home,family,0.002176058865757358
home,male,1.967253851675962e-05
home,female,2.864597713843945e-05
children,career,8.051179388980763e-05
children,family,0.001415847042098239
children,male,2.901325905939014e-05
children,female,3.118925348884441e-05
