First word,Second word,Association
rebecca,career,8.527087715308964e-05
rebecca,family,0.0001136945028707862
rebecca,male,5.684725143539309e-05
rebecca,female,2.842362571769655e-05
michelle,career,0.0
michelle,family,0.0002538715410002539
michelle,male,0.0
michelle,female,3.173394262503173e-05
emily,career,9.394375900294356e-05
emily,family,0.0003444604496774597
emily,male,0.0
emily,female,9.394375900294356e-05
julia,career,0.0001326963906581741
julia,family,0.0004246284501061571
julia,male,0.0
julia,female,2.653927813163482e-05
anna,career,0.0001012965964343598
anna,family,0.0002025931928687196
anna,male,3.37655321447866e-05
anna,female,5.064829821717989e-05
ben,career,6.954876759583819e-05
ben,family,0.0001043231513937573
ben,male,1.390975351916764e-05
ben,female,6.954876759583819e-06
paul,career,5.910309317776471e-05
paul,family,0.0001042995761960554
paul,male,5.214978809802768e-06
paul,female,6.953305079737024e-06
daniel,career,7.291419821724786e-05
daniel,family,0.0001640569459888077
daniel,male,1.822854955431196e-05
daniel,female,0.0
john,career,5.295667408550442e-05
john,family,0.0001853483592992655
john,male,1.544569660827212e-05
john,female,6.619584260688054e-06
jeffrey,career,0.0
jeffrey,family,0.0001564781973711662
jeffrey,male,5.215939912372209e-05
jeffrey,female,0.0
career,career,0.000579429806217761
career,family,0.000193869371253311
career,male,2.178307542172034e-05
career,female,1.960476787954831e-05
corporation,career,6.48096540460667e-06
corporation,family,6.480965404606669e-05
corporation,male,0.0
corporation,female,0.0
salary,career,0.0001673651371724664
salary,family,2.677842194759462e-05
salary,male,4.68622384082906e-05
salary,female,2.008381646069597e-05
office,career,2.356170516060247e-05
office,family,9.277421406987225e-05
office,male,2.503431173314013e-05
office,female,1.398976243910772e-05
professional,career,0.002222151600120275
professional,family,0.0001356759227796207
professional,male,9.045061518641382e-05
professional,female,0.0001735673967090643
management,career,0.001346477211497371
management,family,4.528901358205903e-05
management,male,2.322513517028668e-06
management,female,2.903141896285836e-06
business,career,0.0002278743485183635
business,family,0.00177231025854879
business,male,7.829317580196936e-06
business,female,3.09052009744616e-05
wedding,career,1.141066212268744e-05
wedding,family,0.0007340859298928918
wedding,male,1.141066212268744e-05
wedding,female,0.0001064995131450827
marriage,career,0.0001074247461383631
marriage,family,0.001266481217631228
marriage,male,2.826967003641133e-05
marriage,female,6.219327408010493e-05
parents,career,3.479309704954537e-05
parents,family,0.0006428438883439811
parents,male,6.958619409909074e-05
parents,female,5.964530922779206e-05
relatives,career,0.0
relatives,family,0.001907396622015143
relatives,male,0.002067559697146185
relatives,female,0.002125800815375655
family,career,6.682835624770042e-05
family,family,0.0003273838575730044
family,male,5.256162850942731e-05
family,female,3.904578117843172e-05
home,career,4.548171082643244e-05
home,family,0.00362748523544649
home,male,8.50125436008083e-06
home,female,2.082807318219803e-05
children,career,9.655263215641525e-06
children,family,0.000384893901823528
children,male,0.0001053301441706348
children,female,6.583134010664677e-05
