First word,Second word,Association
rebecca,career,1.7781512503836436
rebecca,family,2.27415784926368
rebecca,male,1.2787536009528289
rebecca,female,1.7853298350107671
michelle,career,1.8388490907372552
michelle,family,2.1492191126553797
michelle,male,1.0791812460476249
michelle,female,1.845098040014257
emily,career,1.462397997898956
emily,family,2.428134794028789
emily,male,1.2787536009528289
emily,female,1.6989700043360187
julia,career,1.863322860120456
julia,family,2.359835482339888
julia,male,1.1760912590556813
julia,female,1.7160033436347992
anna,career,1.9084850188786497
anna,family,2.582063362911709
anna,male,1.5185139398778875
anna,female,1.9590413923210936
ben,career,2.2278867046136734
ben,family,2.6180480967120925
ben,male,1.8195439355418688
ben,female,1.591064607026499
paul,career,2.885361220031512
paul,family,3.2329961103921536
paul,male,2.359835482339888
paul,female,2.2810333672477277
daniel,career,1.9777236052888478
daniel,family,2.640481436970422
daniel,male,1.7558748556724915
daniel,female,1.462397997898956
john,career,3.251638220448212
john,family,3.8217754671834636
john,male,2.741939077729199
john,female,2.5921767573958667
jeffrey,career,1.2787536009528289
jeffrey,family,1.7481880270062005
jeffrey,male,1.0
jeffrey,female,0.6989700043360189
career,career,4.4242771222724
career,family,3.5018804937550585
career,male,2.2329961103921536
career,female,2.591064607026499
corporation,career,2.1172712956557644
corporation,family,2.41161970596323
corporation,male,0.8450980400142568
corporation,female,1.146128035678238
salary,career,3.2265999052073573
salary,family,2.5224442335063197
salary,male,1.845098040014257
salary,female,1.7634279935629373
office,career,3.0515383905153275
office,family,3.5101426994025733
office,male,2.416640507338281
office,female,2.4712917110589387
professional,career,3.862071719379994
professional,family,3.3898745583909853
professional,male,2.494154594018443
professional,female,2.6364878963533656
management,career,3.9409644934927996
management,family,3.291368850451583
management,male,2.271841606536499
management,female,2.342422680822206
business,career,3.8250364412213536
business,family,4.136593747333078
business,male,2.4683473304121573
business,female,2.710963118995276
wedding,career,1.845098040014257
wedding,family,3.327563260187278
wedding,male,1.863322860120456
wedding,female,2.0644579892269186
marriage,career,2.56702636615906
marriage,family,3.6654871807828107
marriage,male,2.437750562820388
marriage,female,2.4771212547196626
parents,career,2.7371926427047373
parents,family,4.055913223916149
parents,male,2.4578818967339924
parents,female,2.462397997898956
relatives,career,1.4471580313422192
relatives,family,3.3624824747511743
relatives,male,2.3180633349627615
relatives,female,2.326335860928751
family,career,3.5018804937550585
family,family,4.820523283175604
family,male,3.1222158782728267
family,female,3.0149403497929366
home,career,3.4008832155483626
home,family,4.471159641981976
home,male,2.965201701025912
home,female,3.0346284566253203
children,career,3.2095150145426308
children,family,4.53406420039254
children,male,3.151676230847048
children,female,3.058426024457005
