First word,Second word,Association
rebecca,career,-0.43432768599634863
rebecca,family,-1.555842787499441
rebecca,male,0.18198608708072594
rebecca,female,-0.8637602429081908
michelle,career,0.0
michelle,family,-0.3969066111752243
michelle,male,0.0
michelle,female,-0.7048240665839745
emily,career,-0.29458346142783065
emily,family,0.043333055706374385
emily,male,0.0
emily,female,0.8609464823814836
julia,career,0.20367644160797155
julia,family,0.34519574593867286
julia,male,0.0
julia,female,-0.9627217094700766
anna,career,-0.18586698792866307
anna,family,-0.7224195887105993
anna,male,-0.5695532148515879
anna,female,-0.030337044119349472
ben,career,-0.7283558327781678
ben,family,-1.6799459328389477
ben,male,-1.8490076538672988
ben,female,-2.894753983856216
paul,career,-0.963147146968135
paul,family,-1.680271993391892
paul,male,-3.264371213699088
paul,female,-2.89508004440916
daniel,career,-0.6601810125165266
daniel,family,-1.0268086118561501
daniel,male,-1.4589047387182956
daniel,female,0.0
john,career,-1.1215682658863098
john,family,-0.8507659446106414
john,male,-1.697899570751631
john,female,-2.966038322076995
jeffrey,career,0.0
jeffrey,family,-1.0950436334589886
jeffrey,male,0.05782274040002306
jeffrey,female,0.0
career,career,2.33018121128916
career,family,-0.7859203940275677
career,male,-1.2018968555264355
career,female,-1.3996462789604027
corporation,career,-4.1521001451326
corporation,family,-2.3667246510271736
corporation,male,0.0
corporation,female,0.0
salary,career,0.5385463517070893
salary,family,-3.641862438849572
salary,male,-0.09667864221180017
salary,female,-1.3648173935371655
office,career,-2.2899368324293943
office,family,-1.8492095097114134
office,male,-1.0011977173808233
office,female,-1.8864793751764946
professional,career,4.269432650504851
professional,family,-1.3008405681210864
professional,male,0.8520258057379244
professional,female,1.7465732296247392
management,career,3.5466652196600843
management,family,-2.883772266905608
management,male,-4.431345611187689
management,female,-4.155163846289243
business,career,0.9837858433469284
business,family,2.406553988274934
business,male,-2.678146039645962
business,female,-0.7430011925825838
wedding,career,-3.335998274376284
wedding,family,1.1349436613887036
wedding,male,-2.1347220005780523
wedding,female,1.0419240907694773
marriage,career,-0.10112632052898994
marriage,family,1.9217484873030923
marriage,male,-0.8258494652869824
marriage,female,0.2659077284740358
parents,career,-1.7275796794478355
parents,family,0.9434631391785956
parents,male,0.47369659435039607
parents,female,0.20555784302503094
relatives,career,0.0
relatives,family,2.5125276730867725
relatives,male,5.3666806656341715
relatives,female,5.3610117750205895
family,career,-0.7859203940275677
family,family,-0.03002210099897497
family,male,0.06890546574923213
family,female,-0.40568416304355914
home,career,-1.3410942599800082
home,family,3.4398925480380202
home,male,-2.5593568776955617
home,female,-1.3123214584566334
children,career,-3.5769932885572655
children,family,0.20345552446823365
children,male,1.0717419622121866
children,female,0.3479237271106326
