First word,Second word,Association
rebecca,career,0.0
rebecca,family,0.0
rebecca,male,0.1819860870807259
rebecca,female,0.0
michelle,career,0.0
michelle,family,0.0
michelle,male,0.0
michelle,female,0.0
emily,career,0.0
emily,family,0.04333305570637438
emily,male,0.0
emily,female,0.8609464823814836
julia,career,0.2036764416079715
julia,family,0.3451957459386729
julia,male,0.0
julia,female,0.0
anna,career,0.0
anna,family,0.0
anna,male,0.0
anna,female,0.0
ben,career,0.0
ben,family,0.0
ben,male,0.0
ben,female,0.0
paul,career,0.0
paul,family,0.0
paul,male,0.0
paul,female,0.0
daniel,career,0.0
daniel,family,0.0
daniel,male,0.0
daniel,female,0.0
john,career,0.0
john,family,0.0
john,male,0.0
john,female,0.0
jeffrey,career,0.0
jeffrey,family,0.0
jeffrey,male,0.05782274040002306
jeffrey,female,0.0
career,career,2.33018121128916
career,family,0.0
career,male,0.0
career,female,0.0
corporation,career,0.0
corporation,family,0.0
corporation,male,0.0
corporation,female,0.0
salary,career,0.5385463517070893
salary,family,0.0
salary,male,0.0
salary,female,0.0
office,career,0.0
office,family,0.0
office,male,0.0
office,female,0.0
professional,career,4.269432650504851
professional,family,0.0
professional,male,0.8520258057379244
professional,female,1.746573229624739
management,career,3.546665219660084
management,family,0.0
management,male,0.0
management,female,0.0
business,career,0.9837858433469284
business,family,2.406553988274934
business,male,0.0
business,female,0.0
wedding,career,0.0
wedding,family,1.134943661388704
wedding,male,0.0
wedding,female,1.041924090769477
marriage,career,0.0
marriage,family,1.921748487303092
marriage,male,0.0
marriage,female,0.2659077284740358
parents,career,0.0
parents,family,0.9434631391785956
parents,male,0.4736965943503961
parents,female,0.2055578430250309
relatives,career,0.0
relatives,family,2.512527673086772
relatives,male,5.366680665634171
relatives,female,5.361011775020589
family,career,0.0
family,family,0.0
family,male,0.06890546574923213
family,female,0.0
home,career,0.0
home,family,3.43989254803802
home,male,0.0
home,female,0.0
children,career,0.0
children,family,0.2034555244682336
children,male,1.071741962212187
children,female,0.3479237271106326
