stimuli,congruent,m_RT,country,Length,NSyll,Source,BBC_freq,BNC_freq,UKWAC_freq,BNC_n,logBNC,Letters_n,Syllables_n,BBC_n,logBBC,UKWAC_n,logUKWAC,category
anna,0,884.289995693986,UK,4,2,eLexicon,3911,98,29616,-0.648101236573561,4.58496747867057,-2.5,0,-0.634810868327863,8.27154837475552,-0.784105763044321,10.2960700348133,TRUE
anna,1,748.923833027782,UK,4,2,eLexicon,3911,98,29616,-0.648101236573561,4.58496747867057,-2.5,0,-0.634810868327863,8.27154837475552,-0.784105763044321,10.2960700348133,TRUE
ben,0,878.538009454453,UK,3,1,eLexicon,17874,74,71892,-0.688297889127278,4.30406509320417,-3.5,-1,-0.23952543197893,9.79110242194134,-0.679041614290339,11.1829202718719,TRUE
ben,1,771.656704915225,UK,3,1,eLexicon,17874,74,71892,-0.688297889127278,4.30406509320417,-3.5,-1,-0.23952543197893,9.79110242194134,-0.679041614290339,11.1829202718719,TRUE
business,0,1074.00070621469,UK,8,2,eLexicon,59676,1059,1213388,0.961439726098196,6.96508034560141,1.5,0,0.943867951266653,10.9966852085027,2.15779975069393,14.0089270048749,FALSE
business,1,871.585820968659,UK,8,2,eLexicon,59676,1059,1213388,0.961439726098196,6.96508034560141,1.5,0,0.943867951266653,10.9966852085027,2.15779975069393,14.0089270048749,FALSE
career,0,1048.98860729563,UK,6,2,eLexicon,14162,239,229536,-0.411945902820473,5.47646355193151,-0.5,0,-0.34461026616408,9.55831760021172,-0.287265366154927,12.3438151589262,FALSE
career,1,936.853701260786,UK,6,2,eLexicon,14162,239,229536,-0.411945902820473,5.47646355193151,-0.5,0,-0.34461026616408,9.55831760021172,-0.287265366154927,12.3438151589262,FALSE
children,0,1119.2919626252,UK,8,2,eLexicon,68934,1612,1139275,1.88763759535676,7.38523092306657,1.5,0,1.20595722790623,11.1409048040814,1.97361441488629,13.9459026531469,FALSE
children,1,907.187294610996,UK,8,2,eLexicon,68934,1612,1139275,1.88763759535676,7.38523092306657,1.5,0,1.20595722790623,11.1409048040814,1.97361441488629,13.9459026531469,FALSE
corporation,0,1048.04497440218,UK,11,4,eLexicon,3122,126,77149,-0.601205141927557,4.83628190695148,4.5,2,-0.657147057490601,8.04622910107538,-0.665976938587821,11.2534938959445,FALSE
corporation,1,865.665767483369,UK,11,4,eLexicon,3122,126,77149,-0.601205141927557,4.83628190695148,4.5,2,-0.657147057490601,8.04622910107538,-0.665976938587821,11.2534938959445,FALSE
daniel,0,913.574330392143,UK,6,2,eLexicon,7828,145,54859,-0.569382791989198,4.97673374242057,-0.5,0,-0.523922588289278,8.96546232851597,-0.72137195882924,10.9125215361082,TRUE
daniel,1,798.624957049593,UK,6,2,eLexicon,7828,145,54859,-0.569382791989198,4.97673374242057,-0.5,0,-0.523922588289278,8.96546232851597,-0.72137195882924,10.9125215361082,TRUE
emily,0,907.020933791471,UK,5,3,howmanysyllables_com,3967,42,15967,-0.741893425865567,3.73766961828337,-1.5,1,-0.633225536777656,8.28576542051433,-0.818026204106462,9.6782793713397,TRUE
emily,1,760.941376296798,UK,5,3,howmanysyllables_com,3967,42,15967,-0.741893425865567,3.73766961828337,-1.5,1,-0.633225536777656,8.28576542051433,-0.818026204106462,9.6782793713397,TRUE
family,0,1051.08971740992,UK,6,3,eLexicon,97265,1077,665885,0.991587215513484,6.98193467715639,-0.5,1,2.00799344485113,11.4851944912319,0.797147450683258,13.4088722619402,FALSE
family,1,886.521051340746,UK,6,3,eLexicon,97265,1077,665885,0.991587215513484,6.98193467715639,-0.5,1,2.00799344485113,11.4851944912319,0.797147450683258,13.4088722619402,FALSE
home,0,1154.12263358532,UK,4,1,eLexicon,144872,2406,1176297,3.21747685067557,7.78572089653462,-2.5,-1,3.35572342897085,11.8836058729212,2.06562134352594,13.9778819265755,FALSE
home,1,994.730568234438,UK,4,1,eLexicon,144872,2406,1176297,3.21747685067557,7.78572089653462,-2.5,-1,3.35572342897085,11.8836058729212,2.06562134352594,13.9778819265755,FALSE
jeffrey,0,925.765132687748,UK,7,2,howmanysyllables_com,726,13,9586,-0.790464381034642,2.56494935746154,0.5,0,-0.724976600245886,6.5875500148248,-0.833884240183649,9.16805897971958,TRUE
jeffrey,1,806.578531332341,UK,7,2,howmanysyllables_com,726,13,9586,-0.790464381034642,2.56494935746154,0.5,0,-0.724976600245886,6.5875500148248,-0.833884240183649,9.16805897971958,TRUE
john,0,886.335506740885,UK,4,1,eLexicon,59338,1127,679801,1.07533024166706,7.02731451403978,-2.5,-1,0.934299342981475,10.9910051891986,0.831731439094186,13.429555387264,TRUE
john,1,775.267768618655,UK,4,1,eLexicon,59338,1127,679801,1.07533024166706,7.02731451403978,-2.5,-1,0.934299342981475,10.9910051891986,0.831731439094186,13.429555387264,TRUE
julia,0,883.680038859363,UK,5,2,eLexicon,3907,32,18840,-0.758642031096283,3.46573590279973,-1.5,0,-0.634924106295735,8.27052509505507,-0.810886235817831,9.84373754813035,TRUE
julia,1,751.67320482471,UK,5,2,eLexicon,3907,32,18840,-0.758642031096283,3.46573590279973,-1.5,0,-0.634924106295735,8.27052509505507,-0.810886235817831,9.84373754813035,TRUE
management,0,1066.27822172665,UK,10,3,eLexicon,6457,432,861136,-0.088697821867664,6.06842558824411,3.5,1,-0.562734901777381,8.77292009262647,1.2823844671551,13.6660077268014,FALSE
management,1,891.846780162842,UK,10,3,eLexicon,6457,432,861136,-0.088697821867664,6.06842558824411,3.5,1,-0.562734901777381,8.77292009262647,1.2823844671551,13.6660077268014,FALSE
marriage,0,1136.0415136516,UK,8,2,eLexicon,9913,227,88434,-0.432044229097331,5.4249500174814,1.5,0,-0.464897297536035,9.2016023060329,-0.637931501018309,11.3900117900648,FALSE
marriage,1,918.258534207908,UK,8,2,eLexicon,9913,227,88434,-0.432044229097331,5.4249500174814,1.5,0,-0.464897297536035,9.2016023060329,-0.637931501018309,11.3900117900648,FALSE
michelle,0,910.455724719827,UK,8,2,howmanysyllables_com,3980,82,15756,-0.674899004942705,4.40671924726425,1.5,0,-0.632857513382072,8.28903709827848,-0.818550580475728,9.6649765240908,TRUE
