lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef.cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,p_value,BIC
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.475,-0.597,-0.358,-0.00588727655120303,-631.55,0.01,1179.5
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.609,-0.707,-0.492,-0.00355670580612652,-790.5,0,1162.3
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.282,-0.449,-0.109,0.0146537100773525,-117.84,0.524,1186.2
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.685,-0.455,-0.00103065472011319,-465.84,0,1164.7
cor_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.465,-0.589,-0.297,-2.44247265447392e-05,-460.54,0.015,1180.3
cor_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.544,-0.673,-0.415,0.00113910081185626,-553.54,0,1172.8
cor_llama_2_70b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.315,-0.469,-0.142,0.0932911991089096,-216.75,0.143,1184.3
cor_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.578,-0.687,-0.461,0.0515115927652139,-446.77,0,1166.7
cor_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.587,-0.716,-0.442,0.0585035139716599,-806.25,0,1165.6
cor_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.66,-0.742,-0.559,0.0192982812460509,-418.4,0,1151.1
cor_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.288,-0.472,-0.079,0.0223882865534838,-55.75,0.569,1186.3
cor_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.424,-0.577,-0.265,0.0133476648577421,-163.78,0.046,1182.4
cor_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.477,-0.613,-0.326,0.0655212525340614,-412.67,0.006,1178.5
cor_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.702,-0.518,0.0490358571880386,-423,0,1161.3
cor_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.421,-0.559,-0.273,-0.00504395407830899,-397.36,0.041,1182.1
